"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HP_ABNORMAL_BLOOD_MONOVALENT_INORGANIC_CATION_CONCENTRATION",0.181457358029717,0.679832754422058,0.0131815150479427,0.726922045825905,1.27265173823798,6,"[""FGFR1"",""TP53"",""CALM2"",""ALDOA""]"
"MIR550A_3P",0.181542167039826,0.679832754422058,0.0131780666844793,0.726858784808706,1.27254098462421,6,"[""MAP1B"",""MAPK6"",""GNAI3""]"
"MIR12113",0.181399988915369,0.679832754422058,0.0172386522984241,-0.553592457566149,-1.27016692401615,12,"[""LRRC59"",""PAK2""]"
"MIR4539",0.181399988915369,0.679832754422058,0.0172386522984241,-0.553592457566149,-1.27016692401615,12,"[""LRRC59"",""PAK2""]"
"MIR6830_3P",0.18135452682301,0.679832754422058,0.0125994582688364,0.623086385001653,1.26904496127217,12,"[""QSER1"",""DDX5"",""CTSC"",""TNRC6B""]"
"AAAGGAT_MIR501",0.180990993779208,0.679832754422058,0.0125359341992498,0.611328279305977,1.26716444834526,13,"[""PHC1"",""QKI"",""PPP1CB"",""SEPHS1"",""SOX4"",""LARP1""]"
"MIR4276",0.180989951618906,0.679832754422058,0.0122632305640857,0.566032284081682,1.25570580486679,18,"[""MEST"",""SLC38A1"",""TBL1XR1"",""QKI"",""ADAM10"",""FXR1"",""EIF2S1"",""RIF1"",""RBIS""]"
"GSE41867_NAIVE_VS_DAY30_LCMV_CLONE13_EXHAUSTED_CD8_TCELL_DN",0.181218795888399,0.679832754422058,0.0121592785635339,0.551588063651335,1.25031890730015,20,"[""CUTA"",""IDH1"",""CCNI"",""ZMYND8"",""ECH1"",""PDIA6"",""USP22"",""PAIP2"",""RPN2"",""PRDX2"",""CALU"",""HNRNPH3""]"
"GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION",0.181182366384889,0.679832754422058,0.011719691149484,0.495453643819943,1.23038721137903,33,"[""HSPB1"",""BZW1"",""CDC123"",""CSDE1"",""AGO2"",""EIF4EBP2"",""PPP1CA"",""KHDRBS1"",""PAIP2"",""EIF4EBP1"",""LARP1""]"
"HP_APLASIA_HYPOPLASIA_OF_THE_CEREBELLUM",0.181119531977131,0.679832754422058,0.0114885461119204,0.47163031704764,1.21847968165741,42,"[""TUBB2B"",""TUBA1A"",""FGFR1"",""PHGDH"",""CTBP1"",""PTEN"",""PSAT1"",""RPL10"",""PPP1CB"",""RAC1"",""RAD21"",""MDH1"",""SOX4"",""PDHB"",""CHD7"",""EXOSC8"",""GJA1"",""TUBB"",""SMC3"",""THOC2""]"
"AAAYRNCTG_UNKNOWN",0.181401070585497,0.679832754422058,0.0189922078970126,-0.441034199174282,-1.21560893979409,25,"[""RAB5C"",""HIC2"",""MTA2"",""TUSC2""]"
"HP_UPPER_MOTOR_NEURON_DYSFUNCTION",0.181520433373377,0.679832754422058,0.0104469116486167,0.391757501101325,1.16635510354594,127,"[""TUBB2B"",""PODXL"",""TUBA1A"",""UCHL1"",""FGFR1"",""PHGDH"",""TP53"",""BOLA3"",""PTEN"",""PPT1"",""HNRNPA1"",""CCT5"",""MT-ND3"",""MSH6"",""CYB5A"",""SPTBN1"",""PSAT1"",""MT-ND5"",""MT-ATP8"",""MT-ND1"",""MT-ND2""]"
"HP_ABNORMAL_LUNG_DEVELOPMENT",0.1815982103453,0.679884437196465,0.0123941514424652,0.59042258748324,1.26178461543686,15,"[""FGFR1"",""PHGDH"",""JMJD1C"",""CTBP1"",""PTEN"",""PSAT1""]"
"MITSIADES_RESPONSE_TO_APLIDIN_DN",0.18168784051665,0.680061812352439,0.0110460381956214,0.434533462009862,1.19817815737593,65,"[""PODXL"",""CBX5"",""PCLAF"",""SLC38A2"",""MSH6"",""SPTBN1"",""SLC38A1"",""HNRNPR"",""NUCKS1"",""MSH2"",""TMEM97"",""ANKRD10"",""GMPS"",""BIRC5"",""HNRNPD"",""CCNB1"",""DCP2"",""MAPK6"",""CTPS1"",""MDN1"",""MARCHF6"",""SCD"",""PTTG1"",""HELLS"",""TUBB""]"
"GOCC_PRERIBOSOME,_LARGE_SUBUNIT_PRECURSOR",0.181906663339156,0.680480234178363,0.0162713036088259,-0.654668711126709,-1.30615320850479,7,"[""FTSJ3"",""NSA2"",""MRTO4"",""EBNA1BP2""]"
"GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",0.181870805237879,0.680480234178363,0.0125792133387177,0.622822449804282,1.26850740237121,12,"[""MAD2L2"",""PTEN"",""MAD2L1""]"
"RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_DN",0.181926464595806,0.680480234178363,0.0183800629314222,-0.472133382081974,-1.23223888762568,20,"[""RCC2"",""URM1"",""RPL22"",""SRSF4"",""PUM1"",""MRTO4"",""AK2""]"
"GOMF_3'-5'-RNA_EXONUCLEASE_ACTIVITY",0.18199720163756,0.680571466817933,0.0132945138393951,0.752692431998965,1.26860609967082,5,"[""PAN3"",""REXO2""]"
"WANG_TUMOR_INVASIVENESS_DN",0.182035424955029,0.680571466817933,0.0113718698536002,0.462783141514752,1.21334786359167,46,"[""MARCKS"",""YWHAQ"",""CDC123"",""PPP2R5C"",""TSPYL1"",""CNBP"",""CCNI"",""TPM3"",""PPP1CB"",""PSMB1"",""CCNG1"",""CACYBP"",""PTGES3"",""SS18L2"",""RAD21"",""ARF1"",""EEF1A1"",""SFPQ"",""RPL3""]"
"HP_UNILATERAL_RENAL_AGENESIS",0.18240721894294,0.680643173887992,0.0131430253793822,0.726453361279806,1.27183119330375,6,"[""PHC1"",""PPP2R1A""]"
"GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION",0.182377226166416,0.680643173887992,0.0132790218863081,0.752509577478654,1.26829791222273,5,"[""SSRP1"",""TLK1"",""DNMT1"",""HNRNPU""]"
