Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR2978249 - nextera_transposase_sequence	(1, 0.0)	(2, 1.2352407261832e-05)	(3, 1.2352407261832e-05)	(4, 3.7057221785496e-05)	(5, 4.9409629047328e-05)	(6, 4.9409629047328e-05)	(7, 4.9409629047328e-05)	(8, 7.4114443570992e-05)	(9, 8.6466850832824e-05)	(10, 9.8819258094656e-05)	(11, 0.00012352407261832)	(12, 0.00012352407261832)	(13, 0.00012352407261832)	(14, 0.00012352407261832)	(15, 0.00012352407261832)	(16, 0.000148228887141984)	(17, 0.000148228887141984)	(18, 0.000148228887141984)	(19, 0.00020999092345114402)	(20, 0.000222343330712976)	(21, 0.000321162588807632)	(22, 0.000407629439640456)	(23, 0.0005805631413061041)	(24, 0.000914078137375568)	(25, 0.00098819258094656)	(26, 0.001321707577016024)	(27, 0.001692279794870984)	(28, 0.002742234412126704)	(29, 0.004286285319855704)	(30, 0.007090281768291568)	(31, 0.013982925020393824)	(32, 0.02237020955117775)	(33, 0.03236330702599984)	(34, 0.04513569613473413)	(35, 0.06061326243380963)	(36, 0.0783636716690622)	(37, 0.10380963062843614)	(38, 0.13133079400779782)	(39, 0.1610012762507183)	(40, 0.1610012762507183)
SRR2978250 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.634765578702928e-05)	(5, 1.634765578702928e-05)	(6, 1.634765578702928e-05)	(7, 1.634765578702928e-05)	(8, 1.634765578702928e-05)	(9, 3.269531157405856e-05)	(10, 3.269531157405856e-05)	(11, 6.539062314811711e-05)	(12, 6.539062314811711e-05)	(13, 8.173827893514639e-05)	(14, 9.808593472217567e-05)	(15, 0.00011443359050920495)	(16, 0.00011443359050920495)	(17, 0.00013078124629623423)	(18, 0.0001471289020832635)	(19, 0.00016347655787029279)	(20, 0.00017982421365732206)	(21, 0.00027791014837949774)	(22, 0.0003106054599535563)	(23, 0.0004577343620368198)	(24, 0.0007192968546292883)	(25, 0.0007846874777774054)	(26, 0.0010135546587958153)	(27, 0.0013405077745364008)	(28, 0.0020598046291656893)	(29, 0.0033839647479150608)	(30, 0.005705331869673218)	(31, 0.011394316083559407)	(32, 0.01772085887313974)	(33, 0.025109999288876972)	(34, 0.033986776381233874)	(35, 0.04608404166363554)	(36, 0.06024111157520289)	(37, 0.07951499774811041)	(38, 0.10248345412888656)	(39, 0.12677607062841206)	(40, 0.12677607062841206)
SRR2978252 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 1.1006844496181505e-05)	(6, 1.1006844496181505e-05)	(7, 1.1006844496181505e-05)	(8, 1.1006844496181505e-05)	(9, 3.302053348854452e-05)	(10, 4.402737798472602e-05)	(11, 4.402737798472602e-05)	(12, 4.402737798472602e-05)	(13, 4.402737798472602e-05)	(14, 6.604106697708904e-05)	(15, 6.604106697708904e-05)	(16, 6.604106697708904e-05)	(17, 9.906160046563355e-05)	(18, 0.00011006844496181505)	(19, 0.00013208213395417807)	(20, 0.00014308897845035956)	(21, 0.0002201368899236301)	(22, 0.0003522190238778082)	(23, 0.0004843011578319862)	(24, 0.0007704791147327053)	(25, 0.0008585338707021575)	(26, 0.001089677605121969)	(27, 0.0013868624065188698)	(28, 0.0021903620547401195)	(29, 0.003423128638312448)	(30, 0.005613490693052568)	(31, 0.011083892407654776)	(32, 0.01769900594985986)	(33, 0.025326749185713645)	(34, 0.034319341139093934)	(35, 0.046162705816985235)	(36, 0.060207439394112834)	(37, 0.07946941726243047)	(38, 0.10159317469975529)	(39, 0.12780047144516346)	(40, 0.12780047144516346)
SRR2978253 - nextera_transposase_sequence	(1, 0.0)	(2, 2.7996649361004476e-05)	(3, 4.199497404150671e-05)	(4, 9.798827276351566e-05)	(5, 0.0001119865974440179)	(6, 0.00012598492212452013)	(7, 0.0001819782208465291)	(8, 0.0001819782208465291)	(9, 0.00025196984424904025)	(10, 0.00025196984424904025)	(11, 0.00025196984424904025)	(12, 0.00027996649361004475)	(13, 0.000293964818290547)	(14, 0.000293964818290547)	(15, 0.0004059514157345649)	(16, 0.00043394806509556937)	(17, 0.00043394806509556937)	(18, 0.0004479463897760716)	(19, 0.0004619447144565738)	(20, 0.00047594303913707606)	(21, 0.0006019279612615962)	(22, 0.0008119028314691297)	(23, 0.0009518860782741521)	(24, 0.0012458508965646992)	(25, 0.0013298408446477126)	(26, 0.0017357922603822775)	(27, 0.002239731948880358)	(28, 0.0035695727935280705)	(29, 0.005431349976034868)	(30, 0.0087489529253139)	(31, 0.016909976214046704)	(32, 0.025980890607012152)	(33, 0.03685758888376239)	(34, 0.050785921940862115)	(35, 0.0669399886221617)	(36, 0.08715356946080693)	(37, 0.11488425065288187)	(38, 0.14730437061292503)	(39, 0.18235617561290265)	(40, 0.18235617561290265)
SRR2978254 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.8571654084371025e-05)	(5, 5.5714962253113076e-05)	(6, 5.5714962253113076e-05)	(7, 5.5714962253113076e-05)	(8, 5.5714962253113076e-05)	(9, 5.5714962253113076e-05)	(10, 9.285827042185513e-05)	(11, 9.285827042185513e-05)	(12, 9.285827042185513e-05)	(13, 0.00011142992450622615)	(14, 0.00011142992450622615)	(15, 0.00013000157859059718)	(16, 0.00013000157859059718)	(17, 0.0001485732326749682)	(18, 0.0001485732326749682)	(19, 0.00016714488675933923)	(20, 0.00016714488675933923)	(21, 0.00018571654084371025)	(22, 0.0002228598490124523)	(23, 0.0003714330816874205)	(24, 0.0005385779684467597)	(25, 0.0006128645847842438)	(26, 0.0008542960878810672)	(27, 0.0010214409746404063)	(28, 0.0013371590940747138)	(29, 0.002451458339136975)	(30, 0.003825760741380431)	(31, 0.008487245916557558)	(32, 0.014151600412290721)	(33, 0.021320258888857937)	(34, 0.029956078038090462)	(35, 0.0400590578599883)	(36, 0.05252063775060126)	(37, 0.07086943198595982)	(38, 0.0930625586167832)	(39, 0.11765142862449043)	(40, 0.11765142862449043)
SRR2978255 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 1.856790226153336e-05)	(18, 5.5703706784600076e-05)	(19, 5.5703706784600076e-05)	(20, 5.5703706784600076e-05)	(21, 0.00011140741356920015)	(22, 0.0002228148271384003)	(23, 0.00029708643618453376)	(24, 0.0005013333610614007)	(25, 0.0005570370678460008)	(26, 0.000928395113076668)	(27, 0.0010212346243843348)	(28, 0.0017453828125841358)	(29, 0.002896592752799204)	(30, 0.004326321226937273)	(31, 0.00911684001041288)	(32, 0.014798618102442087)	(33, 0.021520198721117163)	(34, 0.02952296459583804)	(35, 0.03940108859897379)	(36, 0.051711607798370404)	(37, 0.06805136178851977)	(38, 0.08894025183274479)	(39, 0.11062756167421575)	(40, 0.11062756167421575)
SRR2978256 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.340176477388513e-05)	(5, 2.340176477388513e-05)	(6, 2.340176477388513e-05)	(7, 2.340176477388513e-05)	(8, 2.340176477388513e-05)	(9, 7.020529432165538e-05)	(10, 8.190617670859795e-05)	(11, 0.00010530794148248308)	(12, 0.00010530794148248308)	(13, 0.00011700882386942565)	(14, 0.0001287097062563682)	(15, 0.0001287097062563682)	(16, 0.00014041058864331076)	(17, 0.0001638123534171959)	(18, 0.0001638123534171959)	(19, 0.00017551323580413847)	(20, 0.00018721411819108103)	(21, 0.0002925220596735641)	(22, 0.00039783000115604716)	(23, 0.0005148388250254728)	(24, 0.0007722582375382092)	(25, 0.0008190617670859795)	(26, 0.0012168917682420267)	(27, 0.001556217357463361)	(28, 0.00232847559500157)	(29, 0.0034985638336958265)	(30, 0.005581320898571603)	(31, 0.010753110913600216)	(32, 0.016989681225840603)	(33, 0.024349536247227476)	(34, 0.03346452362665573)	(35, 0.04431124159935149)	(36, 0.058200188992652314)	(37, 0.07715561845949927)	(38, 0.1003935708799672)	(39, 0.12394744712488258)	(40, 0.12394744712488258)
SRR2978257 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 2.199872253418244e-05)	(4, 2.199872253418244e-05)	(5, 3.299808380127366e-05)	(6, 3.299808380127366e-05)	(7, 3.299808380127366e-05)	(8, 3.299808380127366e-05)	(9, 5.49968063354561e-05)	(10, 6.599616760254732e-05)	(11, 0.0001099936126709122)	(12, 0.0001099936126709122)	(13, 0.00012099297393800342)	(14, 0.00013199233520509463)	(15, 0.0001539910577392771)	(16, 0.00019798850280764197)	(17, 0.00020898786407473317)	(18, 0.0002199872253418244)	(19, 0.00023098658660891563)	(20, 0.00025298530914309806)	(21, 0.0002969827542114629)	(22, 0.0003189814767456454)	(23, 0.0004289750894165576)	(24, 0.0005609674246216522)	(25, 0.0005609674246216522)	(26, 0.0007809546499634766)	(27, 0.0009459450689698449)	(28, 0.00135292143585222)	(29, 0.0022438696984866087)	(30, 0.003750782192078106)	(31, 0.00820552350525005)	(32, 0.013012244378968913)	(33, 0.01909489115967036)	(34, 0.02659645554382657)	(35, 0.0357039266729781)	(36, 0.047649233009039164)	(37, 0.06404928065827217)	(38, 0.08370513924256419)	(39, 0.10575885858308208)	(40, 0.10575885858308208)
SRR2978258 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.4929290401869626e-05)	(5, 1.4929290401869626e-05)	(6, 1.4929290401869626e-05)	(7, 1.4929290401869626e-05)	(8, 1.4929290401869626e-05)	(9, 1.4929290401869626e-05)	(10, 2.985858080373925e-05)	(11, 2.985858080373925e-05)	(12, 2.985858080373925e-05)	(13, 2.985858080373925e-05)	(14, 2.985858080373925e-05)	(15, 4.478787120560887e-05)	(16, 4.478787120560887e-05)	(17, 5.97171616074785e-05)	(18, 5.97171616074785e-05)	(19, 7.464645200934813e-05)	(20, 7.464645200934813e-05)	(21, 0.00010450503281308737)	(22, 0.00025379793683178364)	(23, 0.00034337367924300137)	(24, 0.0005225251640654368)	(25, 0.0006121009064766547)	(26, 0.001074908908934613)	(27, 0.0014033532977757448)	(28, 0.0021647471082710955)	(29, 0.003344161050018796)	(30, 0.005777635385523545)	(31, 0.01236145245274805)	(32, 0.020094824880916514)	(33, 0.029992944417356077)	(34, 0.04175722525402934)	(35, 0.05604455616861857)	(36, 0.07398956323166586)	(37, 0.09783164000345165)	(38, 0.12583898879735908)	(39, 0.15527954946984596)	(40, 0.15527954946984596)
SRR2978260 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 1.4232063472725958e-05)	(4, 4.2696190418177875e-05)	(5, 4.2696190418177875e-05)	(6, 4.2696190418177875e-05)	(7, 4.2696190418177875e-05)	(8, 4.2696190418177875e-05)	(9, 5.692825389090383e-05)	(10, 8.539238083635575e-05)	(11, 0.00015655269819998555)	(12, 0.00015655269819998555)	(13, 0.0001707847616727115)	(14, 0.00019924888861816341)	(15, 0.00019924888861816341)	(16, 0.00019924888861816341)	(17, 0.00021348095209088939)	(18, 0.00022771301556361533)	(19, 0.0002561771425090673)	(20, 0.0002561771425090673)	(21, 0.00029887333292724514)	(22, 0.0003131053963999711)	(23, 0.0004127298407090528)	(24, 0.0005977466658544903)	(25, 0.0006119787293272162)	(26, 0.0008823879353090094)	(27, 0.001067404760454447)	(28, 0.0014943666646362256)	(29, 0.0024621469807815906)	(30, 0.003814193010690557)	(31, 0.007742242529162922)	(32, 0.01256691204641702)	(33, 0.018330897752871035)	(34, 0.025717338695215808)	(35, 0.03475469900039679)	(36, 0.04628267041330482)	(37, 0.06067128658423076)	(38, 0.08062463957299255)	(39, 0.10180195002040877)	(40, 0.10180195002040877)
SRR2978261 - nextera_transposase_sequence	(1, 0.0)	(2, 1.4408134025615357e-05)	(3, 1.4408134025615357e-05)	(4, 7.204067012807679e-05)	(5, 7.204067012807679e-05)	(6, 7.204067012807679e-05)	(7, 8.644880415369215e-05)	(8, 8.644880415369215e-05)	(9, 0.0001008569381793075)	(10, 0.0001728976083073843)	(11, 0.00021612201038423036)	(12, 0.0002305301444098457)	(13, 0.00025934641246107645)	(14, 0.00025934641246107645)	(15, 0.0002737545464866918)	(16, 0.00031697894856353787)	(17, 0.00031697894856353787)	(18, 0.00031697894856353787)	(19, 0.00036020335064038394)	(20, 0.00036020335064038394)	(21, 0.00038901961869161465)	(22, 0.0004610602888196914)	(23, 0.0005619172269989989)	(24, 0.0007780392373832293)	(25, 0.0008356717734856907)	(26, 0.0011526507220492286)	(27, 0.0013399564643822282)	(28, 0.002060363165662996)	(29, 0.0030113000113536096)	(30, 0.005014030640914144)	(31, 0.009350878982624367)	(32, 0.01533025460325474)	(33, 0.021972404389063418)	(34, 0.029493450350434637)	(35, 0.04002579632315946)	(36, 0.05227271024493251)	(37, 0.0692310839930818)	(38, 0.09038222474268513)	(39, 0.11363695306002831)	(40, 0.11363695306002831)
SRR2978265 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.5124355475591408e-05)	(5, 3.0248710951182815e-05)	(6, 3.0248710951182815e-05)	(7, 6.049742190236563e-05)	(8, 6.049742190236563e-05)	(9, 0.00010587048832913985)	(10, 0.00010587048832913985)	(11, 0.00010587048832913985)	(12, 0.00016636791023150549)	(13, 0.0001966166211826883)	(14, 0.0002117409766582797)	(15, 0.0002117409766582797)	(16, 0.0002117409766582797)	(17, 0.0002117409766582797)	(18, 0.0002117409766582797)	(19, 0.0002117409766582797)	(20, 0.00025711404308505394)	(21, 0.00033273582046301097)	(22, 0.0003781088868897852)	(23, 0.00043860630879215083)	(24, 0.0007713421292551618)	(25, 0.000816715195681936)	(26, 0.0011343266606693555)	(27, 0.0014216894147055924)	(28, 0.00214765847753398)	(29, 0.003402979982008067)	(30, 0.005354021838359358)	(31, 0.01042068092268248)	(32, 0.01677291022243087)	(33, 0.023684740674776144)	(34, 0.03183676827611991)	(35, 0.04243894146450949)	(36, 0.05586936912683466)	(37, 0.07335312405661833)	(38, 0.09555567789478651)	(39, 0.11980001972215953)	(40, 0.11980001972215953)
SRR2978266 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 1.984350223527131e-05)	(7, 3.968700447054262e-05)	(8, 3.968700447054262e-05)	(9, 5.9530506705813925e-05)	(10, 7.937400894108523e-05)	(11, 7.937400894108523e-05)	(12, 7.937400894108523e-05)	(13, 9.921751117635654e-05)	(14, 9.921751117635654e-05)	(15, 9.921751117635654e-05)	(16, 0.00011906101341162785)	(17, 0.0001785915201174418)	(18, 0.0001785915201174418)	(19, 0.000257965529058527)	(20, 0.00027780903129379835)	(21, 0.0003571830402348836)	(22, 0.0004762440536465114)	(23, 0.0006548355737639532)	(24, 0.0008929576005872089)	(25, 0.0009128011028224802)	(26, 0.0012699841430573637)	(27, 0.0018057587034096892)	(28, 0.0024605942771736425)	(29, 0.0038893264381131766)	(30, 0.006091955186228292)	(31, 0.011886257838927515)	(32, 0.018553674589978673)	(33, 0.027245128569027506)	(34, 0.037643123740309675)	(35, 0.048914233009943776)	(36, 0.06338014613945656)	(37, 0.0822314732629643)	(38, 0.10604367594528988)	(39, 0.1336856745590228)	(40, 0.1336856745590228)
SRR2978267 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 1.642190906006576e-05)	(4, 1.642190906006576e-05)	(5, 1.642190906006576e-05)	(6, 1.642190906006576e-05)	(7, 1.642190906006576e-05)	(8, 1.642190906006576e-05)	(9, 6.568763624026304e-05)	(10, 6.568763624026304e-05)	(11, 6.568763624026304e-05)	(12, 8.21095453003288e-05)	(13, 8.21095453003288e-05)	(14, 8.21095453003288e-05)	(15, 9.853145436039456e-05)	(16, 9.853145436039456e-05)	(17, 9.853145436039456e-05)	(18, 0.00011495336342046032)	(19, 0.00014779718154059183)	(20, 0.0001642190906006576)	(21, 0.0002463286359009864)	(22, 0.0002791724540211179)	(23, 0.0003777039083815125)	(24, 0.0006404544533425646)	(25, 0.0007061420895828277)	(26, 0.001100267907024406)	(27, 0.0014122841791656554)	(28, 0.0019706290872078913)	(29, 0.003300803721073218)	(30, 0.005057947990500254)	(31, 0.010542865616562218)	(32, 0.01642190906006576)	(33, 0.023105626047512526)	(34, 0.03107025194164442)	(35, 0.040939819286743936)	(36, 0.053420470172393916)	(37, 0.07025292695896132)	(38, 0.0907474694659234)	(39, 0.1129006247879521)	(40, 0.1129006247879521)
SRR2978268 - nextera_transposase_sequence	(1, 0.0)	(2, 1.7279116304522306e-05)	(3, 1.7279116304522306e-05)	(4, 1.7279116304522306e-05)	(5, 3.455823260904461e-05)	(6, 3.455823260904461e-05)	(7, 3.455823260904461e-05)	(8, 3.455823260904461e-05)	(9, 0.00010367469782713384)	(10, 0.00012095381413165615)	(11, 0.00012095381413165615)	(12, 0.00012095381413165615)	(13, 0.00012095381413165615)	(14, 0.00013823293043617845)	(15, 0.0002419076282633123)	(16, 0.0002419076282633123)	(17, 0.0002591867445678346)	(18, 0.0002937449771768792)	(19, 0.00034558232609044613)	(20, 0.00038014055869949075)	(21, 0.0004665361402221023)	(22, 0.0005183734891356692)	(23, 0.0007602811173989815)	(24, 0.000950351396748727)	(25, 0.001019467861966816)	(26, 0.0011404216760984723)	(27, 0.0013650501880572623)	(28, 0.001848865444583887)	(29, 0.0028337750739416585)	(30, 0.004440732890262233)	(31, 0.008812349315306377)	(32, 0.014030642439272115)	(33, 0.020389357239336322)	(34, 0.02807856399484875)	(35, 0.03789310205581742)	(36, 0.050506856958118705)	(37, 0.06740583270394152)	(38, 0.0889183325030718)	(39, 0.1113811836989508)	(40, 0.1113811836989508)
SRR2978269 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 1.327119406374181e-05)	(4, 2.654238812748362e-05)	(5, 3.981358219122543e-05)	(6, 3.981358219122543e-05)	(7, 5.308477625496724e-05)	(8, 6.635597031870905e-05)	(9, 7.962716438245086e-05)	(10, 7.962716438245086e-05)	(11, 0.0001327119406374181)	(12, 0.0001327119406374181)	(13, 0.0001327119406374181)	(14, 0.0001327119406374181)	(15, 0.0001327119406374181)	(16, 0.0001327119406374181)	(17, 0.0001327119406374181)	(18, 0.00014598313470115992)	(19, 0.00014598313470115992)	(20, 0.00015925432876490173)	(21, 0.0002521526872110944)	(22, 0.00031850865752980345)	(23, 0.000491034180358447)	(24, 0.0006768308972508323)	(25, 0.0007166444794420578)	(26, 0.0010086107488443776)	(27, 0.001260763436055472)	(28, 0.00183142478079637)	(29, 0.003132001799043067)	(30, 0.005069596132349372)	(31, 0.010762938385694608)	(32, 0.018048823926688863)	(33, 0.02668837126218478)	(34, 0.03642942770497127)	(35, 0.047975366540426646)	(36, 0.06277274792149877)	(37, 0.08403320081161314)	(38, 0.10896977445738401)	(39, 0.1370914346784529)	(40, 0.1370914346784529)
SRR2978272 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 2.73123599900146e-05)	(13, 5.46247199800292e-05)	(14, 5.46247199800292e-05)	(15, 5.46247199800292e-05)	(16, 0.0001092494399600584)	(17, 0.000136561799950073)	(18, 0.00016387415994008762)	(19, 0.00016387415994008762)	(20, 0.00016387415994008762)	(21, 0.0004916224798202628)	(22, 0.0010651820396105694)	(23, 0.0017479910393609344)	(24, 0.0030589843188816353)	(25, 0.003359420278771796)	(26, 0.004588476478322453)	(27, 0.006117968637763271)	(28, 0.009340827116584993)	(29, 0.014830611474577928)	(30, 0.022778508231672177)	(31, 0.03954829726554114)	(32, 0.059923317818092035)	(33, 0.0864163070084062)	(34, 0.11891801539652358)	(35, 0.15704606994258397)	(36, 0.20435107744528924)	(37, 0.26252640422402035)	(38, 0.32498977152118375)	(39, 0.39122224449696913)	(40, 0.39122224449696913)
SRR2978273 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 3.094080467131893e-05)	(5, 6.188160934263786e-05)	(6, 6.188160934263786e-05)	(7, 6.188160934263786e-05)	(8, 6.188160934263786e-05)	(9, 9.282241401395678e-05)	(10, 0.00010829281634961624)	(11, 0.00010829281634961624)	(12, 0.00010829281634961624)	(13, 0.00013923362102093517)	(14, 0.00013923362102093517)	(15, 0.00015470402335659463)	(16, 0.00015470402335659463)	(17, 0.00015470402335659463)	(18, 0.00020111523036357303)	(19, 0.00021658563269923248)	(20, 0.00023205603503489194)	(21, 0.00034034885138450817)	(22, 0.00038676005839148657)	(23, 0.0004641120700697839)	(24, 0.0006806977027690163)	(25, 0.0007116385074403353)	(26, 0.0010519873588248434)	(27, 0.0012531025891884165)	(28, 0.0019492706942930923)	(29, 0.0029857876507822763)	(30, 0.004703002310040476)	(31, 0.009375063815409635)	(32, 0.013907891699757858)	(33, 0.020266227059713898)	(34, 0.02824895466491418)	(35, 0.03810360095272926)	(36, 0.050650097246949084)	(37, 0.06724983895311168)	(38, 0.08804205969223801)	(39, 0.10875692841968602)	(40, 0.10875692841968602)
SRR2978274 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 4.603848080379504e-05)	(5, 4.603848080379504e-05)	(6, 4.603848080379504e-05)	(7, 4.603848080379504e-05)	(8, 4.603848080379504e-05)	(9, 6.138464107172673e-05)	(10, 0.00010742312187552176)	(11, 0.00012276928214345346)	(12, 0.00012276928214345346)	(13, 0.00012276928214345346)	(14, 0.00013811544241138513)	(15, 0.00013811544241138513)	(16, 0.00013811544241138513)	(17, 0.00015346160267931683)	(18, 0.00015346160267931683)	(19, 0.00018415392321518016)	(20, 0.00026088472455483856)	(21, 0.00029157704509070196)	(22, 0.000383654006698292)	(23, 0.0005217694491096771)	(24, 0.0007980003339324474)	(25, 0.0008747311352721058)	(26, 0.0012430389817024662)	(27, 0.0014885775459893731)	(28, 0.0021484624375104353)	(29, 0.0035449630218922184)	(30, 0.00547857921565161)	(31, 0.010880427629963562)	(32, 0.017602045827317638)	(33, 0.024860779634049323)	(34, 0.034298668198827306)	(35, 0.046007788483259184)	(36, 0.06017229441056012)	(37, 0.07898668689904437)	(38, 0.10139208089022461)	(39, 0.12517862930551873)	(40, 0.12517862930551873)
SRR2978275 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 3.941666489291675e-05)	(4, 6.569444148819458e-05)	(5, 7.88333297858335e-05)	(6, 7.88333297858335e-05)	(7, 7.88333297858335e-05)	(8, 7.88333297858335e-05)	(9, 9.19722180834724e-05)	(10, 0.00010511110638111132)	(11, 0.000157666659571667)	(12, 0.000157666659571667)	(13, 0.00017080554786930591)	(14, 0.0001839444361669448)	(15, 0.00021022221276222264)	(16, 0.00022336110105986156)	(17, 0.00022336110105986156)	(18, 0.00022336110105986156)	(19, 0.00023649998935750048)	(20, 0.0002627777659527783)	(21, 0.00028905554254805615)	(22, 0.00038102776063152856)	(23, 0.00048613886701263985)	(24, 0.0007489166329654182)	(25, 0.0009065832925370851)	(26, 0.0011036666170016688)	(27, 0.0013401666063591693)	(28, 0.002154777680812782)	(29, 0.0037971387180176465)	(30, 0.006359221936057235)	(31, 0.013480499393377527)	(32, 0.02120616571238921)	(33, 0.031191720818594785)	(34, 0.043095553616255645)	(35, 0.05778483073301595)	(36, 0.07529896883376863)	(37, 0.09877816222164937)	(38, 0.12655377208285803)	(39, 0.15624765963552198)	(40, 0.15624765963552198)
SRR2978276 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 1.044272452771473e-05)	(4, 3.132817358314419e-05)	(5, 4.177089811085892e-05)	(6, 4.177089811085892e-05)	(7, 4.177089811085892e-05)	(8, 4.177089811085892e-05)	(9, 9.398452074943256e-05)	(10, 0.0001044272452771473)	(11, 0.00012531269433257677)	(12, 0.00012531269433257677)	(13, 0.0001357554188602915)	(14, 0.00016708359244343567)	(15, 0.00016708359244343567)	(16, 0.0001775263169711504)	(17, 0.0001775263169711504)	(18, 0.00018796904149886512)	(19, 0.00022973993960972406)	(20, 0.00026106811319286826)	(21, 0.00033416718488687134)	(22, 0.0004490371546917334)	(23, 0.0005952352980797396)	(24, 0.0007936470641063195)	(25, 0.000887631584855752)	(26, 0.001086043350882332)	(27, 0.0014202105357692032)	(28, 0.0020989876300706607)	(29, 0.003477427267729005)	(30, 0.005931467531741967)	(31, 0.012311972218175666)	(32, 0.019799405704547128)	(33, 0.02847730978707807)	(34, 0.038450111711045634)	(35, 0.05143041829899504)	(36, 0.06744955772450945)	(37, 0.0891077683949898)	(38, 0.11561140324632978)	(39, 0.14449597928998872)	(40, 0.14449597928998872)
SRR2978277 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.333730073572552e-05)	(8, 2.667460147145104e-05)	(9, 2.667460147145104e-05)	(10, 4.001190220717656e-05)	(11, 4.001190220717656e-05)	(12, 4.001190220717656e-05)	(13, 4.001190220717656e-05)	(14, 4.001190220717656e-05)	(15, 5.334920294290208e-05)	(16, 5.334920294290208e-05)	(17, 8.002380441435312e-05)	(18, 0.00010669840588580416)	(19, 0.00010669840588580416)	(20, 0.00016004760882870625)	(21, 0.00022673411250733385)	(22, 0.00037344442060031457)	(23, 0.0005201547286932953)	(24, 0.0008269126456149822)	(25, 0.000946948352236512)	(26, 0.0012403689684224734)	(27, 0.0015337895846084348)	(28, 0.0027474839515594573)	(29, 0.004681392558239658)	(30, 0.007708959825249351)	(31, 0.01476439191444815)	(32, 0.022246617627190168)	(33, 0.031222621022333443)	(34, 0.04275938615873602)	(35, 0.05645679401432613)	(36, 0.07355521355752624)	(37, 0.09566845817735915)	(38, 0.12294323818191785)	(39, 0.15223195059757108)	(40, 0.15223195059757108)
SRR2978278 - nextera_transposase_sequence	(1, 1.3608326771851774e-05)	(2, 1.3608326771851774e-05)	(3, 1.3608326771851774e-05)	(4, 1.3608326771851774e-05)	(5, 4.082498031555532e-05)	(6, 4.082498031555532e-05)	(7, 4.082498031555532e-05)	(8, 4.082498031555532e-05)	(9, 5.44333070874071e-05)	(10, 8.164996063111065e-05)	(11, 9.525828740296242e-05)	(12, 0.0001088666141748142)	(13, 0.0001088666141748142)	(14, 0.0001088666141748142)	(15, 0.0001088666141748142)	(16, 0.0001088666141748142)	(17, 0.0001088666141748142)	(18, 0.0001088666141748142)	(19, 0.0001088666141748142)	(20, 0.00013608326771851774)	(21, 0.00023134155512148018)	(22, 0.0003265998425244426)	(23, 0.00044907478347110856)	(24, 0.0006531996850488852)	(25, 0.0007212413189081441)	(26, 0.0010070161811170314)	(27, 0.0012247494094666598)	(28, 0.002286198897671098)	(29, 0.00375589818903109)	(30, 0.006450346889857741)	(31, 0.01326811860255548)	(32, 0.02094321490187988)	(33, 0.03026491874059835)	(34, 0.0413965300399731)	(35, 0.05461021533544117)	(36, 0.07194722364278033)	(37, 0.09555767059194316)	(38, 0.12342752382069559)	(39, 0.15469945874241098)	(40, 0.15469945874241098)
