Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR2977650 - illumina_small_rna_3'_adapter	(1, 0.003090356221498707)	(2, 0.006695771813247198)	(3, 0.0111703500922922)	(4, 0.019121579120523247)	(5, 0.03553909654723513)	(6, 0.08978128647666556)	(7, 0.7799608426113768)	(8, 0.8048768396472101)	(9, 0.8197813701738133)	(10, 0.8316599269001989)	(11, 0.8467254134800051)	(12, 0.8577669987297348)	(13, 0.8688729664007458)	(14, 0.880783714337772)	(15, 0.8916321523236581)	(16, 0.8976519087134525)	(17, 0.9014504715690447)	(18, 0.9054743728991211)	(19, 0.9081784345929325)	(20, 0.9109790699186657)	(21, 0.9145844855104142)	(22, 0.9195097407384277)	(23, 0.9233726860153011)	(24, 0.9287486181922833)	(25, 0.9409168958144344)	(26, 0.9565618241857716)	(27, 0.9842462653366976)	(28, 1.011061543800327)	(29, 1.0319536395060838)	(30, 1.0627284368785084)	(31, 1.0795322488329075)	(32, 1.0871937569653731)	(33, 1.091861482508262)	(34, 1.0952093684148854)	(35, 1.0983641070576653)	(36, 1.1020017138600544)	(37, 1.1073132636157554)	(38, 1.1134939760587528)	(39, 1.1189986730782975)	(40, 1.1242458404127171)
SRR2977651 - illumina_small_rna_3'_adapter	(1, 0.00269481279237866)	(2, 0.007777434388130816)	(3, 0.014360964374574885)	(4, 0.024560319120413104)	(5, 0.05178133947887096)	(6, 0.15466178734993474)	(7, 1.3960494726694817)	(8, 1.4436692025196158)	(9, 1.475938732919492)	(10, 1.500942502246246)	(11, 1.5323251322334404)	(12, 1.5538836345724696)	(13, 1.5786486230188863)	(14, 1.6060060895946797)	(15, 1.6273599226077056)	(16, 1.6381050622228863)	(17, 1.6465988392520292)	(18, 1.6529435883581358)	(19, 1.656252409128525)	(20, 1.6610280267352717)	(21, 1.6658377558963526)	(22, 1.6720460587851238)	(23, 1.679380042966914)	(24, 1.6869186964747074)	(25, 1.710114553421764)	(26, 1.7399621634639328)	(27, 1.801874634579974)	(28, 1.8555321095472102)	(29, 1.897045871171575)	(30, 1.971204390293489)	(31, 2.0088635462781226)	(32, 2.022235275577014)	(33, 2.028409466911451)	(34, 2.034958885343561)	(35, 2.0410989651236644)	(36, 2.0474437142297712)	(37, 2.0547094753028934)	(38, 2.0627598021256954)	(39, 2.07214047956752)	(40, 2.0833631809433757)
SRR2977652 - illumina_small_rna_3'_adapter	(1, 0.004735136111799056)	(2, 0.009189902322241589)	(3, 0.013862734011516973)	(4, 0.024080659305399144)	(5, 0.04432959662559248)	(6, 0.10834739076866523)	(7, 0.8200196570453062)	(8, 0.8496142577440503)	(9, 0.8721996109088813)	(10, 0.8904548067083172)	(11, 0.9123236590141259)	(12, 0.9290835486729937)	(13, 0.9470895267823348)	(14, 0.9686780091867871)	(15, 0.987867771324078)	(16, 0.9983972187305785)	(17, 1.0068706201937978)	(18, 1.0131010624461652)	(19, 1.0200791577688164)	(20, 1.0249700549369245)	(21, 1.030577452964055)	(22, 1.0366209819488512)	(23, 1.0439417515953826)	(24, 1.0509509991292958)	(25, 1.0651564074646929)	(26, 1.0823835802924882)	(27, 1.1141899879908226)	(28, 1.1483639637450564)	(29, 1.18150991652765)	(30, 1.2351851765317932)	(31, 1.2651847559769411)	(32, 1.2776144882704137)	(33, 1.2848418012831595)	(34, 1.291041091324265)	(35, 1.297489599055465)	(36, 1.305277651870924)	(37, 1.3130034002638593)	(38, 1.3220063893185299)	(39, 1.3302305730916544)	(40, 1.3397943019490381)
SRR2977653 - illumina_small_rna_3'_adapter	(1, 0.003741936127644925)	(2, 0.007662059689939609)	(3, 0.013649157494171489)	(4, 0.022772354148239117)	(5, 0.04037727269163524)	(6, 0.09782490162271733)	(7, 0.7473893758949464)	(8, 0.7761844653343474)	(9, 0.7969967577014391)	(10, 0.8167755629475623)	(11, 0.8451430025438038)	(12, 0.8643516079990478)	(13, 0.8850569879053497)	(14, 0.9094330289654367)	(15, 0.9281783470905912)	(16, 0.9392259680388763)	(17, 0.948277889719084)	(18, 0.9540155251148061)	(19, 0.9590760482588593)	(20, 0.9627110719257144)	(21, 0.9677715950697675)	(22, 0.9729033931876806)	(23, 0.9812425651292892)	(24, 0.9894035496362482)	(25, 1.0102871169771999)	(26, 1.0331663835862288)	(27, 1.0826668529319317)	(28, 1.1310625601828062)	(29, 1.1704776207273326)	(30, 1.2415744071525863)	(31, 1.27575075711841)	(32, 1.2869052905274847)	(33, 1.2939258754526852)	(34, 1.29770344906726)	(35, 1.3023363223681537)	(36, 1.3089648949371249)	(37, 1.3158785674015354)	(38, 1.3231129772483157)	(39, 1.3335547609187914)	(40, 1.342606682598999)
SRR2977654 - illumina_small_rna_3'_adapter	(1, 0.003760346033139828)	(2, 0.009688819508810727)	(3, 0.017074003609932192)	(4, 0.029710121360933595)	(5, 0.05606642058420194)	(6, 0.15007507141269763)	(7, 1.1406382967190811)	(8, 1.1863383579686815)	(9, 1.2229255085613933)	(10, 1.2581914564938128)	(11, 1.3080922646633169)	(12, 1.3424774108222082)	(13, 1.3775062198156007)	(14, 1.4216479394658819)	(15, 1.457455919258934)	(16, 1.476427034381081)	(17, 1.4903843547923747)	(18, 1.5000731743011855)	(19, 1.5062726637071726)	(20, 1.5107105495661035)	(21, 1.5183667495975413)	(22, 1.5273441522892717)	(23, 1.5415047346483026)	(24, 1.5585787382582348)	(25, 1.5917781897219918)	(26, 1.6361909253025892)	(27, 1.7274555398366316)	(28, 1.8129610658514508)	(29, 1.882646036934051)	(30, 2.008465182583432)	(31, 2.0705278306258843)	(32, 2.0892956838002936)	(33, 2.0989167493265253)	(34, 2.1058954095321725)	(35, 2.1131450856681355)	(36, 2.1216820874731015)	(37, 2.132895371589942)	(38, 2.1450233344716003)	(39, 2.1614875522383206)	(40, 2.1791713416914646)
SRR2977679 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.0396156998188677e-05)	(8, 1.0396156998188677e-05)	(9, 1.0396156998188677e-05)	(10, 2.0792313996377354e-05)	(11, 3.1188470994566035e-05)	(12, 4.158462799275471e-05)	(13, 4.158462799275471e-05)	(14, 5.198078499094339e-05)	(15, 5.198078499094339e-05)	(16, 8.316925598550942e-05)	(17, 0.00011435772698007545)	(18, 0.0001455461979746415)	(19, 0.00016633851197101883)	(20, 0.00021831929696196223)	(21, 0.0003118847099456603)	(22, 0.0003742616519347924)	(23, 0.0005094116929112452)	(24, 0.0006237694198913206)	(25, 0.0007277309898732074)	(26, 0.0009148618158406036)	(27, 0.0011123887988061885)	(28, 0.0020376467716449807)	(29, 0.0031396394134529807)	(30, 0.005042136144121509)	(31, 0.009377333612366187)	(32, 0.014876900664407998)	(33, 0.020729937054388223)	(34, 0.02870378947199894)	(35, 0.037051903541544445)	(36, 0.048071829959624446)	(37, 0.0642690425628024)	(38, 0.08156824780778836)	(39, 0.10177837701226715)	(40, 0.10763141340224738)
SRR2977686 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 9.561053012310142e-06)	(5, 9.561053012310142e-06)	(6, 9.561053012310142e-06)	(7, 2.8683159036930428e-05)	(8, 3.824421204924057e-05)	(9, 6.692737108617099e-05)	(10, 0.00012429368916003184)	(11, 0.00017209895422158256)	(12, 0.00021034316627082313)	(13, 0.00022946527229544342)	(14, 0.0002772705373569941)	(15, 0.0002963926433816144)	(16, 0.000401564226517026)	(17, 0.0004493694915785767)	(18, 0.0005354189686893679)	(19, 0.0007457621349601911)	(20, 0.0009656663542433244)	(21, 0.0012333758385880084)	(22, 0.0014341579518465214)	(23, 0.0019600158675235793)	(24, 0.002227725351868263)	(25, 0.0025719232603114285)	(26, 0.002896999062729973)	(27, 0.0032029527591238977)	(28, 0.0044458896507242164)	(29, 0.005803559178472257)	(30, 0.007935674000217418)	(31, 0.012171220484670812)	(32, 0.021149049263230035)	(33, 0.02946716538393986)	(34, 0.040959551104736654)	(35, 0.05094129044958844)	(36, 0.06301690040413616)	(37, 0.08225373906490416)	(38, 0.10293429673053099)	(39, 0.12759225244927885)	(40, 0.13636929911457957)
SRR2977687 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.254652136485818e-05)	(5, 4.509304272971636e-05)	(6, 4.509304272971636e-05)	(7, 4.509304272971636e-05)	(8, 4.509304272971636e-05)	(9, 4.509304272971636e-05)	(10, 7.891282477700363e-05)	(11, 0.00010145934614186182)	(12, 0.00011273260682429091)	(13, 0.00011273260682429091)	(14, 0.00015782564955400726)	(15, 0.00019164543160129452)	(16, 0.00024801173501344)	(17, 0.00025928499569586905)	(18, 0.00032692455979044363)	(19, 0.0004622036879795927)	(20, 0.0005523897734390254)	(21, 0.0008229480298173236)	(22, 0.0009356806366416145)	(23, 0.0011949656323374835)	(24, 0.0013527912818914907)	(25, 0.0014542506280333526)	(26, 0.0018600880126008)	(27, 0.002254652136485818)	(28, 0.0032917921192692945)	(29, 0.004385298405464916)	(30, 0.006414485328302152)	(31, 0.010641958084213062)	(32, 0.01792448448506225)	(33, 0.025218284146593873)	(34, 0.03481182898734103)	(35, 0.04309767558892641)	(36, 0.053615627805632754)	(37, 0.07007458840197922)	(38, 0.08978024807486527)	(39, 0.11204493792266272)	(40, 0.12006022626786982)
SRR2977692 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.1374370926197963e-05)	(5, 1.1374370926197963e-05)	(6, 1.1374370926197963e-05)	(7, 1.1374370926197963e-05)	(8, 1.1374370926197963e-05)	(9, 1.1374370926197963e-05)	(10, 2.2748741852395926e-05)	(11, 9.09949674095837e-05)	(12, 9.09949674095837e-05)	(13, 0.00011374370926197963)	(14, 0.00023886178945015723)	(15, 0.0002729849022287511)	(16, 0.0003639798696383348)	(17, 0.0005118466916789083)	(18, 0.0006597135137194818)	(19, 0.0008417034485386492)	(20, 0.000944072786874431)	(21, 0.0013421757692913597)	(22, 0.001546914445962923)	(23, 0.002058761137641831)	(24, 0.0022976229270919887)	(25, 0.002502361603763552)	(26, 0.002752597764139907)	(27, 0.003082454520999648)	(28, 0.0040151529369478805)	(29, 0.004811358901781739)	(30, 0.0065971351371948185)	(31, 0.009668215287268269)	(32, 0.016242601682610693)	(33, 0.02245300820831478)	(34, 0.03065392964610351)	(35, 0.03784253207146062)	(36, 0.04620269470221613)	(37, 0.06025004279607061)	(38, 0.07570781288477364)	(39, 0.09455514550948367)	(40, 0.10046981839110661)
SRR2977695 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 1.5611388820372238e-05)	(4, 1.5611388820372238e-05)	(5, 1.5611388820372238e-05)	(6, 1.5611388820372238e-05)	(7, 1.5611388820372238e-05)	(8, 3.1222777640744476e-05)	(9, 3.1222777640744476e-05)	(10, 3.1222777640744476e-05)	(11, 3.1222777640744476e-05)	(12, 3.1222777640744476e-05)	(13, 3.1222777640744476e-05)	(14, 3.1222777640744476e-05)	(15, 4.683416646111671e-05)	(16, 0.00010927972174260567)	(17, 0.00014050249938335013)	(18, 0.00014050249938335013)	(19, 0.00021855944348521134)	(20, 0.0002497822211259558)	(21, 0.0003590619428685615)	(22, 0.0004371188869704227)	(23, 0.0006244555528148896)	(24, 0.0007649580521982397)	(25, 0.0008430149963001008)	(26, 0.0009366833292223343)	(27, 0.0012176883279890346)	(28, 0.0020138691578280186)	(29, 0.0029973866535114697)	(30, 0.0044336344249857156)	(31, 0.008414538574180636)	(32, 0.013503851329621985)	(33, 0.019373733526081946)	(34, 0.026617417938734667)	(35, 0.03440750096010041)	(36, 0.043477717864736684)	(37, 0.058152423355886586)	(38, 0.07477855244958302)	(39, 0.09557292235831884)	(40, 0.102457544828103)
