Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977633	(1.0, 32.51408975434977)	(2.0, 14.027620625319297)	(3.0, 7.585067766733615)	(4.0, 4.923020922914052)	(5.0, 3.4278925186606553)	(6.0, 2.637023706866749)	(7.0, 2.0903424654925904)	(8.0, 1.7686788197032195)	(9.0, 1.449791827963238)	('>10', 17.29720128924604)	('>50', 4.969272591103943)	('>100', 6.371218427011724)	('>500', 0.752491871991091)	('>1k', 0.1862874126439109)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977634	(1.0, 31.96715743798985)	(2.0, 13.75618523563388)	(3.0, 7.339226308099388)	(4.0, 4.8055986379526985)	(5.0, 3.2993094890346346)	(6.0, 2.6346364387672385)	(7.0, 2.1048825322731)	(8.0, 1.6962223132458327)	(9.0, 1.4121805214761498)	('>10', 17.121386235108037)	('>50', 5.213483888639411)	('>100', 7.115685965471452)	('>500', 1.051254245061037)	('>1k', 0.48279075124733767)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977635	(1.0, 33.3364469961326)	(2.0, 13.201538403645884)	(3.0, 7.156530278455349)	(4.0, 4.638912340837558)	(5.0, 3.4660262506070088)	(6.0, 2.7620555818272474)	(7.0, 2.1422988277865302)	(8.0, 1.797119422231896)	(9.0, 1.533725815770355)	('>10', 17.52980221824649)	('>50', 5.002779420825254)	('>100', 6.395377591573485)	('>500', 0.7585816538276797)	('>1k', 0.2788051982325971)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977636	(1.0, 50.588160174198684)	(2.0, 15.527171246079657)	(3.0, 7.237451949052718)	(4.0, 4.042576209177364)	(5.0, 2.630685610398665)	(6.0, 1.8957611759782433)	(7.0, 1.4141932777018191)	(8.0, 1.1005070041816405)	(9.0, 0.8836406088656996)	('>10', 9.546976880035544)	('>50', 2.5960686035459437)	('>100', 2.365491144163165)	('>500', 0.15446372650181614)	('>1k', 0.01685239011905233)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977637	(1.0, 45.33407056049111)	(2.0, 14.942544969800469)	(3.0, 7.395268670386764)	(4.0, 4.3987846317916075)	(5.0, 3.046018409547132)	(6.0, 2.169306197551888)	(7.0, 1.6789345519702312)	(8.0, 1.3492438220606489)	(9.0, 1.1264919102070392)	('>10', 11.119126422095029)	('>50', 2.9997135762271063)	('>100', 3.6584328892629387)	('>500', 0.5526924552154947)	('>1k', 0.22937093339265927)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977638	(1.0, 49.817541685251776)	(2.0, 13.77398062337586)	(3.0, 6.466846586527248)	(4.0, 3.819280248655367)	(5.0, 2.756833797976413)	(6.0, 1.9336612230434782)	(7.0, 1.5813850834518899)	(8.0, 1.264465605534554)	(9.0, 1.0837242852988105)	('>10', 11.768722892390658)	('>50', 2.778411038910345)	('>100', 2.7264667056741927)	('>500', 0.21439317912505276)	('>1k', 0.01428704478424394)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977639	(1.0, 42.93962175039937)	(2.0, 14.04091600213975)	(3.0, 7.151606131021349)	(4.0, 4.1977941076347385)	(5.0, 2.986496361618649)	(6.0, 2.149991868965357)	(7.0, 1.6930143872487944)	(8.0, 1.4108044285401895)	(9.0, 1.1159244662967904)	('>10', 12.824505421228771)	('>50', 3.4706626127076707)	('>100', 4.517052388542408)	('>500', 0.9483240974636233)	('>1k', 0.5532859761926632)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977640	(1.0, 42.22895063038079)	(2.0, 22.811866278874987)	(3.0, 8.962502236450769)	(4.0, 3.412303851702457)	(5.0, 1.630238521694971)	(6.0, 0.9462434761348053)	(7.0, 0.6609511589669497)	(8.0, 0.5489013609377629)	(9.0, 0.45222634144431695)	('>10', 6.372745714662494)	('>50', 3.5777869456239992)	('>100', 6.192371229845503)	('>500', 0.6924608949176599)	('>1k', 0.39297484972508656)	('>5k', 0.39491338909919577)	('>10k+', 0.7225631195382619)
SRR2977641	(1.0, 43.21381261227037)	(2.0, 23.37526022572374)	(3.0, 9.121246710391743)	(4.0, 3.522364441591236)	(5.0, 1.6426042326008712)	(6.0, 1.0078171328586036)	(7.0, 0.6529071726964476)	(8.0, 0.536563610076732)	(9.0, 0.484197500651372)	('>10', 5.985165062202571)	('>50', 3.0316354154066647)	('>100', 5.457044802639512)	('>500', 0.7630318796274003)	('>1k', 0.29719750857069394)	('>5k', 0.44114824806722674)	('>10k+', 0.4680034446248196)
SRR2977642	(1.0, 50.793744627207275)	(2.0, 20.55876267074258)	(3.0, 6.861542267062778)	(4.0, 2.734518975363585)	(5.0, 1.3663311785681067)	(6.0, 0.9053665903765317)	(7.0, 0.7606710340966337)	(8.0, 0.5435201255355541)	(9.0, 0.4633035415285234)	('>10', 5.596473977422092)	('>50', 2.57242776610907)	('>100', 4.869369554863578)	('>500', 0.8456431705296138)	('>1k', 0.2869199400885616)	('>5k', 0.4319508560858065)	('>10k+', 0.4094537244197716)
