Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
ERR1041760 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.535387692301551e-05)	(5, 1.535387692301551e-05)	(6, 1.535387692301551e-05)	(7, 9.212326153809305e-05)	(8, 0.00010747713846110855)	(9, 0.00023030815384523262)	(10, 0.0003992007999984032)	(11, 0.0005373856923055428)	(12, 0.0007830477230737909)	(13, 0.0008905248615348995)	(14, 0.000998001999996008)	(15, 0.0011822485230721942)	(16, 0.0015353876923015508)	(17, 0.002272373784606295)	(18, 0.002748343969219776)	(19, 0.00317825252306421)	(20, 0.004421916553828466)	(21, 0.006847829107664917)	(22, 0.011377222799954491)	(23, 0.013987381876867128)	(24, 0.01834788292300353)	(25, 0.021280473415299494)	(26, 0.025748451599897006)	(27, 0.05745420744592403)	(28, 0.15814493230705973)	(29, 0.2948404985526668)	(30, 0.47104159012119273)	(31, 0.8454458788889259)	(32, 1.2562695637180519)
ERR1041761 - nextera_transposase_sequence	(1, 0.0)	(2, 4.101562900543252e-05)	(3, 6.152344350814879e-05)	(4, 0.00012304688701629757)	(5, 0.00016406251602173007)	(6, 0.00016406251602173007)	(7, 0.00018457033052444633)	(8, 0.00018457033052444633)	(9, 0.00036914066104889266)	(10, 0.0004921875480651903)	(11, 0.0006767578785896365)	(12, 0.001025390725135813)	(13, 0.0011279297976493944)	(14, 0.001189453241157543)	(15, 0.0013125001281738405)	(16, 0.0017021486037254495)	(17, 0.0021328127082824912)	(18, 0.002337890853309654)	(19, 0.0030966799899101553)	(20, 0.004450195747089428)	(21, 0.0068701178584099475)	(22, 0.01113574327497493)	(23, 0.013166016910743839)	(24, 0.017452150141811538)	(25, 0.019995119140148353)	(26, 0.02374804919414543)	(27, 0.05063379400720645)	(28, 0.13974024802150858)	(29, 0.2706826436213519)	(30, 0.430623088928036)	(31, 0.7884844520004348)	(32, 1.1894532411575431)
ERR1041762 - nextera_transposase_sequence	(1, 0.0)	(2, 0.00014896480631968294)	(3, 0.00014896480631968294)	(4, 0.0002234472094795244)	(5, 0.0002234472094795244)	(6, 0.0002234472094795244)	(7, 0.0002979296126393659)	(8, 0.0002979296126393659)	(9, 0.0006703416284385733)	(10, 0.0008937888379180976)	(11, 0.001564130466356671)	(12, 0.0024579193042747684)	(13, 0.0027558489169141344)	(14, 0.0037241201579920735)	(15, 0.004617908995910172)	(16, 0.007299275509664464)	(17, 0.008788923572861294)	(18, 0.010204089232898282)	(19, 0.012810973343492732)	(20, 0.017875776758361953)	(21, 0.027186077153342137)	(22, 0.047221843603339496)	(23, 0.05571283756356142)	(24, 0.07172655424292734)	(25, 0.08006858339682958)	(26, 0.09422023999719946)	(27, 0.14054829476262085)	(28, 0.30254752163527604)	(29, 0.6103832938949009)	(30, 0.9625360960346313)	(31, 1.5765690276843645)	(32, 2.2089991129145785)
ERR1041763 - nextera_transposase_sequence	(1, 2.5926261046855755e-05)	(2, 7.777878314056726e-05)	(3, 7.777878314056726e-05)	(4, 0.00012963130523427878)	(5, 0.00015555756628113452)	(6, 0.00018148382732799027)	(7, 0.00023333634942170178)	(8, 0.00023333634942170178)	(9, 0.0003370413936091248)	(10, 0.00046667269884340356)	(11, 0.0005963040040776823)	(12, 0.0007777878314056727)	(13, 0.0009592716587336629)	(14, 0.0014518706186239221)	(15, 0.0020222483616547486)	(16, 0.002722257409919854)	(17, 0.004588948205293469)	(18, 0.0057556299524019775)	(19, 0.00824455101290013)	(20, 0.012600162868771896)	(21, 0.02227065823924909)	(22, 0.03694492199176945)	(23, 0.04280425698835885)	(24, 0.05415995932688167)	(25, 0.06261192042815665)	(26, 0.07503059946960056)	(27, 0.10546802993860921)	(28, 0.2180917079261506)	(29, 0.5529812218683864)	(30, 1.0054204033970662)	(31, 1.69835158239638)	(32, 2.247469791368785)
ERR1041764 - nextera_transposase_sequence	(1, 0.0)	(2, 1.0123715857262085e-05)	(3, 2.024743171452417e-05)	(4, 3.0371147571786257e-05)	(5, 3.0371147571786257e-05)	(6, 3.0371147571786257e-05)	(7, 4.049486342904834e-05)	(8, 4.049486342904834e-05)	(9, 0.00011136087442988294)	(10, 0.00016197945371619336)	(11, 0.00018222688543071753)	(12, 0.0002125980330025038)	(13, 0.00024296918057429006)	(14, 0.0002834640440033384)	(15, 0.00038470120257595925)	(16, 0.0004555672135767939)	(17, 0.000597299235578463)	(18, 0.0006985363941510839)	(19, 0.0008098972685809669)	(20, 0.0012452170504432365)	(21, 0.0018526400018789616)	(22, 0.0028953827351769564)	(23, 0.003411692243897323)	(24, 0.004677156726055083)	(25, 0.006074229514357252)	(26, 0.008797509079960752)	(27, 0.030199044402212803)	(28, 0.09647901211970768)	(29, 0.2055721741975639)	(30, 0.353054466806158)	(31, 0.7769648208972932)	(32, 1.3078221093045452)
ERR1041765 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.71890566584595e-05)	(5, 3.6252075544612664e-05)	(6, 3.6252075544612664e-05)	(7, 3.6252075544612664e-05)	(8, 3.6252075544612664e-05)	(9, 0.00012688226440614434)	(10, 0.00019938641549536966)	(11, 0.00022657547215382915)	(12, 0.000271890566584595)	(13, 0.0002990796232430545)	(14, 0.0003081426421292076)	(15, 0.0003443947176738203)	(16, 0.000380646793218433)	(17, 0.000435024906535352)	(18, 0.000489403019852271)	(19, 0.0005709701898276494)	(20, 0.0006978524542337938)	(21, 0.0008428607564122444)	(22, 0.0011691294363137584)	(23, 0.0014319569840122004)	(24, 0.0018851079283198585)	(25, 0.002555771325895193)	(26, 0.004114610574313537)	(27, 0.020745250230404598)	(28, 0.07804165562866491)	(29, 0.16128548409798174)	(30, 0.2726518601710319)	(31, 0.6268890163552145)	(32, 1.087507888225063)
ERR1041766 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.171768500771014e-05)	(5, 2.171768500771014e-05)	(6, 2.171768500771014e-05)	(7, 2.171768500771014e-05)	(8, 2.171768500771014e-05)	(9, 3.61961416795169e-05)	(10, 9.410996836674395e-05)	(11, 0.00010134919670264732)	(12, 0.0001085884250385507)	(13, 0.00012306688171035747)	(14, 0.00013030611004626085)	(15, 0.00016650225172577774)	(16, 0.0002171768500771014)	(17, 0.0002606122200925217)	(18, 0.00030404759010794195)	(19, 0.00034748296012336225)	(20, 0.00041987524348239603)	(21, 0.000571899038536367)	(22, 0.0008397504869647921)	(23, 0.0010207311953623766)	(24, 0.0013609749271498355)	(25, 0.0018242855406476518)	(26, 0.002787102909322801)	(27, 0.014022385286644847)	(28, 0.05392501187414428)	(29, 0.11264239290665659)	(30, 0.1927589329000993)	(31, 0.4685590540413463)	(32, 0.828522443815806)
ERR1041767 - nextera_transposase_sequence	(1, 0.0)	(2, 5.417224324767365e-06)	(3, 1.083444864953473e-05)	(4, 3.250334594860419e-05)	(5, 3.250334594860419e-05)	(6, 3.250334594860419e-05)	(7, 5.4172243247673654e-05)	(8, 5.958946757244102e-05)	(9, 9.751003784581258e-05)	(10, 0.00014084783244395151)	(11, 0.0001733511783925557)	(12, 0.0002058545243411599)	(13, 0.00022210619731546197)	(14, 0.00024377509461453144)	(15, 0.00025460954326406615)	(16, 0.00028169566488790303)	(17, 0.0002979473378622051)	(18, 0.0003575368054346461)	(19, 0.0003900401513832503)	(20, 0.00047129851625476077)	(21, 0.0005958946757244102)	(22, 0.0008125836487151048)	(23, 0.0009696831541333584)	(24, 0.0015059883622853276)	(25, 0.002063962467736366)	(26, 0.003174493454313676)	(27, 0.014978625257981765)	(28, 0.055136509177482244)	(29, 0.11083099246041553)	(30, 0.18998747429391627)	(31, 0.4543534385668885)	(32, 0.7817217217369051)
ERR1041768 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 2.9937202227746967e-05)	(4, 5.239010389855719e-05)	(5, 6.735870501243068e-05)	(6, 6.735870501243068e-05)	(7, 7.484300556936741e-05)	(8, 9.729590724017765e-05)	(9, 0.0001422017105817981)	(10, 0.00027691912060665946)	(11, 0.00029937202227746964)	(12, 0.0003293092245052166)	(13, 0.00033679352506215337)	(14, 0.00033679352506215337)	(15, 0.00038169932840377384)	(16, 0.00044157373285926775)	(17, 0.0005239010389855719)	(18, 0.0005613225417702557)	(19, 0.000606228345111876)	(20, 0.0007110085529089905)	(21, 0.0008457259629338518)	(22, 0.0012274252913376256)	(23, 0.0014295014063749176)	(24, 0.0019534024453604897)	(25, 0.002612020894370923)	(26, 0.004034038000188904)	(27, 0.019257105332998237)	(28, 0.0641853615762895)	(29, 0.12572876505598032)	(30, 0.20975500740870912)	(31, 0.48200392446784)	(32, 0.8408012931673874)
ERR1041769 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 4.689214677288832e-05)	(5, 4.689214677288832e-05)	(6, 4.689214677288832e-05)	(7, 7.033822015933249e-05)	(8, 8.206125685255456e-05)	(9, 0.00014067644031866497)	(10, 0.0002344607338644416)	(11, 0.0002461837705576637)	(12, 0.0002579068072508858)	(13, 0.00026962984394410787)	(14, 0.00028135288063732994)	(15, 0.0003047989540237741)	(16, 0.0003516911007966624)	(17, 0.0004103062842627728)	(18, 0.0004220293209559949)	(19, 0.0004689214677288832)	(20, 0.0006799361282068807)	(21, 0.0008323356052187677)	(22, 0.001172303669322208)	(23, 0.0015122717334256483)	(24, 0.002004639274540976)	(25, 0.002473560742269859)	(26, 0.003962386402309063)	(27, 0.018885812112780773)	(28, 0.058017308594756074)	(29, 0.11152124806262165)	(30, 0.183594477652551)	(31, 0.4080202921075945)	(32, 0.6977199748704985)
ERR1041770 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.864807081045448e-05)	(5, 2.7972106215681723e-05)	(6, 2.7972106215681723e-05)	(7, 5.5944212431363446e-05)	(8, 5.5944212431363446e-05)	(9, 0.00010256438945749965)	(10, 0.00014918456648363584)	(11, 0.0002517489559411355)	(12, 0.00038228545161431686)	(13, 0.0004382296640456803)	(14, 0.0005687661597188617)	(15, 0.0008018670448495428)	(16, 0.0011375323194377234)	(17, 0.0016410302313199943)	(18, 0.0019021032226663572)	(19, 0.0023869530637381734)	(20, 0.0033473287104765796)	(21, 0.005417264570437027)	(22, 0.009034990307665197)	(23, 0.010424271583044055)	(24, 0.013939432930814726)	(25, 0.016615431092114944)	(26, 0.021435957396617425)	(27, 0.04821458708043006)	(28, 0.12256444540171207)	(29, 0.2344248981582233)	(30, 0.3955349059251448)	(31, 0.7961607351815436)	(32, 1.3053463086610033)
ERR1041771 - nextera_transposase_sequence	(1, 0.0)	(2, 9.6757885162904e-06)	(3, 1.93515770325808e-05)	(4, 3.87031540651616e-05)	(5, 4.8378942581451994e-05)	(6, 4.8378942581451994e-05)	(7, 5.8054731097742394e-05)	(8, 5.8054731097742394e-05)	(9, 0.0002225431358746792)	(10, 0.00040638311768419677)	(11, 0.0004257346947167776)	(12, 0.00046443784878193915)	(13, 0.00047411363729822956)	(14, 0.0005128167913633912)	(15, 0.0005418441569122624)	(16, 0.0006676294076240376)	(17, 0.000822442023884684)	(18, 0.0008998483320150071)	(19, 0.0010836883138245247)	(20, 0.001480395642992431)	(21, 0.0024382987061051806)	(22, 0.004131561696456)	(23, 0.004779839527047457)	(24, 0.00629893832410505)	(25, 0.007198786656120057)	(26, 0.008669506510596198)	(27, 0.020425589557889035)	(28, 0.06210888648606808)	(29, 0.12841706518820617)	(30, 0.21681506907303527)	(31, 0.4997544768663991)	(32, 0.8471443119667733)
ERR1041772 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 7.407011269471366e-06)	(5, 1.4814022538942732e-05)	(6, 1.4814022538942732e-05)	(7, 2.9628045077885464e-05)	(8, 4.44420676168282e-05)	(9, 0.00011851218031154185)	(10, 0.00019998930427572687)	(11, 0.0002592453944314978)	(12, 0.00038516458601251105)	(13, 0.00045182768743775334)	(14, 0.0004888627437851102)	(15, 0.0005703398677492952)	(16, 0.0007258871044081938)	(17, 0.0009629114650312776)	(18, 0.0010962376678817622)	(19, 0.0014073321411995595)	(20, 0.0018073107497510133)	(21, 0.0026961521020875774)	(22, 0.004533090896916476)	(23, 0.005399711215444625)	(24, 0.0071922079426566966)	(25, 0.008258817565460572)	(26, 0.010399443822337798)	(27, 0.02753926789989454)	(28, 0.07913650840303207)	(29, 0.14896240364033864)	(30, 0.24231296666948626)	(31, 0.49489205095845984)	(32, 0.7942019693465283)
ERR1041773 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 9.725438235540973e-06)	(4, 1.9450876471081946e-05)	(5, 1.9450876471081946e-05)	(6, 1.9450876471081946e-05)	(7, 3.890175294216389e-05)	(8, 3.890175294216389e-05)	(9, 8.752894411986874e-05)	(10, 0.00013615613529757362)	(11, 0.00018478332647527848)	(12, 0.00027231227059514723)	(13, 0.00033066490000839305)	(14, 0.00038901752942163887)	(15, 0.0004959973500125896)	(16, 0.0006516043617812451)	(17, 0.0008363876882565236)	(18, 0.001050347329438425)	(19, 0.001371286791211277)	(20, 0.0019159113324015715)	(21, 0.003452530573617045)	(22, 0.006049222582506485)	(23, 0.007157922541358155)	(24, 0.009443400526710284)	(25, 0.011018921520867921)	(26, 0.013829573170939262)	(27, 0.03337770402437662)	(28, 0.10596837501445443)	(29, 0.21757750420552263)	(30, 0.36987786697409425)	(31, 0.8159642679618876)	(32, 1.3572238075226848)
ERR1041774 - nextera_transposase_sequence	(1, 1.1449651873334792e-05)	(2, 2.2899303746669583e-05)	(3, 3.4348955620004376e-05)	(4, 4.5798607493339166e-05)	(5, 4.5798607493339166e-05)	(6, 4.5798607493339166e-05)	(7, 6.869791124000875e-05)	(8, 9.159721498667833e-05)	(9, 0.00016029512622668708)	(10, 0.00021754338559336103)	(11, 0.0002862412968333698)	(12, 0.0003892881636933829)	(13, 0.0004236371193133873)	(14, 0.0005266839861734004)	(15, 0.0006297308530334135)	(16, 0.0009617707573601225)	(17, 0.0013625085729268402)	(18, 0.001488454743533523)	(19, 0.0019006422109735753)	(20, 0.00246167515276698)	(21, 0.003973029200047173)	(22, 0.0067667442571408614)	(23, 0.008072004570701027)	(24, 0.010510780419721338)	(25, 0.01237707367507491)	(26, 0.01541123142150863)	(27, 0.04330258338495218)	(28, 0.1422733741780581)	(29, 0.29288209491990397)	(30, 0.4838279392115083)	(31, 1.0068709360891883)	(32, 1.637025426241915)
ERR1041775 - nextera_transposase_sequence	(1, 1.0100512217175557e-05)	(2, 1.0100512217175557e-05)	(3, 1.0100512217175557e-05)	(4, 7.07035855202289e-05)	(5, 8.080409773740445e-05)	(6, 8.080409773740445e-05)	(7, 8.080409773740445e-05)	(8, 0.00011110563438893113)	(9, 0.00020201024434351113)	(10, 0.0003232163909496178)	(11, 0.0004646235619900756)	(12, 0.0006666338063335868)	(13, 0.0007676389285053423)	(14, 0.0009494481484145023)	(15, 0.0011817599294095403)	(16, 0.0014948758081419825)	(17, 0.0019493988579148826)	(18, 0.002171610126692745)	(19, 0.002838243933026332)	(20, 0.003989702325784345)	(21, 0.0068279462588106766)	(22, 0.011999408514004562)	(23, 0.0140498124940912)	(24, 0.018675847089557607)	(25, 0.021019165923942335)	(26, 0.024150324711266758)	(27, 0.04154340674924307)	(28, 0.09669220345502161)	(29, 0.18262736139875124)	(30, 0.2970257627704816)	(31, 0.5549120406994079)	(32, 0.8402717118590518)
ERR1041776 - nextera_transposase_sequence	(1, 0.0)	(2, 2.628306360120287e-05)	(3, 3.9424595401804304e-05)	(4, 3.9424595401804304e-05)	(5, 5.256612720240574e-05)	(6, 5.256612720240574e-05)	(7, 5.256612720240574e-05)	(8, 6.570765900300718e-05)	(9, 0.00015769838160721721)	(10, 0.00023654757241082583)	(11, 0.00027597216781263015)	(12, 0.0003679628904168402)	(13, 0.0004073874858186445)	(14, 0.0005782273992264631)	(15, 0.0007096427172324775)	(16, 0.0009199072260421005)	(17, 0.0011564547984529263)	(18, 0.0013535777754619478)	(19, 0.0017872483248817953)	(20, 0.0023786172559088596)	(21, 0.003771619626772612)	(22, 0.006570765900300718)	(23, 0.007898060612161462)	(24, 0.010854905267296785)	(25, 0.01245817214697016)	(26, 0.015493865992909093)	(27, 0.0393588877428013)	(28, 0.1070640595794999)	(29, 0.20101287042199956)	(30, 0.3272635664303775)	(31, 0.6546979727741629)	(32, 1.053793152026628)
ERR1041777 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0001649723456856927)	(10, 0.0002969502222342469)	(11, 0.0006268949136056322)	(12, 0.001088817481525572)	(13, 0.001286784296348403)	(14, 0.0015507400494455114)	(15, 0.0020456570865025896)	(16, 0.0031344745680281613)	(17, 0.00452024227178798)	(18, 0.005477081876764998)	(19, 0.007291777679307617)	(20, 0.010558230123884333)	(21, 0.016827179259940657)	(22, 0.028639199211036255)	(23, 0.03289548572972713)	(24, 0.042628854125183)	(25, 0.047841980248850884)	(26, 0.056486531162781184)	(27, 0.08116639407736082)	(28, 0.16378454479675572)	(29, 0.34614497571772046)	(30, 0.5836061700977065)	(31, 1.0170545111522955)	(32, 1.4710254120101847)
ERR1041778 - nextera_transposase_sequence	(1, 0.0002883790107662699)	(2, 0.0002883790107662699)	(3, 0.00036047376345783736)	(4, 0.0007569949032614585)	(5, 0.0036047376345783736)	(6, 0.0037849745163072925)	(7, 0.003821021892653076)	(8, 0.003929164021690427)	(9, 0.004253590408802481)	(10, 0.0052268695701386415)	(11, 0.005335011699175993)	(12, 0.005479201204559128)	(13, 0.005587343333596479)	(14, 0.005623390709942263)	(15, 0.005659438086288046)	(16, 0.005659438086288046)	(17, 0.005659438086288046)	(18, 0.005659438086288046)	(19, 0.005659438086288046)	(20, 0.005659438086288046)	(21, 0.005767580215325398)	(22, 0.005839674968016966)	(23, 0.005911769720708533)	(24, 0.006236196107820586)	(25, 0.0064885277422410724)	(26, 0.007245522645502531)	(27, 0.0148515190544629)	(28, 0.029955369743346286)	(29, 0.05172798505619966)	(30, 0.07761000127247239)	(31, 0.1436127473616024)	(32, 0.23142415613993159)
ERR1041779 - nextera_transposase_sequence	(1, 0.00035003610145064505)	(2, 0.00035003610145064505)	(3, 0.0003818575652188855)	(4, 0.0010819297681201757)	(5, 0.0042322546811759815)	(6, 0.004295897608712462)	(7, 0.004486826391321905)	(8, 0.004614112246394866)	(9, 0.005282362985527917)	(10, 0.005886970797124485)	(11, 0.006077899579733928)	(12, 0.006173363971038649)	(13, 0.006300649826111612)	(14, 0.006332471289879852)	(15, 0.006364292753648092)	(16, 0.006396114217416333)	(17, 0.006396114217416333)	(18, 0.006396114217416333)	(19, 0.006459757144952814)	(20, 0.006459757144952814)	(21, 0.006555221536257535)	(22, 0.006618864463794016)	(23, 0.006746150318866977)	(24, 0.007064364956549382)	(25, 0.007414401058000028)	(26, 0.008528152289888444)	(27, 0.014860623579768296)	(28, 0.03032585497113316)	(29, 0.04903687566685855)	(30, 0.07452586814521917)	(31, 0.15102466704406922)	(32, 0.24709366616038717)
ERR1041780 - nextera_transposase_sequence	(1, 0.0004468592719500626)	(2, 0.0004468592719500626)	(3, 0.0004915451991450688)	(4, 0.0015193215246302129)	(5, 0.00656883129766592)	(6, 0.0067922609336409515)	(7, 0.00692631871522597)	(8, 0.00728380613278602)	(9, 0.007909409113516107)	(10, 0.009384044710951315)	(11, 0.009875589910096383)	(12, 0.010054333618876409)	(13, 0.01014370547326642)	(14, 0.010277763254851439)	(15, 0.010322449182046445)	(16, 0.010456506963631464)	(17, 0.010456506963631464)	(18, 0.010590564745216483)	(19, 0.010590564745216483)	(20, 0.010679936599606496)	(21, 0.010769308453996509)	(22, 0.010948052162776533)	(23, 0.011037424017166547)	(24, 0.011260853653141577)	(25, 0.01206520034265169)	(26, 0.013271720376916858)	(27, 0.020823642072872916)	(28, 0.0392789300044105)	(29, 0.07279337540066519)	(30, 0.10675468006886996)	(31, 0.1820951533196505)	(32, 0.2670431009173574)
ERR1041781 - nextera_transposase_sequence	(1, 0.00010314642268313611)	(2, 0.00011051402430336011)	(3, 0.00012524922754380812)	(4, 0.0003168068696696323)	(5, 0.0012819626819189772)	(6, 0.0013114330883998732)	(7, 0.0013482710965009935)	(8, 0.0014219471127032335)	(9, 0.0016503427629301778)	(10, 0.0020702960552829463)	(11, 0.0021587072747256343)	(12, 0.0021734424779660823)	(13, 0.0021734424779660823)	(14, 0.0021881776812065303)	(15, 0.0022029128844469783)	(16, 0.0022102804860672023)	(17, 0.0022102804860672023)	(18, 0.0022176480876874263)	(19, 0.0022250156893076503)	(20, 0.0022618536974087704)	(21, 0.0023281621119907864)	(22, 0.0023576325184716824)	(23, 0.0023797353233323544)	(24, 0.0024902493476357144)	(25, 0.002777585810824451)	(26, 0.0033154207291008035)	(27, 0.007338131213743111)	(28, 0.018396901245699347)	(29, 0.038503086067290665)	(30, 0.061615252349933376)	(31, 0.11545768499053043)	(32, 0.18961996289970529)
ERR1041782 - nextera_transposase_sequence	(1, 1.3061768712387821e-05)	(2, 1.959265306858173e-05)	(3, 2.6123537424775642e-05)	(4, 5.877795920574519e-05)	(5, 0.00016980299326104168)	(6, 0.0001763338776172356)	(7, 0.00018286476197342948)	(8, 0.00020898829939820513)	(9, 0.0002547044898915625)	(10, 0.00030695156474111376)	(11, 0.0003200133334535016)	(12, 0.00033960598652208336)	(13, 0.0003526677552344712)	(14, 0.00035919863959066507)	(15, 0.00035919863959066507)	(16, 0.00036572952394685896)	(17, 0.0003787912926592468)	(18, 0.00039838394572782855)	(19, 0.0004114457144402163)	(20, 0.000437569251864992)	(21, 0.00046369278928976764)	(22, 0.0004898163267145432)	(23, 0.0005290016328517068)	(24, 0.0006661502043317788)	(25, 0.0009600400003605048)	(26, 0.0017372152387475802)	(27, 0.006988046261127484)	(28, 0.020787804905765216)	(29, 0.04190215402934013)	(30, 0.06807140764460913)	(31, 0.1284755570550466)	(32, 0.2240158643018073)
ERR1041783 - nextera_transposase_sequence	(1, 0.000243119585488053)	(2, 0.00026048527016577107)	(3, 0.00027785095484348917)	(4, 0.0007640901258195952)	(5, 0.004028838845230593)	(6, 0.004202495692007774)	(7, 0.0043240554847518)	(8, 0.004532443700884417)	(9, 0.005105511295249113)	(10, 0.006355840592044815)	(11, 0.006720519970276894)	(12, 0.0068247140783432025)	(13, 0.007033102294475819)	(14, 0.007241490510608436)	(15, 0.007328318933997027)	(16, 0.007501975780774208)	(17, 0.007519341465451926)	(18, 0.007606169888840515)	(19, 0.007692998312229106)	(20, 0.008040312005783468)	(21, 0.008752305077569909)	(22, 0.00901279034773568)	(23, 0.009186447194512861)	(24, 0.009655320680811248)	(25, 0.010124194167109636)	(26, 0.011600277364715672)	(27, 0.018893864929357265)	(28, 0.04145188932571304)	(29, 0.09339265219676779)	(30, 0.14986585876870698)	(31, 0.2701405908465823)	(32, 0.40027903182140157)
ERR1041784 - nextera_transposase_sequence	(1, 0.0002818774224793283)	(2, 0.0002818774224793283)	(3, 0.00029711403991064333)	(4, 0.0008227773412910123)	(5, 0.0032682544390170765)	(6, 0.0033292009087423366)	(7, 0.003420620613330227)	(8, 0.00353489524406509)	(9, 0.003976757149573226)	(10, 0.004837626034442526)	(11, 0.005020465443618306)	(12, 0.005089030222059224)	(13, 0.005203304852794087)	(14, 0.0052337780876567175)	(15, 0.00525663301380369)	(16, 0.005279487939950663)	(17, 0.00528710624866632)	(18, 0.005294724557381977)	(19, 0.0053099611748132925)	(20, 0.00531757948352895)	(21, 0.00537852595325421)	(22, 0.005401380879401183)	(23, 0.005454709040410785)	(24, 0.005622311832155251)	(25, 0.005949899106928524)	(26, 0.006810767991797824)	(27, 0.012813995259735951)	(28, 0.027707788798846406)	(29, 0.048086764613230276)	(30, 0.07298339749599905)	(31, 0.13944552273139527)	(32, 0.22612663929814655)
ERR1041785 - nextera_transposase_sequence	(1, 8.78105171973605e-05)	(2, 0.00010976314649670063)	(3, 0.00012073946114637069)	(4, 0.0002085499783437312)	(5, 0.00045002890063647257)	(6, 0.0005597920471331732)	(7, 0.0006146736203815235)	(8, 0.0007463893961775643)	(9, 0.0007902946547762445)	(10, 0.001383015645858428)	(11, 0.001558636680253149)	(12, 0.0016244945681511693)	(13, 0.0017013287706988598)	(14, 0.0019867129515902813)	(15, 0.0021513576713353324)	(16, 0.0022391681885326926)	(17, 0.0023050260764307133)	(18, 0.0023489313350293934)	(19, 0.0024806471108254342)	(20, 0.0030294628433089376)	(21, 0.004456383747766046)	(22, 0.004577123208912417)	(23, 0.004697862670058787)	(24, 0.004983246850950209)	(25, 0.00531253629044031)	(26, 0.006596765104451708)	(27, 0.012941074971961005)	(28, 0.029251878541370718)	(29, 0.06344309867509296)	(30, 0.10345176557314034)	(31, 0.18154824430554284)	(32, 0.2838584731551175)
ERR1041787 - nextera_transposase_sequence	(1, 0.0)	(2, 1.2386290754302812e-05)	(3, 1.2386290754302812e-05)	(4, 3.715887226290843e-05)	(5, 0.0002724983965946619)	(6, 0.0003096572688575703)	(7, 0.00033442985036617593)	(8, 0.00039636130413769)	(9, 0.00039636130413769)	(10, 0.0005202242116807181)	(11, 0.0005449967931893237)	(12, 0.0005821556654522322)	(13, 0.0006317008284694433)	(14, 0.0007555637360124715)	(15, 0.0008051088990296827)	(16, 0.0009041992250641052)	(17, 0.0009537443880813165)	(18, 0.0009537443880813165)	(19, 0.0009661306788356193)	(20, 0.001127152458641556)	(21, 0.0016102177980593655)	(22, 0.0016721492518308797)	(23, 0.0016969218333394852)	(24, 0.0018703299038997246)	(25, 0.00198180652068845)	(26, 0.002502030732369168)	(27, 0.005189855826052878)	(28, 0.013315262560875523)	(29, 0.0303959575110591)	(30, 0.049929138030594636)	(31, 0.08182383672292437)	(32, 0.11223218052473778)
ERR1041789 - nextera_transposase_sequence	(1, 2.3189080632955233e-05)	(2, 4.6378161265910465e-05)	(3, 6.956724189886569e-05)	(4, 8.116178221534331e-05)	(5, 0.00013913448379773138)	(6, 0.00017391810474716424)	(7, 0.00018551264506364186)	(8, 0.00020870172569659707)	(9, 0.00020870172569659707)	(10, 0.00027826896759546276)	(11, 0.00027826896759546276)	(12, 0.00027826896759546276)	(13, 0.000301458048228418)	(14, 0.0003594307498108061)	(15, 0.00038261983044376134)	(16, 0.00041740345139319415)	(17, 0.00041740345139319415)	(18, 0.000452187072342627)	(19, 0.0004637816126591046)	(20, 0.0006261051770897912)	(21, 0.0009159686850017316)	(22, 0.0009971304672170749)	(23, 0.001055103168799463)	(24, 0.0011710485719642393)	(25, 0.0013217775960784482)	(26, 0.0016928028862057318)	(27, 0.0049276796345029865)	(28, 0.014956957008256125)	(29, 0.03299806174069529)	(30, 0.05289429292377088)	(31, 0.08170672561021776)	(32, 0.11563235057623127)
