Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
ERR1041436 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 7.578140097075974e-05)	(4, 7.578140097075974e-05)	(5, 7.578140097075974e-05)	(6, 7.578140097075974e-05)	(7, 7.578140097075974e-05)	(8, 7.578140097075974e-05)	(9, 0.00022734420291227925)	(10, 0.0004546884058245585)	(11, 0.0008335954106783572)	(12, 0.0008335954106783572)	(13, 0.0008335954106783572)	(14, 0.0008335954106783572)	(15, 0.0011367210145613962)	(16, 0.001515628019415195)	(17, 0.0018945350242689936)	(18, 0.002046097826210513)	(19, 0.002652349033976591)	(20, 0.00295547463785963)	(21, 0.003182818840771909)	(22, 0.0050015724640701436)	(23, 0.008487516908725092)	(24, 0.014701591788327391)	(25, 0.015686750000947266)	(26, 0.019627382851426775)	(27, 0.03478366304557872)	(28, 0.06282278140475983)	(29, 0.09222596498141461)	(30, 0.1523206159512271)	(31, 0.26765990822872343)	(32, 0.450747772974079)
ERR1041437 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 6.177522220547427e-05)	(5, 6.177522220547427e-05)	(6, 6.177522220547427e-05)	(7, 0.00012355044441094855)	(8, 0.00012355044441094855)	(9, 0.0003706513332328456)	(10, 0.000679527444260217)	(11, 0.0007413026664656912)	(12, 0.001111953999698537)	(13, 0.001111953999698537)	(14, 0.001173729221904011)	(15, 0.0014826053329313825)	(16, 0.0019150318883697024)	(17, 0.002285683221602548)	(18, 0.0025945593326299195)	(19, 0.0030887611102737135)	(20, 0.003644738110122982)	(21, 0.005003792998643416)	(22, 0.008524980664355449)	(23, 0.014702502884902878)	(24, 0.022486180882792636)	(25, 0.0254513915486554)	(26, 0.031134711991559035)	(27, 0.05732740620668013)	(28, 0.10075538741712854)	(29, 0.1431331898500839)	(30, 0.2247382583835154)	(31, 0.38263572634070764)	(32, 0.6054589528358534)
ERR1041438 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0005338230269900922)	(18, 0.0010676460539801845)	(19, 0.0010676460539801845)	(20, 0.0010676460539801845)	(21, 0.0010676460539801845)	(22, 0.002669115134950461)	(23, 0.0037367611889306458)	(24, 0.005872053296891015)	(25, 0.006405876323881107)	(26, 0.0074735223778612915)	(27, 0.012811752647762215)	(28, 0.02135292107960369)	(29, 0.03149555859241544)	(30, 0.05925435599590024)	(31, 0.10729842842500854)	(32, 0.19377775879740347)
ERR1041439 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00010375418972387379)	(10, 0.00010375418972387379)	(11, 0.00010375418972387379)	(12, 0.00010375418972387379)	(13, 0.00010375418972387379)	(14, 0.00010375418972387379)	(15, 0.00010375418972387379)	(16, 0.00020750837944774758)	(17, 0.00036313966403355824)	(18, 0.0005706480434813058)	(19, 0.0008300335177909903)	(20, 0.0011931731818245485)	(21, 0.001919452509891665)	(22, 0.0028532402174065294)	(23, 0.004772692727298194)	(24, 0.0076259329447047235)	(25, 0.00918224579056283)	(26, 0.01270988824117454)	(27, 0.033823865849982857)	(28, 0.06583203337979791)	(29, 0.10297603330094474)	(30, 0.15459374268857196)	(31, 0.2761417759500901)	(32, 0.4323437085793821)
ERR1041443 - nextera_transposase_sequence	(1, 0.0008229851144102851)	(2, 0.0008229851144102851)	(3, 0.0008229851144102851)	(4, 0.0008721185540765708)	(5, 0.0010072355131588563)	(6, 0.0010195188730754278)	(7, 0.0010195188730754278)	(8, 0.0010318022329919992)	(9, 0.0010809356726582849)	(10, 0.0011669191920742848)	(11, 0.0011914859119074278)	(12, 0.0011914859119074278)	(13, 0.001203769271823999)	(14, 0.0012651860714068563)	(15, 0.0012774694313234275)	(16, 0.001289752791239999)	(17, 0.001289752791239999)	(18, 0.0013020361511565705)	(19, 0.0013266028709897134)	(20, 0.0014125863904057131)	(21, 0.001523136629654856)	(22, 0.0015968367891542846)	(23, 0.0016951036684868558)	(24, 0.0018916374271519985)	(25, 0.002198721425066284)	(26, 0.003132256778725712)	(27, 0.009581020734925708)	(28, 0.024787820311641125)	(29, 0.04412182882032454)	(30, 0.06703029506473024)	(31, 0.11396501330594963)	(32, 0.17602054760446845)
ERR1041444 - nextera_transposase_sequence	(1, 0.0032977403193107367)	(2, 0.003323304197755006)	(3, 0.003348868076199275)	(4, 0.003463905529198487)	(5, 0.0038345817666403915)	(6, 0.0038601456450846603)	(7, 0.0038984914627510645)	(8, 0.003911273401973199)	(9, 0.003962401158861738)	(10, 0.004000746976528142)	(11, 0.0040135289157502765)	(12, 0.0040135289157502765)	(13, 0.0040135289157502765)	(14, 0.004064656672638815)	(15, 0.004064656672638815)	(16, 0.004064656672638815)	(17, 0.004064656672638815)	(18, 0.004090220551083084)	(19, 0.004103002490305219)	(20, 0.004103002490305219)	(21, 0.004141348307971623)	(22, 0.0041669121864158915)	(23, 0.0042819496394151035)	(24, 0.004473678727747123)	(25, 0.004716535572967681)	(26, 0.005266158959519471)	(27, 0.009458635024379632)	(28, 0.01995260712575217)	(29, 0.03616010605941889)	(30, 0.055192413561177364)	(31, 0.0951359736303481)	(32, 0.1504562065837468)
ERR1041445 - nextera_transposase_sequence	(1, 0.0005886606179909464)	(2, 0.0006387593939901759)	(3, 0.0006512840879899833)	(4, 0.0007139075579890201)	(5, 0.000776531027988057)	(6, 0.000776531027988057)	(7, 0.000776531027988057)	(8, 0.000776531027988057)	(9, 0.0007890557219878643)	(10, 0.000876728579986516)	(11, 0.000876728579986516)	(12, 0.0008892532739863233)	(13, 0.0008892532739863233)	(14, 0.0009017779679861307)	(15, 0.0009017779679861307)	(16, 0.0009017779679861307)	(17, 0.0009017779679861307)	(18, 0.000914302661985938)	(19, 0.000914302661985938)	(20, 0.0009393520499855528)	(21, 0.0010019755199845897)	(22, 0.0010270249079842044)	(23, 0.0010520742959838191)	(24, 0.0011898459299817)	(25, 0.0014904385859770772)	(26, 0.0020916238979678307)	(27, 0.006187198835904841)	(28, 0.015417898313762873)	(29, 0.02924516048955021)	(30, 0.045088898399306535)	(31, 0.0689985392449388)	(32, 0.10122457690644317)
ERR1041446 - nextera_transposase_sequence	(1, 0.000564521764133022)	(2, 0.0006523362607759364)	(3, 0.0006774261169596263)	(4, 0.000727605829327006)	(5, 0.0008656000383373002)	(6, 0.0010035942473475945)	(7, 0.0010537739597149742)	(8, 0.0012294029530008032)	(9, 0.0012544928091844931)	(10, 0.0014928464429295467)	(11, 0.0015179362991132367)	(12, 0.0015806609395724613)	(13, 0.0017312000766746005)	(14, 0.001793924717133825)	(15, 0.0018441044295012048)	(16, 0.0019193739980522745)	(17, 0.001982098638511499)	(18, 0.001994643566603344)	(19, 0.002057368207062569)	(20, 0.002370991409358692)	(21, 0.003123687094869388)	(22, 0.0031989566634204577)	(23, 0.003286771160063372)	(24, 0.003462400153349201)	(25, 0.0037007537870942546)	(26, 0.004541263969247865)	(27, 0.007978574266413376)	(28, 0.016295861591306565)	(29, 0.03448600732448172)	(30, 0.05425681399722933)	(31, 0.0877015922900879)	(32, 0.12926293905837016)
ERR1041447 - nextera_transposase_sequence	(1, 0.00027135849817285277)	(2, 0.0002842803314191791)	(3, 0.0002842803314191791)	(4, 0.00031012399791183177)	(5, 0.0003811940807666265)	(6, 0.0003876549973897897)	(7, 0.00039411591401295284)	(8, 0.00041349866388244234)	(9, 0.00042642049712876865)	(10, 0.0004716469134909108)	(11, 0.0004974905799835634)	(12, 0.0004974905799835634)	(13, 0.0005039514966067265)	(14, 0.0005297951630993793)	(15, 0.0005362560797225424)	(16, 0.0005427169963457055)	(17, 0.0005427169963457055)	(18, 0.0005750215794615214)	(19, 0.0006137870792005003)	(20, 0.0006913180786784583)	(21, 0.0008205364111417215)	(22, 0.0009432938269818216)	(23, 0.0010337466597061058)	(24, 0.0012986442412557953)	(25, 0.0017573693215003799)	(26, 0.002965560730031891)	(27, 0.0096461485183826)	(28, 0.026192555990303457)	(29, 0.051629184735696824)	(30, 0.08103927720433553)	(31, 0.13058804678737382)	(32, 0.1914498813775708)
ERR1041449 - nextera_transposase_sequence	(1, 0.006308634969970208)	(2, 0.006503984322410087)	(3, 0.006503984322410087)	(4, 0.006779771643501681)	(5, 0.007446257669473032)	(6, 0.007492222222988298)	(7, 0.00754967791488238)	(8, 0.007595642468397646)	(9, 0.007630115883534095)	(10, 0.007733536128943443)	(11, 0.007756518405701076)	(12, 0.007779500682458708)	(13, 0.007790991820837524)	(14, 0.007790991820837524)	(15, 0.007790991820837524)	(16, 0.007813974097595157)	(17, 0.007825465235973973)	(18, 0.007825465235973973)	(19, 0.007825465235973973)	(20, 0.007859938651110423)	(21, 0.007882920927868057)	(22, 0.007917394343004504)	(23, 0.007951867758140954)	(24, 0.008009323450035036)	(25, 0.008193181664096098)	(26, 0.008986070212234432)	(27, 0.012939021814547275)	(28, 0.022407719838691997)	(29, 0.03481814928781372)	(30, 0.04950382413594109)	(31, 0.07876026244840766)	(32, 0.12020879858079844)
