"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_POSTSYNAPSE_ORGANIZATION",0.388926219594141,0.832716218481455,0.00768760170364235,-0.481911457920259,-1.06838875109057,18,"[""IGF1R"",""PTEN"",""ADAM10"",""ACTG1"",""DHX36"",""CTTN"",""CFL1"",""ARF1""]"
"HP_ABNORMALITY_OF_REFRACTION",0.389017778009489,0.832716218481455,0.00699444029426416,-0.39692730717336,-1.05279054339157,49,"[""VCAN"",""UCHL1"",""SNRPN"",""MAD2L2"",""SMS"",""PTEN"",""BPTF"",""TNRC6B"",""CTNNB1"",""JARID2"",""RPL10""]"
"GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_UP",0.389409451834452,0.832785693233525,0.0107543573876117,0.520236142200826,1.07169570381152,8,"[""MAP1LC3B"",""DCXR"",""CCDC12"",""FAM32A""]"
"GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP",0.389689134131083,0.832890272948682,0.00805371815810255,-0.554720208848134,-1.08596548636096,10,"[""PHC1"",""JARID2"",""TPT1""]"
"HALLMARK_TGF_BETA_SIGNALING",0.389737255782618,0.832890272948682,0.00805306136616439,-0.554647328446834,-1.08582280974817,10,"[""ID3"",""SKIL"",""SPTBN1"",""CTNNB1""]"
"GSE21379_WT_VS_SAP_KO_CD4_TCELL_DN",0.389576629840384,0.832890272948682,0.0079920188984041,-0.541869134042346,-1.08290128396264,11,"[""ID3"",""QSER1""]"
"GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP",0.389569133022854,0.832890272948682,0.00784725069359141,-0.510482892078401,-1.07441693569971,14,"[""PTBP2"",""PAN3"",""DDX5"",""TOP2B""]"
"GSE17721_0.5H_VS_4H_CPG_BMDC_DN",0.389630817629461,0.832890272948682,0.00784641950893981,-0.510463263745857,-1.07437562381007,14,"[""IFITM2"",""FDFT1"",""MTF2""]"
"GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_UP",0.389768843482415,0.832890272948682,0.013245382160986,0.34818576799765,1.02955126059443,34,"[""CTSD"",""PFDN1"",""EIF3B"",""PDCD11"",""YME1L1"",""GRB2"",""AK2"",""RUVBL2"",""AHSA1"",""LSM4"",""HIGD2A"",""ETF1"",""JPT2"",""ESF1"",""CDK7"",""VDAC3"",""NOL11"",""WDR43"",""KDM5B""]"
"GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_DN",0.390029421916863,0.83322584891849,0.00817938927899713,-0.585571191627877,-1.09154840342986,8,"""PPT1"""
"WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR",0.389988746057157,0.83322584891849,0.00798641805364915,-0.541711520378416,-1.08258630008864,11,"[""TP53"",""MSH2""]"
"MIR4494",0.390359890623142,0.833228483916755,0.00835138815997295,-0.62681155382939,-1.09563182023167,6,"[""MAP1B"",""CBX5""]"
"MIR6753_3P",0.390444810543657,0.833228483916755,0.00835020883286199,-0.626761097998368,-1.09554362623836,6,"[""SPTBN1"",""MTF2"",""RAD21"",""SRP9""]"
"MIR7107_3P",0.390444810543657,0.833228483916755,0.00835020883286199,-0.626761097998368,-1.09554362623836,6,"[""SPTBN1"",""MTF2"",""RAD21"",""SRP9""]"
"MIR4288",0.390167398017227,0.833228483916755,0.00811705860987457,-0.569480629818033,-1.08849826346046,9,"[""LAPTM4B"",""GGCT"",""PSIP1"",""ADAM10""]"
"HP_HIP_DISLOCATION",0.390344786393705,0.833228483916755,0.00766868960381349,-0.481402048712538,-1.06725940033892,18,"[""FGFR1"",""MAD2L2"",""CTBP1"",""PTEN""]"
"MIR7151_3P",0.390345413778449,0.833228483916755,0.00757159694367698,-0.46566831495551,-1.06403394109828,21,"[""HMGN3"",""EIF3I"",""TPM3"",""JARID2"",""ACTG1"",""MTF2""]"
"GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_DN",0.390210206956333,0.833228483916755,0.0111211857408707,0.472477867383767,1.05782653421955,11,"[""CCDC167"",""MRPL12"",""TPM4""]"
"GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP",0.390156848619798,0.833228483916755,0.0124047777257481,0.378652679357071,1.03465968708067,24,"[""HDAC1"",""PDCD6IP"",""EIF3F"",""ABT1"",""YME1L1""]"
"GSE3982_MAST_CELL_VS_BASOPHIL_DN",0.390555061454795,0.833353269801792,0.00754245165335021,-0.46144835005672,-1.06384445910724,22,"[""IFITM2"",""VCL"",""CTBP1"",""SPTBN1"",""UBB""]"
"MIR668_3P",0.390707972255375,0.833458557117331,0.00844590747528625,-0.652445198960972,-1.09767843611079,5,"[""AK4"",""H3-3B""]"
"GSE12003_4D_VS_8D_CULTURE_MIR223_KO_BM_PROGENITOR_DN",0.39068746952706,0.833458557117331,0.00810994607378464,-0.569266913553303,-1.08808976882367,9,"[""BEX3"",""DNMT1"",""MAD2L1"",""RAD21"",""NDUFS2"",""DBI""]"
"GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP",0.390823753970628,0.833595059655083,0.00741941572411987,-0.444626546019097,-1.05867976557147,26,"[""POLR3G"",""HNRNPA1"",""UBB"",""PFN2""]"
"MIR1297",0.390990588359009,0.833840402761131,0.00701151434042105,-0.400569121675143,-1.05215125845884,46,"[""POLR3G"",""CXADR"",""PAN3"",""PTEN"",""SLC38A2"",""TNRC6B"",""JARID2"",""SLC2A3"",""G3BP2"",""MAPK6"",""MDN1"",""IARS1"",""IPO7"",""SFPQ"",""LSM12"",""CHD1"",""LARP1"",""HSPA8"",""SRSF6"",""EIF2S1""]"
"GSE43955_1H_VS_42H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN",0.391285076725561,0.834252414288218,0.00777742258982641,-0.502179864708988,-1.07227394049835,15,"[""IGF1R"",""TUBA1C"",""SNHG6"",""HIF1A"",""MAPK6"",""PTTG1"",""CLNS1A""]"
"HP_COARCTATION_OF_AORTA",0.391287447993896,0.834252414288218,0.00746759989442907,-0.452277388285287,-1.06083380886238,24,"""FGFR1"""
"GENTILE_RESPONSE_CLUSTER_D3",0.39147409693835,0.834539813274535,0.00823995547835947,-0.604207200442386,-1.09292412045353,7,"[""PODXL"",""TLK1"",""ADNP""]"
