"","x"
"EIF1",-2038
"SRSF11",-554
"ARF1",-841
"NUP50",-13
"DNAJA2",-381
"KHDC1L",-7530.5
"HIGD2A",-333
"POLR2F",-1998
"OAZ1",-599
"RBBP7",-1258
"HNRNPF",-5524
"ND4L",-5915
"HSP90AA1",-49
"CD164",-236
"CEP57",-2988
"UBQLN1",-2066
"MAD2L1",-1465
"MAPRE1",-1106
"CHCHD7",-3682.5
"MTFR1",-1201
"METAP2",-468
"SRPK1",-157
"ATP6",-4736
"MAGOH",-1466.5
"POLD3",-1082
"RDX",15
"PRKRIP1",-1997
"CS",-3471
"WAPL",-1886
"SMC4",-657
"PSMA6",-1029
"BIRC5",-357
"PFN1",-909
"CTNNB1",-2434
"KTN1",-1142
"CDC20",-3236
"PSMA7",-3775.5
"LSM14A",-233
"HNRNPU",-74
"NASP",-899
"RAB11A",-395
"MLF2",-2470.5
"ND1",-3192.5
"PTMA",-2836
"DPPA3",-5519.5
"COX5B",-2285
"PWP1",-114
"SNUPN",-8411.5
"SRRM1",-560
"SYF2",-1772
"SMC2",-103
"SSR4",-1840
"NAP1L1",-571
"LTV1",-157
"ATP2B1",-3558.5
"PRDX5",-1093
"PSMD1",-1336
"RBPJ",-1196
"SKA2",-1390
"MPHOSPH10",-43
"MED4",-911
"ARL6IP1",-1490
"IMMT",-997
"WIPI2",-2986.5
"ADAM10",-1412
"UBE2C",-812
"TARDBP",-810
"SIKE1",-2103
"SSR2",-3244.5
"LUC7L3",-329
"SEC61A1",-1141
"STAU1",-1591
"UTP14A",-4742
"GLG1",-4551
"TXNL1",-3341
"PHF5A",-81
"ARGLU1",-872
"LRRFIP2",-4332
"GDI2",-1031
"SAE1",-1373
"PSMG1",-503
"EIF4B",-608
"CHMP1B",-4886
"NOL10",-618
"ETF1",-411
"SF3B1",-489
"PRRC2C",-88
"EIF3F",-1343
"TNPO2",-5383
"GTF2A2",-1275
"SMARCB1",-1638
"RPS15AP25",-1901
"ZCRB1",-363
"IER3IP1",-1966
"CNOT1",-1367
"GOSR2",-1640
"PTPN2",-1809
"PRC1",-4496
"THOC2",-3727
"YTHDC1",-1008
"DEDD",-1240
"ZFAND5",-3455
"RPL30",-741
"SNRNP35",-6542.5
"SRSF10",-1960.5
"NIP7",-276
"TMEM11",0
"SNRPD3",-738
