"","x"
"CAPZA1",-1022
"UBE2V2",-6586.5
"APEX1",-4138
"CSDE1",156
"SMU1",-3085.5
"NIPBL",-928
"NAA25",-5883
"MRPL21",-5717
"UBE2J2",-6201.5
"TMX2",-7127
"CCDC124",-9760
"NDUFB11",-2698.5
"BCAP31",-2365
"ZRANB2",-2018
"MORF4L2",-2924
"SF3B2",-1777.5
"ORC6",70
"RPA3",-1178
"COA3",-11793
"MRPL42",-5300
"TSPAN14",-6501
"TXNDC9",-408.5
"RPL26",-1691
"EIF3B",-1496
"TIMM23",-2532
"CLSPN",-3387
"PSIP1",-7917
"MRPL14",-6713
"CIB1",-6755
"EXOSC7",-650
"MPHOSPH6",-6906
"CTNNA1",206
"RAC1",-32
"BSG",-5472
"HIGD2A",333
"RNMT",-290
"BANF1",-1137
"CANX",-218
"SRSF3",61
"RPAIN",-9829
"TXNRD1",-9775
"RBMXL1",-6348
"CMC2",-978
"NDUFB8",-510
"COASY",-6171
"BLOC1S1",-14709
"PDCD2",-8542.5
"DDX49",-505.5
"EEF1E1",-6388
"GMNN",-731
"NOL11",-2754
"PHAX",110
"SNHG29",-8094.5
"RPSA",-4514
"RPN1",-7280
"NCL",-57
"SPAG5",-7210.5
"RPL36",-653
"CUL1",-2298
"UTP4",-868
"SNHG12",-3160.5
"EIF2S1",-812
"ERI1",-2133
"NEDD8",-11515
"PDXDC1",-9202
"WDR33",-4196
"MMADHC",118
"ECPAS",-10018
"SCD",-9734
"MRPS28",-4986
"XRCC6",-1951
"TRAPPC4",-1034
"IGF2BP1",-6144.5
"ALG3",-10133.5
"MRPS21",-2674
"SRP72",-3306
"RAD21",-95
"ZNF195",-2842
"NIP7",276
"DNAJA2",381
"PSMF1",-4260
"BIRC5",357
"RPL38",-3517
"INTS11",-5069
"NUP85",-3141.5
"MRTO4",-730
"ACTR2",94
"GTSF1",153
"NAT10",-1392
"GAR1",-2968
"ZCCHC10",-2324.5
"SRP68",-5022.5
"SNHG15",-922
"LUC7L3",329
"NGDN",-41
"UTP20",-3128
"RPL11P3",-8843.5
"ERG28",-391
"UBL7",-536
"FAU",241
"ZFR",-636
"ATP6V1C1",-851
"IMP3",281
"MYH9",-10039.5
"TSR1",-1679.5
"ACACA",-5657
"NDUFS8",-9451
"TOX4",-15372
"ERCC3",-10421
"TRIP12",93
"LAMTOR1",-9882.5
"CELF1",-2359
"ERGIC3",-4437
"PNKD",-338.5
"ATF7IP",227.5
"CCNB1IP1",-2308
"CFAP298",-7767
"DYNC1I2",-4079
"XRCC5",-5462
"TOR1AIP2",-4443.5
"RNF114",-4573
"NAMPT",114
"SEH1L",297
"ZNF622",-5505
"HDGF",-10259
"DESI2",-1076
"PBRM1",-3151.5
"LOC729998",-762
"PCF11",28
"RAB11A",395
"ORC4",-203
"TRAM1",-792
"KGD4",-12067
"HSPA14",-703
"WDR77",-6388
"DNAJC3",-620
"COPS8",-9587
"MRM3",-2981
"PPP4R3A",-77
"RPL5",-2655
"SAMM50",-9993.5
"TMEM230",-8556
"THUMPD1",-480
"SFPQ",-122
"TMED4",-893
"DCXR",-12167
"CSNK1D",-1662
"YRDC",-317
"H4C3",-14610.5
"LSM10",128
"HELZ",-2723
"ZCRB1",363
"EIF5B",-191
"ERI3",-13469
"GGNBP2",-5776
"PRPF6",-1118.5
"NUP188",-8191
"XRN2",-3409
"MTHFD1",-11374.5
"DSTN",-363
"GATAD2A",-861
"BUB3",-188
"TMEM258",-4199
"LAMA1",-14643
"DNAJC1",-7043
"C1orf43",-1984.5
"NUP107",-5376
"EIF3E",-5555
"GAPVD1",-928
"ALKBH7",46
"RDH11",-15503.5
"HECTD1",-4509.5
"ANXA7",-1667
"HSD17B4",-16274
"FAM174C",-4484.5
"SRP9",-1374
"UBE2N",-441
"HADHA",-7232
"ATP5F1D",-4778
"CCNL1",254.5
"LSG1",343
"METAP2",468
"ECH1",-4607
"EMC3",-390
"SURF6",-464
"CCT3",-3566
"IGBP1",-3494
"RPN2",-7107
"SRP54",-2
"UQCRFS1",-13445
"RNH1",-9939
"ETF1",411
"ITM2B",-9577
"MRPL17",-6227
"NAP1L4",-646
"ITSN2",-7917.5
"DDX18",-178
"TUBAP2",-4188.5
"TMEM59",-1962
"TIMM10B",-7940
"GTF2F1",-455
"RBM14",-1741
"RPL35A",-4540
"UQCC4",-485
"C1orf52",-2827
"GAS5",-66
"UBA2",-7044
"TBRG4",-6479
"DDX27",-1605
"SFT2D1",-9091
"EFTUD2",-9362
"SNRPF",-390
"PA2G4",-2886
"BRMS1",-3492
"MRPL10",-10024
"MACF1",-7626
"IST1",-271
"MIF",-9002
"SMARCA4",-4384
"ZPR1",-10834.5
"WDR1",-878
"RCL1",-2313.5
"RAB9A",-8820
"FBXO7",-2871.5
"SGTA",-4313.5
"ENY2",-518.5
"LLPH",-849.5
"CHORDC1",-218
"NCAPH2",-2341.5
"ABCD3",-5458
"FBXO21",-7468
"CDC6",-1623
"POLR3E",-3507
"HNRNPA0",-5045
"KRAS",-2345
"MEA1",-264
"IPO9",-3460
"POLE3",-3044
"PPP1R12A",-2890
"NME2",-9440.5
"PPID",-4320.5
"NDFIP2",-714
"PSMA1",-10100.5
"PFDN4",-5170
"RAI14",-16330
"RAD51AP1",370
"MTF2",-36
"AUP1",-4956
"SRSF11",554
"POLR2D",-4425.5
"MYO1B",-6633
"CASC3",-908.5
"RPP30",179.5
"DERL1",-3621
"POMP",-4169
"COMMD2",-9009
"TBRG1",319
"DNAJC9",119
"HARS1",-327
"BNIP2",-2317
"NDUFA13",-324
"REEP5",-5807.5
"MINDY2",-1789
"AP1M2",-777.5
"DIAPH1",-7119.5
"CLPB",246
"EIF1B",-1327
"CIRBP",-3128.5
"RPL17",-8050
"NXT1",-207
"SF3B1",489
"ZNF511",-8053
"WDR45B",-3235
"API5",-513
"NPEPPS",-254
"PRDX2",-4909.5
"PCCB",-1274
"SSR1",-560
"PSMG1",503
"SALL4",-2239
"ECHS1",-3815
"FAM50A",-13829
"MRPL44",48
"COX7A2L",40
"RTCB",-4348
"SPAG7",-407
"C2orf49",325
"PUM2",-2689
"CPSF7",-3446
"LSM3",-7249
"TACC1",-1649
"POU2F1",-3830
"EMC6",-7035
"OSTC",-6633
"STT3B",-5114
"NAE1",-614
"RNF38",-1453
"BMS1",-2418.5
"SYAP1",77
"VKORC1",-1011
"OAZ1",599
"UPP1",-12105.5
"SRRM1",560
"RTN3",-482
"PPP2R5C",-477.5
"RANBP3",-1066
"PCMT1",393
"GID8",-362
"SDHAF3",-6525
"STX3",-481
"LSM7",-2391.5
"SRPRB",-12420.5
"VDAC1",-2737
"SLC31A1",-773
"KDELR2",-2499
"FBXL15",-9616.5
"FABP5",-16170
"NAP1L1",571
"TTLL4",-1059.5
"ERP44",371
"MCCC2",-6457.5
"MYH10",-3578
"ABCF3",-4814
"UBL5",226
"POLR2J",-1310
"OGFOD1",340
"RBM8A",340
"PPP6C",32
"CTSC",-8949.5
"MRPL47",-15033
"UXT",63
"SS18L2",-3546
"UTP23",425
"ZWINT",-77
"DCTN5",-3268.5
"FOXRED1",-13979.5
"CAND1",-9354.5
"TXNL4A",-12498
"GTF3C4",-5017.5
"PPP6R3",420
"POLR1D",-555
"MIEN1",-4664
"ADH5",-4971.5
"U2AF1",-2059
"AHCY",-4640.5
"SAR1A",466
"SNRPD1",67
"AIRIM",-9483
"TCP1P3",-2982.5
"SNRNP40",219
"G2E3",-680
"AURKB",-1666
"RB1CC1",265
"RSRC2",-1150
"POM121C",517
"TMEM222",-5281
"DCTN6",-10448
"RPL36AL",-6537
"TRUB2",-6247.5
"DPP9",-11541
"SMG1",-1842
"CFAP20",-3455.5
"YKT6",-1109
"DNAJC7",420
"XPOT",481
"EEF1D",-7283
"DPM1",-1452
"DKC1",-833
"RPL3",-3249
"RPL4",-5991.5
"MRPS7",-528
"TIMM21",-12892
"CCDC47",528.5
"PTRHD1",-1367.5
"ESRP1",-778
"GLA",-5538.5
"LMNA",-426
"SMC4",657
"CRK",490
"TIMM13",-6776
"ACOX1",-8763
"UPF2",-209.5
"UFM1",-6755
"EIF4B",608
"KDM2A",-926
"VPS4B",-2927
"ZDHHC6",-4858
"SLC16A1",390
"FNTA",-826
"BLTP2",-3428
"ACTR3",-3521
"CNOT7",-535
"EWSR1",-954
"ANAPC7",-6165
"NOL10",618
"TCERG1",504
"PRPF38A",-213
"MIER1",-851
"TMEM70",-4299
"ECSIT",-4228
"SNRPB2",508
"ACP1",-1597
"RABAC1",-752
"GOLGA3",-4440
"THOC6",-3144
"NUDT15",-1020
"MRPS18B",-3283
"SCAF4",-3017
"SDHAF2",-7180
"ZNRD2",-573
"RTF2",-195
"RPL23AP57",-6671
"MCUR1",-11796
"MFF",-2442
"EFCAB14",-354.5
"RBM10",-6666
"MYO19",-4851
"TMEM14C",-5857.5
"WWTR1",-8470.5
"ANAPC11",-1738
"SUDS3",-1284.5
"TPT1",-1431
"MRPL51",-13070
"DPH2",-4286.5
"GLOD4",-5922
"GLYR1",-1097
"ANXA2",-5617
"SLC39A9",0
"RPL23P6",-6283
"STIP1",439
"PPIL4",-4317.5
"SCYL2",-2572.5
"RAF1",-1151
"BYSL",-5798.5
"USP22",-5937
"NDUFS6",-9333
"CIAO1",-7118
"NUP54",594
"EZH2",-1744
"SLC5A6",-8638
"CHD2",-8429.5
