"x"
"ENSG00000225022"
"ENSG00000257948"
"ENSG00000259051"
"ENSG00000253899"
"ENSG00000236603"
"ENSG00000242990"
"ENSG00000231503"
"ENSG00000233929"
"ENSG00000240759"
"ENSG00000198134"
"ENSG00000241411"
"ENSG00000256148"
"ENSG00000238082"
"ENSG00000233328"
"ENSG00000286279"
"ENSG00000253341"
"ENSG00000233565"
"ENSG00000250346"
"ENSG00000240477"
"ENSG00000212789"
"ENSG00000176812"
"ENSG00000236646"
"ENSG00000219703"
"ENSG00000214089"
"ENSG00000240103"
"ENSG00000278966"
"ENSG00000236439"
"ENSG00000214366"
"ENSG00000213783"
"ENSG00000280244"
"ENSG00000213239"
"ENSG00000215311"
"ENSG00000210049"
"ENSG00000244538"
"ENSG00000229083"
"ENSG00000229023"
"ENSG00000219553"
"ENSG00000204253"
"ENSG00000259079"
"ENSG00000213866"
"ENSG00000255977"
"ENSG00000226117"
"ENSG00000267321"
"ENSG00000240463"
"ENSG00000256658"
"ENSG00000232605"
"ENSG00000230564"
"ENSG00000236539"
"ENSG00000227624"
"ENSG00000234397"
"ENSG00000290735"
"ENSG00000204971"
"ENSG00000228218"
"ENSG00000213778"
"ENSG00000258427"
"ENSG00000259020"
"ENSG00000225067"
"ENSG00000232953"
"ENSG00000223725"
"ENSG00000210082"
"ENSG00000267986"
"ENSG00000288899"
"ENSG00000232203"
"ENSG00000279457"
"ENSG00000257332"
"ENSG00000241499"
"ENSG00000229944"
"ENSG00000287580"
"ENSG00000225185"
"ENSG00000258778"
"ENSG00000177855"
"ENSG00000244157"
"ENSG00000235297"
"ENSG00000225976"
"ENSG00000237629"
"ENSG00000214192"
"ENSG00000225487"
"ENSG00000219682"
"ENSG00000259632"
"ENSG00000270612"
"ENSG00000257376"
"ENSG00000226703"
"ENSG00000257139"
"ENSG00000228089"
"ENSG00000279392"
"ENSG00000213478"
"ENSG00000266969"
"ENSG00000188646"
"ENSG00000237415"
"ENSG00000267182"
"ENSG00000267736"
"ENSG00000253721"
