Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR2977631	(1, 0.03945181690834813)	(2, 0.00874792834891562)	(3, 0.005528869375882849)	(4, 0.003850747453370224)	(5, 0.0013558969906233183)	(6, 0.002638416026459963)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0010496237880354628)	(17, 0.0069390022461310995)	(18, 0.0007305892020064467)	(19, 0.0)	(20, 4.466484204406225e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.007660020410556676)	(34, 0.051699554666002054)	(35, 0.043423797504409375)	(36, 0.04246669374632233)	(37, 0.09215633052034158)	(38, 0.10409460472954736)	(39, 0.10334487345237918)	(40, 0.10703929395859518)	(41, 0.12393855598055216)	(42, 0.12570600758715292)	(43, 0.13056490433237483)	(44, 0.11777480777847157)	(45, 0.10010029171246407)	(46, 0.05375413740002892)	(47, 0.025726949017379853)	(48, 0.00099538790841053)	(49, 2.2332421022031124e-05)	(50, 0.0)
SRR2977632	(1, 0.040055344921156574)	(2, 0.008479814273223385)	(3, 0.005676764555130099)	(4, 0.0036333648656797415)	(5, 0.001316137840323213)	(6, 0.0026999964196339735)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0009392572059577292)	(17, 0.0070459012346609584)	(18, 0.0007331506090391051)	(19, 0.0)	(20, 5.299883920764615e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.007631832845901046)	(34, 0.052036026962040585)	(35, 0.04386537258419513)	(36, 0.04262578862272741)	(37, 0.0932367356860735)	(38, 0.10452548843730214)	(39, 0.10406027640425723)	(40, 0.10740214765429493)	(41, 0.12410267076461542)	(42, 0.1258751874981156)	(43, 0.13074813632526305)	(44, 0.11809319127445955)	(45, 0.10046224409804927)	(46, 0.05403231657219525)	(47, 0.025975319971658577)	(48, 0.001136530663008412)	(49, 8.833139867941026e-06)	(50, 0.0)
SRR2977633	(1, 0.03865326700138483)	(2, 0.012714758278112984)	(3, 0.00026789061423466916)	(4, 0.004972719526731046)	(5, 0.003616523292168034)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0019790419126586183)	(17, 0.0032850086570526305)	(18, 0.0)	(19, 0.0014733983782906804)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.004403451971482374)	(34, 0.03153072529542056)	(35, 0.03787303558742635)	(36, 0.04858196289145725)	(37, 0.09227492207313179)	(38, 0.0778824988233742)	(39, 0.08607325435359921)	(40, 0.11178405605477158)	(41, 0.10540825943598645)	(42, 0.11246382848839205)	(43, 0.14291964269419602)	(44, 0.1036971081375625)	(45, 0.09951131729014578)	(46, 0.042778782460598734)	(47, 0.03757835591176822)	(48, 0.0007735341486026073)	(49, 0.0)	(50, 0.0)
SRR2977634	(1, 0.039041869989606556)	(2, 0.01324588856413054)	(3, 0.00028347232335687925)	(4, 0.004825472049870513)	(5, 0.003559510423969904)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0020422892387302436)	(17, 0.0030763189637024965)	(18, 0.0)	(19, 0.001497893526828964)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.004216650809933579)	(34, 0.03130114279612268)	(35, 0.03774047432328634)	(36, 0.04797769072815181)	(37, 0.0912458753568973)	(38, 0.07672114006125902)	(39, 0.0844779736367518)	(40, 0.11010322741293332)	(41, 0.10414386606963529)	(42, 0.11067983588885244)	(43, 0.14122075745415438)	(44, 0.10201138109165514)	(45, 0.0983648962048371)	(46, 0.04220516341615718)	(47, 0.03780167857492021)	(48, 0.0008633020756777687)	(49, 0.0)	(50, 0.0)
SRR2977635	(1, 0.03869166854748962)	(2, 0.012772346152995055)	(3, 0.0003238327883682564)	(4, 0.005089254507395246)	(5, 0.003571685165826357)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0019429967302095387)	(17, 0.003101810139566535)	(18, 0.0)	(19, 0.0015112196790518632)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0042383997301139445)	(34, 0.03140225597794534)	(35, 0.03798368117684137)	(36, 0.04834315557336707)	(37, 0.09264475095464796)	(38, 0.07807862514059344)	(39, 0.0861395217059562)	(40, 0.11176993445592616)	(41, 0.10516946026947904)	(42, 0.11289699955269801)	(43, 0.1435372960286004)	(44, 0.10411541629165295)	(45, 0.09985479274272943)	(46, 0.04258401167042572)	(47, 0.0374503095254113)	(48, 0.0008699037648323752)	(49, 0.0)	(50, 0.0)
SRR2977636	(1, 0.03930904418603884)	(2, 0.008577218056249178)	(3, 0.005458521057470983)	(4, 0.003804618024203204)	(5, 0.0014167153889619345)	(6, 0.002631500756420245)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0008557986625629785)	(17, 0.007070755991063411)	(18, 0.000810925324451062)	(19, 0.0)	(20, 8.65414377872675e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.007516284133746011)	(34, 0.05140881928407346)	(35, 0.04342136510015232)	(36, 0.042911732188738415)	(37, 0.09186533883040272)	(38, 0.103311245287378)	(39, 0.10246185710168815)	(40, 0.1061607022574847)	(41, 0.12304269310287497)	(42, 0.12469659613614276)	(43, 0.12954932712910286)	(44, 0.11675081005189697)	(45, 0.0992630291419958)	(46, 0.05316208470887477)	(47, 0.02588871085213924)	(48, 0.0009423401003502461)	(49, 2.243666905595824e-05)	(50, 0.0)
SRR2977637	(1, 0.03938207615124692)	(2, 0.00826350401293258)	(3, 0.005422047948743611)	(4, 0.0037250282855310476)	(5, 0.0013043208981716394)	(6, 0.0026675466110994174)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0009565019919925357)	(17, 0.00701808792951708)	(18, 0.0007152727506102539)	(19, 0.0)	(20, 5.329483239841107e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0075285963240702795)	(34, 0.05196807157080852)	(35, 0.043856037081534585)	(36, 0.04292758500133069)	(37, 0.09219164507571456)	(38, 0.10355466434129158)	(39, 0.10306659587616929)	(40, 0.10631758065247238)	(41, 0.1232485074080939)	(42, 0.12490345220362352)	(43, 0.1300562209991962)	(44, 0.11709155177048798)	(45, 0.09961084674380916)	(46, 0.053928760404834276)	(47, 0.025968608333920513)	(48, 0.001029431762642993)	(49, 8.414973536591223e-06)	(50, 0.0)
SRR2977638	(1, 0.035774964964348)	(2, 0.01673960183561291)	(3, 0.0018015889469755408)	(4, 0.0025914864766430025)	(5, 0.0027704780350898167)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0016420529927077283)	(17, 0.0067316390459345255)	(18, 0.00015953595426781246)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.01115973455707527)	(34, 0.04838608759317678)	(35, 0.04275563574377374)	(36, 0.04710590883819848)	(37, 0.07495855178085706)	(38, 0.09916910562120654)	(39, 0.11036386026580401)	(40, 0.11602544108189346)	(41, 0.11829785565000085)	(42, 0.12403336776197049)	(43, 0.13962898007185812)	(44, 0.11850797617513405)	(45, 0.10693189168862816)	(46, 0.04886858657681602)	(47, 0.02779816725095737)	(48, 0.004151825931798925)	(49, 0.0)	(50, 0.0)
SRR2977639	(1, 0.03569301649045764)	(2, 0.016397697493753798)	(3, 0.0017282997911234885)	(4, 0.0026377722336552545)	(5, 0.00289459999981871)	(6, 3.0215031313347697e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0014896010437480418)	(17, 0.007124704383687388)	(18, 0.00016013966596074283)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.011043593945028584)	(34, 0.04811743736650622)	(35, 0.04227385031050477)	(36, 0.04660064279457616)	(37, 0.07449515970305876)	(38, 0.09842244300009881)	(39, 0.10915180061946857)	(40, 0.11502560270678337)	(41, 0.11688080562942292)	(42, 0.12262770458522165)	(43, 0.1379437039579576)	(44, 0.11722827848952642)	(45, 0.10607591043176978)	(46, 0.048821447596107216)	(47, 0.027124033609992233)	(48, 0.004178738830635987)	(49, 0.0)	(50, 0.0)
SRR2977640	(1, 0.1756786339754816)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.008355224751897256)	(26, 0.012769994162288384)	(27, 0.014411850554582602)	(28, 0.01156596614127262)	(29, 0.024335960303561003)	(30, 0.022511675423234092)	(31, 0.014265907764156451)	(32, 0.017257734967892586)	(33, 0.015214535901926445)	(34, 0.016236135434909513)	(35, 0.014338879159369527)	(36, 0.010726795096322243)	(37, 0.006786339754816112)	(38, 0.0020431990659661413)	(39, 0.002152656158785756)	(40, 0.00043782837127845885)	(41, 0.0)	(42, 0.004524226503210741)	(43, 0.0021891418563922942)	(44, 0.005290426152948045)	(45, 0.0004743140688849971)	(46, 0.00062025685931115)	(47, 0.0013134851138353765)	(48, 0.00766199649737303)	(49, 0.005107997664915353)	(50, 3.648569760653824e-05)
