.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR2977721	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977722	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977723	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977724	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977725	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977726	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977727	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977728	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977729	1	1	0.5	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977730	1	1	0.5	1	0.25	0.5	1	1	1	0.25	1
SRR2977731	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977732	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977733	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977734	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977735	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977736	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977737	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977738	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977739	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977740	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977741	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977742	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977743	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977744	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977745	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977746	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977747	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977748	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977749	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977750	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977751	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977752	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977753	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977754	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977755	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977756	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977757	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977758	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2977759	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2977760	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR2977761	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977762	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977763	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977764	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2977765	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2977766	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977767	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977768	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977769	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977770	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
SRR2977771	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2977772	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR2977773	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977774	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977775	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977776	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977777	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977778	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977779	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2977780	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2977781	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977782	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2977783	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2977784	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2977785	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977786	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2977787	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2977788	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2977789	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2977790	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977791	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977792	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977793	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977794	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977795	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977796	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977797	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977798	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977799	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977800	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977801	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR2977802	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977803	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977804	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977805	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977806	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977807	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977808	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977809	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977810	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977811	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977812	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977813	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977814	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977815	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977816	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977817	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977818	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977819	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977820	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977821	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977822	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977823	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977824	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977825	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977826	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977827	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977828	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977830	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977831	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977832	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977833	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977834	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977835	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977836	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977837	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977838	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977839	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977840	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR2977841	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977842	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977843	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977844	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977845	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977846	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977847	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977848	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR2977849	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977850	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977851	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977852	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2977853	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977854	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977855	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977856	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977857	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977858	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977859	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977860	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR2977861	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977862	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977863	1	1	0.5	1	0.25	1	1	1	0.25	1	1
SRR2977864	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977865	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977866	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977867	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977868	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977869	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977870	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977871	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977872	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977873	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977874	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977875	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977876	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977877	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977878	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977879	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977880	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR2977881	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977882	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977883	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977884	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977885	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977886	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977887	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977888	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977889	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977890	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977891	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977892	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977893	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977894	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977895	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977896	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977897	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2977898	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977899	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977900	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977901	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977902	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977903	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977904	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977905	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977906	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977907	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977908	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977909	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977910	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977911	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977912	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977913	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977914	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977915	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977916	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977917	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977918	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977919	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977920	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2977921	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977922	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2977923	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977924	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977925	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977926	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977927	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977928	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977929	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977930	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977931	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2977932	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977933	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977934	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977935	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977936	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977937	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977938	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977939	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977940	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2977941	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
SRR2977942	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977943	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2977944	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977945	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977946	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977947	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977948	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977949	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977950	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977951	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977952	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977953	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977954	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977955	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2977956	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977957	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977958	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977959	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2977960	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977961	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2977962	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2977963	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
SRR2977964	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2977965	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977966	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977967	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
SRR2977968	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977969	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977970	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977971	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2977972	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2977973	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2977974	1	1	0.25	1	0.25	0.25	1	1	0.25	1	1
SRR2977975	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2977976	1	1	0.25	1	0.25	0.25	1	1	0.25	1	1
SRR2977977	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2977978	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
SRR2977979	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977980	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977981	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2977982	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2977983	1	1	0.25	1	0.25	0.25	1	1	0.25	1	1
SRR2977984	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2977985	1	1	0.25	1	0.25	0.25	1	1	0.25	1	1
SRR2977986	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2977987	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2977988	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR2977989	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2977991	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2977992	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2977993	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
