Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977633	(1.0, 32.51408975434977)	(2.0, 14.027620625319297)	(3.0, 7.585067766733615)	(4.0, 4.923020922914052)	(5.0, 3.4278925186606553)	(6.0, 2.637023706866749)	(7.0, 2.0903424654925904)	(8.0, 1.7686788197032195)	(9.0, 1.449791827963238)	('>10', 17.29720128924604)	('>50', 4.969272591103943)	('>100', 6.371218427011724)	('>500', 0.752491871991091)	('>1k', 0.1862874126439109)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977634	(1.0, 31.96715743798985)	(2.0, 13.75618523563388)	(3.0, 7.339226308099388)	(4.0, 4.8055986379526985)	(5.0, 3.2993094890346346)	(6.0, 2.6346364387672385)	(7.0, 2.1048825322731)	(8.0, 1.6962223132458327)	(9.0, 1.4121805214761498)	('>10', 17.121386235108037)	('>50', 5.213483888639411)	('>100', 7.115685965471452)	('>500', 1.051254245061037)	('>1k', 0.48279075124733767)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977635	(1.0, 33.3364469961326)	(2.0, 13.201538403645884)	(3.0, 7.156530278455349)	(4.0, 4.638912340837558)	(5.0, 3.4660262506070088)	(6.0, 2.7620555818272474)	(7.0, 2.1422988277865302)	(8.0, 1.797119422231896)	(9.0, 1.533725815770355)	('>10', 17.52980221824649)	('>50', 5.002779420825254)	('>100', 6.395377591573485)	('>500', 0.7585816538276797)	('>1k', 0.2788051982325971)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977636	(1.0, 45.193518750917754)	(2.0, 15.77008055190239)	(3.0, 7.670955913528219)	(4.0, 4.610504278247288)	(5.0, 3.0277608805359657)	(6.0, 2.1557843647713564)	(7.0, 1.6647350907900076)	(8.0, 1.3028542017308207)	(9.0, 1.1402465102320993)	('>10', 10.47217123984584)	('>50', 2.9957974883474976)	('>100', 3.545932841955799)	('>500', 0.3731997237402388)	('>1k', 0.07645816345474182)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977637	(1.0, 39.91880981285084)	(2.0, 14.826132211344687)	(3.0, 7.803960739554676)	(4.0, 4.790231144895596)	(5.0, 3.349248395251534)	(6.0, 2.4303815362803123)	(7.0, 1.8882542598892254)	(8.0, 1.5041728608541962)	(9.0, 1.3337470432458571)	('>10', 12.36766412116856)	('>50', 3.410422821061397)	('>100', 4.813587211748189)	('>500', 0.9728196951592436)	('>1k', 0.590568146695546)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977638	(1.0, 43.41122807632117)	(2.0, 13.989109045175038)	(3.0, 6.869495962068328)	(4.0, 4.163139708844628)	(5.0, 2.9288497311858586)	(6.0, 2.270063333495632)	(7.0, 1.7380894317861797)	(8.0, 1.3730153606480768)	(9.0, 1.229033090721047)	('>10', 13.22126049680882)	('>50', 3.69818068273422)	('>100', 4.347764574818981)	('>500', 0.6391294998831047)	('>1k', 0.12164100550879936)	('>5k', 0.0)	('>10k+', 0.0)
SRR2977639	(1.0, 36.379205998950304)	(2.0, 13.681332736676024)	(3.0, 7.298114858371211)	(4.0, 4.566084810569753)	(5.0, 3.286353694731295)	(6.0, 2.428705346854716)	(7.0, 1.9721463076324337)	(8.0, 1.5881040248571792)	(9.0, 1.2547967587268425)	('>10', 14.08121166811706)	('>50', 4.18200677463039)	('>100', 6.044722433995551)	('>500', 1.7123515430512148)	('>1k', 1.5085193999325615)	('>5k', 0.016343642903534277)	('>10k+', 0.0)
SRR2977640	(1.0, 42.1213271776924)	(2.0, 22.856867709601264)	(3.0, 8.970507259446327)	(4.0, 3.420111584143943)	(5.0, 1.6277200059003274)	(6.0, 0.9506644010569683)	(7.0, 0.6626554435187676)	(8.0, 0.5496951958529251)	(9.0, 0.4500255249007875)	('>10', 6.3864219573075935)	('>50', 3.5908029614206964)	('>100', 6.2062453421408605)	('>500', 0.6936030710063052)	('>1k', 0.3932880100469732)	('>5k', 0.39595796491849083)	('>10k+', 0.7241063910452874)
SRR2977641	(1.0, 43.12357751598307)	(2.0, 23.40244227684977)	(3.0, 9.138713739570738)	(4.0, 3.5362728316747436)	(5.0, 1.643093180735301)	(6.0, 1.0036632542393111)	(7.0, 0.6537168576715412)	(8.0, 0.5444710630690228)	(9.0, 0.4809929488209997)	('>10', 5.995750856868579)	('>50', 3.038888806659406)	('>100', 5.465388041097982)	('>500', 0.7640450935905428)	('>1k', 0.2976584454189985)	('>5k', 0.4421154008872055)	('>10k+', 0.4692096868627724)
SRR2977642	(1.0, 50.71253652055064)	(2.0, 20.58789930340162)	(3.0, 6.869003177638655)	(4.0, 2.7338080274220666)	(5.0, 1.3784437023742104)	(6.0, 0.9100109052089106)	(7.0, 0.7594932304000095)	(8.0, 0.5423821780004556)	(9.0, 0.4662607998410756)	('>10', 5.601193214038449)	('>50', 2.58532633110155)	('>100', 4.8766725165133895)	('>500', 0.8471882097315291)	('>1k', 0.28712868895351346)	('>5k', 0.4325455721997132)	('>10k+', 0.4101076226242193)
