.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1041809	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041810	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041811	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041812	1	1	1	0.25	0.5	1	1	0.5	1	1
ERR1041813	1	1	1	0.25	0.5	1	1	1	0.5	1
ERR1041814	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041815	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041816	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041817	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041818	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041819	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041820	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041821	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041822	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041823	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041824	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041825	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041826	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041827	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041828	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041829	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041830	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041831	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041832	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041833	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041834	1	1	1	0.25	0.5	1	1	0.5	1	1
ERR1041835	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041836	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041837	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041838	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041839	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041840	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041841	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041842	1	1	1	0.25	1	1	1	1	1	1
ERR1041843	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041844	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041845	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041846	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041847	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041848	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041849	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041850	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041851	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041852	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041853	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041854	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041855	1	1	1	0.25	0.5	1	1	1	0.5	1
ERR1041856	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041857	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041858	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041859	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041860	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041861	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041862	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041863	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041864	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041865	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041866	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041867	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041868	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041869	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041870	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041871	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041872	1	1	1	0.25	1	1	1	1	1	1
ERR1041873	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041874	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041875	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041876	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041877	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041878	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041879	1	1	1	0.25	0.5	1	1	1	0.5	1
ERR1041880	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041881	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041882	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041883	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041884	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041885	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041886	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041887	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041888	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041889	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041890	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041891	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041892	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041893	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041894	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041895	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041896	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041897	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041898	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041899	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041900	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041901	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041902	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041903	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041904	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041905	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041906	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1041907	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041908	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041909	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1041910	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041911	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041912	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041913	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041914	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041915	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1041916	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1041917	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041918	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041919	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041920	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041921	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041922	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041923	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041924	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041925	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041926	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041927	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041928	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041929	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041930	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041931	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041932	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041933	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041934	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041935	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041936	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041937	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041938	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041939	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041940	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041941	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041942	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041943	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041944	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041945	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041946	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041947	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041948	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041949	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041950	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041951	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041952	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041953	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041954	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041955	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041956	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041957	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041958	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041959	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041960	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041961	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041962	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041963	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041964	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041965	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041966	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041967	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041968	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041969	1	1	1	0.25	1	1	1	1	0.5	1
ERR1041970	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041971	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041972	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041973	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041974	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041975	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041976	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041977	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041978	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041979	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041980	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041981	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041982	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041983	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1041984	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1041985	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041986	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041987	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041988	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041989	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041990	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041991	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041992	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041993	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041994	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041995	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041996	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041997	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041998	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041999	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042000	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042001	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042002	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042003	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042004	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042005	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042006	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042007	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042008	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042009	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042010	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042011	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042012	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042013	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042014	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042015	1	1	1	0.25	0.25	1	1	0.5	0.25	1
ERR1042016	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042017	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042018	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042019	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042020	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042021	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042022	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042023	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042024	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042025	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042026	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042027	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042028	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042029	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042030	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042031	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042032	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042033	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042034	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042035	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042036	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042037	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042038	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042039	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042040	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042041	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042042	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042043	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042044	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042045	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042046	1	1	1	0.25	1	1	1	1	0.5	1
ERR1042047	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042048	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042049	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042050	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042051	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042052	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042053	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042054	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042055	1	1	1	0.25	1	1	1	1	0.5	1
ERR1042056	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042057	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042058	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042059	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042060	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042061	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042062	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042063	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042064	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042065	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042066	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042067	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042068	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042069	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042070	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042071	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042072	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042073	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042074	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042075	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042076	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042077	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042078	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042079	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042080	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042081	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042082	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042083	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042084	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042085	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042086	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042087	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042088	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042089	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042090	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042091	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042092	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042093	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042094	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042095	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042096	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042097	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042098	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042099	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042100	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042101	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042102	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042103	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042104	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042105	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042106	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042107	1	1	1	0.25	1	1	1	1	0.25	1
ERR1042108	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042109	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042110	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042111	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042112	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042113	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042114	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042115	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042116	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042117	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042118	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042119	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042120	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042121	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042122	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042123	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042124	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042125	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042126	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042127	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042128	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042129	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042130	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042131	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042132	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042133	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042134	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042135	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042136	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042137	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042138	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042139	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042140	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042141	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042142	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042143	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042144	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042145	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042146	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042147	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042148	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042149	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042150	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042151	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042152	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042153	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042154	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042155	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042156	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042157	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042158	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042159	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042160	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042161	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042162	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042163	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042164	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042165	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042166	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042167	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042168	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042169	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042170	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042171	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042172	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042173	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042174	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042175	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042176	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042177	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042178	1	1	1	0.25	1	1	1	1	1	1
ERR1042179	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042180	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042181	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042182	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042183	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042184	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042185	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042186	1	1	1	0.25	0.25	1	1	0.5	0.25	1
ERR1042187	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042188	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042189	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042190	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042191	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042192	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042193	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042194	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042195	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042196	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042197	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042198	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042199	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042200	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042201	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042202	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042203	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042204	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042205	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042206	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042207	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042208	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042209	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042210	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042211	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042212	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042213	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042214	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042215	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042216	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042217	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042218	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042219	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042220	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042221	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042222	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042223	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042224	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042225	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042226	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042227	1	1	1	0.25	1	1	1	0.25	0.5	1
