Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
ERR1041413	(1, 32.48771024348641)	(2, 32.65683120355735)	(3, 32.705917257890334)	(4, 36.19053653994693)	(5, 36.13944057844561)	(6, 36.181332269190335)	(7, 36.138758577809085)	(8, 36.124159540097125)	(9, 37.868736500790284)	(10, 37.765789717178144)	(11, 37.83756427769394)	(12, 37.74257565815352)	(13, 37.7521291427376)	(14, 39.10464446568161)	(15, 39.114928784963844)	(16, 39.07347000761677)	(17, 39.03394738347768)	(18, 38.98086352924769)	(19, 38.98974004187437)	(20, 38.92720741133433)	(21, 38.868466069602285)	(22, 38.770662618989725)	(23, 38.70027787363309)	(24, 38.62814124822096)	(25, 38.55758619826495)	(26, 38.68881505546298)	(27, 38.680352012008036)	(28, 38.68763935028572)	(29, 38.63801623302318)	(30, 38.6166245673101)	(31, 38.53673740639952)	(32, 38.47157991710949)	(33, 38.40487784109195)	(34, 38.32599809223089)	(35, 38.25918538527281)	(36, 38.202905190848426)	(37, 38.228540167747795)	(38, 38.19275027624211)	(39, 38.19029326362615)	(40, 38.1167868260229)	(41, 38.044517219985266)	(42, 37.969290191885456)	(43, 37.659059131902474)
ERR1041414	(1, 32.3856037716158)	(2, 32.564111862958086)	(3, 32.60116904083964)	(4, 36.1176658044289)	(5, 36.05811227788485)	(6, 36.11122272356703)	(7, 36.05872078907463)	(8, 36.043975207494924)	(9, 37.767929585738344)	(10, 37.66050573119848)	(11, 37.73637280106389)	(12, 37.63218815108309)	(13, 37.64069198681246)	(14, 38.92937899594572)	(15, 38.95321673686956)	(16, 38.88950655258043)	(17, 38.84918277271657)	(18, 38.80747632421029)	(19, 38.80937107232253)	(20, 38.74996318471253)	(21, 38.68779680917352)	(22, 38.58616282324679)	(23, 38.50587918060796)	(24, 38.41479302238099)	(25, 38.3251212561286)	(26, 38.46302690697331)	(27, 38.45382984433758)	(28, 38.45145059442495)	(29, 38.38923248822496)	(30, 38.3527189328992)	(31, 38.270551717412886)	(32, 38.209615341980225)	(33, 38.145900831782164)	(34, 38.06103533059948)	(35, 37.974355651358415)	(36, 37.911273805341665)	(37, 37.91560295870541)	(38, 37.86355668662052)	(39, 37.84847512611376)	(40, 37.75248374765027)	(41, 37.65800445460472)	(42, 37.5448785113538)	(43, 37.20476095117365)
ERR1041415	(1, 32.45015601675905)	(2, 32.62434060786146)	(3, 32.668465970053695)	(4, 36.164901564623534)	(5, 36.11180345054427)	(6, 36.15924696849059)	(7, 36.11471740504437)	(8, 36.102168404290374)	(9, 37.834868133298464)	(10, 37.73472096980158)	(11, 37.80115971871251)	(12, 37.705710999034935)	(13, 37.7109078052939)	(14, 39.03679122600678)	(15, 39.0550943781199)	(16, 39.002286721396636)	(17, 38.97559349103475)	(18, 38.930614815084084)	(19, 38.936495491872)	(20, 38.879188736305295)	(21, 38.82012668959525)	(22, 38.728369252561876)	(23, 38.647524663077675)	(24, 38.566141138588144)	(25, 38.487875838568094)	(26, 38.615890257072934)	(27, 38.60921419383133)	(28, 38.61181224517556)	(29, 38.54389564642299)	(30, 38.51672949942132)	(31, 38.423892785236276)	(32, 38.354006071813444)	(33, 38.28135936856893)	(34, 38.19024804378085)	(35, 38.11215277329903)	(36, 38.045847116474924)	(37, 38.05008331447374)	(38, 38.00317392380097)	(39, 37.986532605216034)	(40, 37.894142423776934)	(41, 37.800881104793305)	(42, 37.70166441328669)	(43, 37.368827370768756)
ERR1041416	(1, 32.42741227315861)	(2, 32.598081648736525)	(3, 32.62007039190018)	(4, 36.129889394273555)	(5, 36.09261952358503)	(6, 36.14856795782556)	(7, 36.099917827219144)	(8, 36.091232905330074)	(9, 37.8200690514393)	(10, 37.71821413179614)	(11, 37.79519275321559)	(12, 37.69022518225209)	(13, 37.69878086347937)	(14, 38.97646454202775)	(15, 38.989815026515835)	(16, 38.93502874656286)	(17, 38.93709647069297)	(18, 38.900620633385465)	(19, 38.92378556773829)	(20, 38.85797968771814)	(21, 38.79770561152331)	(22, 38.69481107595001)	(23, 38.61509323537684)	(24, 38.53153510085324)	(25, 38.450605913607546)	(26, 38.55424124350256)	(27, 38.52517726962789)	(28, 38.517684346249645)	(29, 38.4558834092422)	(30, 38.39699443379944)	(31, 38.269613598242124)	(32, 38.177125085738915)	(33, 38.0864568179381)	(34, 37.99786285011321)	(35, 37.89952347880453)	(36, 37.82986440605949)	(37, 37.81288468697962)	(38, 37.74296220102664)	(39, 37.72288197064947)	(40, 37.61216319023618)	(41, 37.508060595913264)	(42, 37.382199665947034)	(43, 37.041896484047)
ERR1041417	(1, 32.257671846365845)	(2, 32.44196623504372)	(3, 32.46843603022125)	(4, 36.03007117055868)	(5, 35.98228977049681)	(6, 36.045961222987316)	(7, 35.99749762149222)	(8, 35.98551435112103)	(9, 37.68541448080208)	(10, 37.560386505871705)	(11, 37.64886801716175)	(12, 37.537349908020325)	(13, 37.548379293485745)	(14, 38.789449542422844)	(15, 38.798258452005676)	(16, 38.74217545029601)	(17, 38.73851991340582)	(18, 38.696424157901674)	(19, 38.719216663992654)	(20, 38.64567876560811)	(21, 38.58106934089239)	(22, 38.468518075418224)	(23, 38.395765153944964)	(24, 38.31613269890887)	(25, 38.23516095092427)	(26, 38.33906535337903)	(27, 38.30921710633598)	(28, 38.30547178689037)	(29, 38.24334328046187)	(30, 38.20043145262481)	(31, 38.08336171581325)	(32, 37.99053151710766)	(33, 37.906999579408875)	(34, 37.815793350047)	(35, 37.72554363337301)	(36, 37.65168718940163)	(37, 37.65011796551853)	(38, 37.58761105846625)	(39, 37.58124408840268)	(40, 37.4702881786448)	(41, 37.37716556618558)	(42, 37.26577621836753)	(43, 36.91325253292648)
ERR1041418	(1, 32.45079105908225)	(2, 32.61854138722101)	(3, 32.65491873528413)	(4, 36.152614028219936)	(5, 36.11050990317028)	(6, 36.16126544986673)	(7, 36.11602169889527)	(8, 36.099953513675324)	(9, 37.84039557271728)	(10, 37.73784249483325)	(11, 37.81175916917568)	(12, 37.714941323608144)	(13, 37.72143087929675)	(14, 39.033156407053255)	(15, 39.0428552102103)	(16, 38.993915580546556)	(17, 38.97731722814855)	(18, 38.92947265366393)	(19, 38.94889778477551)	(20, 38.88568591795379)	(21, 38.819583227791625)	(22, 38.718693511199895)	(23, 38.64283642858376)	(24, 38.56755160989482)	(25, 38.49463392379121)	(26, 38.60352382172279)	(27, 38.57966072179014)	(28, 38.58004732825965)	(29, 38.52300641309792)	(30, 38.481202002509974)	(31, 38.378886033665886)	(32, 38.29811676414882)	(33, 38.21573504521982)	(34, 38.13273680680687)	(35, 38.04288777222565)	(36, 37.974964127812925)	(37, 37.972794166326054)	(38, 37.910289309008846)	(39, 37.8997257234884)	(40, 37.80126898311524)	(41, 37.714412235833905)	(42, 37.60704159878416)	(43, 37.281980756388634)
ERR1041419	(1, 31.90549635486442)	(2, 32.129806461371935)	(3, 32.15342694819318)	(4, 35.81604562252063)	(5, 35.731584775878765)	(6, 35.81807344164487)	(7, 35.77300163312489)	(8, 35.754233612285034)	(9, 37.408438686730356)	(10, 37.21747301045692)	(11, 37.34142187874869)	(12, 37.20207600901721)	(13, 37.223373999238305)	(14, 38.36848364467682)	(15, 38.37358677249431)	(16, 38.304793633809304)	(17, 38.27186993523088)	(18, 38.2105144064429)	(19, 38.232837568443806)	(20, 38.142421385070925)	(21, 38.0699317592266)	(22, 37.94600830841697)	(23, 37.86817956479898)	(24, 37.76867528835927)	(25, 37.678083249073346)	(26, 37.795157618352995)	(27, 37.759924441884785)	(28, 37.746859649416464)	(29, 37.68694671772481)	(30, 37.6508437674164)	(31, 37.53233837322742)	(32, 37.43907956477831)	(33, 37.35544984913795)	(34, 37.256113782702016)	(35, 37.15548638418545)	(36, 37.07185625525269)	(37, 37.0829364176518)	(38, 37.02031766066587)	(39, 37.021585848372524)	(40, 36.909586709673874)	(41, 36.81648164599481)	(42, 36.70325420230539)	(43, 36.315929384035215)
ERR1041420	(1, 32.463654191765926)	(2, 32.63117647366827)	(3, 32.675098898932426)	(4, 36.166860110001274)	(5, 36.118319859078646)	(6, 36.16817216044472)	(7, 36.12131306426611)	(8, 36.10677897535159)	(9, 37.849586127384846)	(10, 37.7446330193392)	(11, 37.8173875444145)	(12, 37.719480124484676)	(13, 37.72540021143059)	(14, 39.05256450465694)	(15, 39.06012742445712)	(16, 39.0129227483063)	(17, 38.98325454833403)	(18, 38.933985422656676)	(19, 38.94476047566799)	(20, 38.87767827324145)	(21, 38.81411606918793)	(22, 38.71816033377835)	(23, 38.644957632305186)	(24, 38.56607228783275)	(25, 38.4874212001399)	(26, 38.61335391130281)	(27, 38.60166581081113)	(28, 38.602257713266816)	(29, 38.550395675408886)	(30, 38.51533911419673)	(31, 38.424390494137626)	(32, 38.348165220009)	(33, 38.274317800168724)	(34, 38.194932222236304)	(35, 38.11119380882173)	(36, 38.04610669709551)	(37, 38.051262015714705)	(38, 37.996410794570615)	(39, 37.99162063423562)	(40, 37.90094641408418)	(41, 37.819872017029795)	(42, 37.7215879801913)	(43, 37.398195092111784)
ERR1041421	(1, 32.18277420711401)	(2, 32.37830346750559)	(3, 32.403476081311204)	(4, 35.99224654539977)	(5, 35.93671065632051)	(6, 36.004462821951215)	(7, 35.96033514878876)	(8, 35.9477234071956)	(9, 37.63428487626154)	(10, 37.496974003030644)	(11, 37.59069378627903)	(12, 37.47009501919823)	(13, 37.48442660545907)	(14, 38.69683363696539)	(15, 38.706515323121366)	(16, 38.649311816664664)	(17, 38.64558456386922)	(18, 38.60221063495955)	(19, 38.62821669186285)	(20, 38.55712114401999)	(21, 38.49148178118875)	(22, 38.38557193948863)	(23, 38.311021974214555)	(24, 38.22013687937136)	(25, 38.138063155119546)	(26, 38.252715427387926)	(27, 38.23109500050086)	(28, 38.22893404413979)	(29, 38.1594775975739)	(30, 38.12167590271476)	(31, 37.996453453628796)	(32, 37.90408103001408)	(33, 37.81687064731235)	(34, 37.72364023377353)	(35, 37.632183041193024)	(36, 37.559597135395805)	(37, 37.56945117160958)	(38, 37.51328249668174)	(39, 37.50525798244515)	(40, 37.4006398260873)	(41, 37.306236074245895)	(42, 37.1988718069671)	(43, 36.84017926912921)
ERR1041422	(1, 32.47227203744013)	(2, 32.64344297335455)	(3, 32.687273884605645)	(4, 36.17753122982252)	(5, 36.126963300990155)	(6, 36.16940264112192)	(7, 36.124797471258915)	(8, 36.10888918080629)	(9, 37.85665001456126)	(10, 37.75730100950545)	(11, 37.824357823332505)	(12, 37.72642849123229)	(13, 37.72943618304953)	(14, 39.06627910876352)	(15, 39.07168751924545)	(16, 39.02731524997843)	(17, 38.99087207288556)	(18, 38.93702564067216)	(19, 38.94143603829856)	(20, 38.87569590154601)	(21, 38.81317528082947)	(22, 38.7166893491787)	(23, 38.643533376431655)	(24, 38.55881177482847)	(25, 38.48311603234946)	(26, 38.6251338316814)	(27, 38.61796879132014)	(28, 38.62728998483694)	(29, 38.574192890739134)	(30, 38.5534036294582)	(31, 38.47129483585015)	(32, 38.40226453080339)	(33, 38.33515244119459)	(34, 38.254580632453035)	(35, 38.17782165964938)	(36, 38.11950783080203)	(37, 38.13843799654586)	(38, 38.09174202355226)	(39, 38.088639156647986)	(40, 38.0081378676088)	(41, 37.93575588836201)	(42, 37.85270515301516)	(43, 37.5441778761401)
