Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1041415	(1.0, 38.113387867179235)	(2.0, 13.556253302425029)	(3.0, 6.847685051438623)	(4.0, 4.183426022949869)	(5.0, 2.95011734529289)	(6.0, 2.2769914878357)	(7.0, 1.7735337318643487)	(8.0, 1.4152350150297868)	(9.0, 1.2406553161636702)	('>10', 13.645865258934952)	('>50', 4.439740695499954)	('>100', 6.188998289161321)	('>500', 0.9388941568176277)	('>1k', 0.902359306727455)	('>5k', 0.0)	('>10k+', 1.5268571526794275)
ERR1041416	(1.0, 33.452814981583025)	(2.0, 11.51972830636211)	(3.0, 5.796517093790207)	(4.0, 3.47109373054269)	(5.0, 2.44640114858991)	(6.0, 1.7799529663417732)	(7.0, 1.37614488600167)	(8.0, 1.1517496713124429)	(9.0, 0.9394058923122814)	('>10', 11.949149063704805)	('>50', 4.628481252695683)	('>100', 11.336929922113214)	('>500', 3.7744674695264138)	('>1k', 2.8926469006956355)	('>5k', 0.5365432092951663)	('>10k+', 2.9479735051328744)
ERR1041417	(1.0, 41.849862123865385)	(2.0, 11.494650073134373)	(3.0, 5.139902355336974)	(4.0, 2.971276155185864)	(5.0, 2.064376072144109)	(6.0, 1.610572295270776)	(7.0, 1.2962337286757588)	(8.0, 1.0343993665387508)	(9.0, 0.9314097110024545)	('>10', 11.860490376276516)	('>50', 4.451347998214356)	('>100', 9.005053973583376)	('>500', 2.114482764393786)	('>1k', 1.4837991876547258)	('>5k', 0.1752441772311461)	('>10k+', 2.5168996414915763)
ERR1041418	(1.0, 45.43126858567278)	(2.0, 10.601150396399433)	(3.0, 4.748067155923504)	(4.0, 2.9495203017223623)	(5.0, 2.103465890625512)	(6.0, 1.594600406013385)	(7.0, 1.2969063220707227)	(8.0, 1.076918851739836)	(9.0, 0.953702791199062)	('>10', 12.228653091381005)	('>50', 4.412833321738679)	('>100', 7.887601054833001)	('>500', 1.622163374543778)	('>1k', 1.1032118759959495)	('>5k', 0.0)	('>10k+', 1.9899365801409434)
ERR1041419	(1.0, 47.86243884157948)	(2.0, 9.953368101882628)	(3.0, 4.363050068651045)	(4.0, 2.7857663303954574)	(5.0, 2.039762992380333)	(6.0, 1.502229656785464)	(7.0, 1.240828851883241)	(8.0, 1.08876886654583)	(9.0, 0.9105911540848267)	('>10', 11.784303535069965)	('>50', 4.388658408922476)	('>100', 7.5094475458291345)	('>500', 1.6688966482942416)	('>1k', 1.1474026074715757)	('>5k', 0.16363717198061137)	('>10k+', 1.590849218243633)
ERR1041420	(1.0, 34.56356906291415)	(2.0, 10.09565793025717)	(3.0, 5.114041266714242)	(4.0, 3.3749383404775326)	(5.0, 2.4162757684514045)	(6.0, 1.9298342208272388)	(7.0, 1.5497727804012735)	(8.0, 1.4010597387507624)	(9.0, 1.1679806880509063)	('>10', 15.321462841747636)	('>50', 5.268479427437695)	('>100', 10.191293499732543)	('>500', 3.167448265692215)	('>1k', 2.7562883639617826)	('>5k', 0.22166596180206982)	('>10k+', 1.4602318427813459)
ERR1041421	(1.0, 40.10255786204353)	(2.0, 11.575747845448197)	(3.0, 5.628846852589799)	(4.0, 3.5943323277329164)	(5.0, 2.6025010576497674)	(6.0, 1.9449492789071254)	(7.0, 1.5615638303877926)	(8.0, 1.347425931597743)	(9.0, 1.1061640527161356)	('>10', 13.340382704463268)	('>50', 4.1625803235181955)	('>100', 6.978981741162643)	('>500', 1.6078648860568285)	('>1k', 1.5305755433124297)	('>5k', 0.28921341919345545)	('>10k+', 2.626312343220243)
ERR1041422	(1.0, 45.77479713898162)	(2.0, 10.868464114375602)	(3.0, 5.127542374838176)	(4.0, 3.314976547705642)	(5.0, 2.2499119349681105)	(6.0, 1.7701151777385713)	(7.0, 1.3077250915434357)	(8.0, 1.116759117149962)	(9.0, 1.0253739848984262)	('>10', 12.60756962845051)	('>50', 4.158586488378667)	('>100', 7.078685766873082)	('>500', 1.5520862519300571)	('>1k', 0.9728146820714721)	('>5k', 0.0972907592755637)	('>10k+', 0.9773009408211504)
ERR1041423	(1.0, 45.44693777455937)	(2.0, 11.365865817937358)	(3.0, 5.5174449389785485)	(4.0, 3.27298309287124)	(5.0, 2.370773841421591)	(6.0, 1.8534046501334864)	(7.0, 1.5121921423409486)	(8.0, 1.2089389908227686)	(9.0, 1.047183685382269)	('>10', 12.803301524756247)	('>50', 4.062560738459459)	('>100', 6.483519201372573)	('>500', 1.2475133528676818)	('>1k', 0.7274201870196835)	('>5k', 0.09477253244341305)	('>10k+', 0.9851875286333865)
ERR1041424	(1.0, 25.860000212191515)	(2.0, 7.605433391124832)	(3.0, 4.16785358876985)	(4.0, 2.8484254912351696)	(5.0, 2.0877208446603137)	(6.0, 1.6321764723284047)	(7.0, 1.412344535840419)	(8.0, 1.202100119629063)	(9.0, 1.0247265003632928)	('>10', 14.092367242107006)	('>50', 5.258957230963058)	('>100', 11.975539854224094)	('>500', 5.560338910836828)	('>1k', 10.262622739858655)	('>5k', 2.0055987703456437)	('>10k+', 3.0037940955218048)
