"","PC_1","PC_2"
"ERR1211508",-139.388066359403,-14.74199193241
"ERR1211471",-116.972882319208,-12.04427907479
"ERR1211611",-97.2718369912362,-7.10477240781665
"ERR1211625",-89.2569901784796,-9.03879437980719
"ERR1211531",-43.848833005105,1.04470479499471
"ERR1211506",-20.0387649475796,2.62199592683318
"ERR1211551",-15.3272986850624,1.70563271081777
