"","x"
"ENSG00000184007",-3680
"ENSG00000144224",-3715
"ENSG00000227008",-3724.5
"ENSG00000227063",-3758
"ENSG00000243469",-3758
"ENSG00000156697",-3760
"ENSG00000102241",-3760.5
"ENSG00000125686",-3762
"ENSG00000183520",-3803.5
"ENSG00000234806",-3817
"ENSG00000168256",-3818
"ENSG00000233243",-3856
"ENSG00000132466",-3870
"ENSG00000125651",-3873
"ENSG00000089006",-3905
"ENSG00000157954",-3908
"ENSG00000110801",-3913
"ENSG00000175166",-3928
"ENSG00000249031",-3949
"ENSG00000008952",-3958
"ENSG00000166164",-3964
"ENSG00000101294",-3972
"ENSG00000240796",-3973
"ENSG00000104967",-3974.5
"ENSG00000143222",-4013.5
"ENSG00000100554",-4046.5
"ENSG00000164045",-4061.5
"ENSG00000248878",-4110
"ENSG00000251467",-4118
"ENSG00000171928",-4123
"ENSG00000135900",-4127
"ENSG00000162702",-4164
"ENSG00000214144",-4179
"ENSG00000229091",-4182
"ENSG00000185985",-4204.5
"ENSG00000236004",-4209
"ENSG00000289013",-4227.5
"ENSG00000198923",-4238
"ENSG00000233268",-4276
"ENSG00000006744",-4292
"ENSG00000145386",-4292.5
"ENSG00000228783",-4315.5
"ENSG00000115677",-4326
"ENSG00000271686",-4328
"ENSG00000235784",-4340
"ENSG00000226428",-4346
"ENSG00000198728",-4385
"ENSG00000259208",-4393
"ENSG00000141551",-4416
"ENSG00000161813",-4447
"ENSG00000238069",-4451
"ENSG00000242595",-4468.5
"ENSG00000273870",-4559.5
"ENSG00000156411",-4568
"ENSG00000179134",-4590
"ENSG00000135018",-4620
"ENSG00000174231",-4627
"ENSG00000220730",-4642
"ENSG00000228937",-4657
"ENSG00000055070",-4674.5
"ENSG00000132688",-4690
"ENSG00000224858",-4693
"ENSG00000230568",-4726.5
"ENSG00000257905",-4743
"ENSG00000141002",-4745
"ENSG00000188786",-4766.5
"ENSG00000165526",-4789.5
"ENSG00000133318",-4824
"ENSG00000230425",-4835.5
"ENSG00000109519",-4859.5
"ENSG00000061936",-4860
"ENSG00000113384",-4862
"ENSG00000168724",-4871
"ENSG00000153561",-4959
"ENSG00000093000",-4965
"ENSG00000100387",-4971
"ENSG00000241008",-4974
"ENSG00000069956",-4981.5
"ENSG00000134283",-5026
"ENSG00000289310",-5078
"ENSG00000084092",-5078.5
"ENSG00000225402",-5112
"ENSG00000090520",-5114
"ENSG00000227096",-5123.5
"ENSG00000004534",-5128
"ENSG00000228600",-5153.5
"ENSG00000219702",-5162
"ENSG00000138398",-5174
"ENSG00000225057",-5203
"ENSG00000269893",-5217
"ENSG00000204438",-5252.5
"ENSG00000215086",-5257.5
"ENSG00000223903",-5258
"ENSG00000234981",-5281.5
"ENSG00000140694",-5321.5
"ENSG00000228547",-5339
"ENSG00000251254",-5350
"ENSG00000077152",-5363.5
"ENSG00000241255",-5385
"ENSG00000130311",-5390.5
"ENSG00000270992",-5455.5
"ENSG00000223450",-5458.5
"ENSG00000198874",-5501.5
