"","x"
"ENSG00000270385",-893
"ENSG00000078140",-929
"ENSG00000255213",-931
"ENSG00000218175",-932
"ENSG00000100316",-939
"ENSG00000198034",-944
"ENSG00000229659",-951
"ENSG00000214976",-957.5
"ENSG00000250956",-976
"ENSG00000197958",-976
"ENSG00000130396",-999
"ENSG00000244705",-1001.5
"ENSG00000107833",-1013
"ENSG00000104738",-1034
"ENSG00000153187",-1035
"ENSG00000078369",-1038
"ENSG00000122406",-1039
"ENSG00000159377",-1044.5
"ENSG00000063177",-1048
"ENSG00000087995",-1060
"ENSG00000163466",-1083
"ENSG00000100297",-1086
"ENSG00000136238",-1110.5
"ENSG00000213553",-1124
"ENSG00000217026",-1125
"ENSG00000256464",-1126
"ENSG00000114850",-1129
"ENSG00000128699",-1138
"ENSG00000010244",-1139
"ENSG00000105568",-1144
"ENSG00000288845",-1159
"ENSG00000250144",-1162.5
"ENSG00000226608",-1170
"ENSG00000088986",-1173
"ENSG00000145050",-1177
"ENSG00000188873",-1181
"ENSG00000268100",-1194
"ENSG00000231929",-1196
"ENSG00000244089",-1202.5
"ENSG00000142937",-1206
"ENSG00000168066",-1225
"ENSG00000197912",-1228
"ENSG00000196262",-1237
"ENSG00000118680",-1245.5
"ENSG00000106399",-1246
"ENSG00000213315",-1282
"ENSG00000242299",-1311
"ENSG00000233057",-1316
"ENSG00000138385",-1321
"ENSG00000213757",-1350
"ENSG00000010278",-1350
"ENSG00000222604",-1354
"ENSG00000214016",-1368.5
"ENSG00000214460",-1387.5
"ENSG00000226789",-1397.5
"ENSG00000214485",-1410
"ENSG00000224578",-1415
"ENSG00000227939",-1425
"ENSG00000142507",-1446
"ENSG00000090621",-1451
"ENSG00000087086",-1463
"ENSG00000259600",-1475
"ENSG00000169764",-1516
"ENSG00000100902",-1517
"ENSG00000157110",-1521
"ENSG00000135486",-1535
"ENSG00000237149",-1546
"ENSG00000233668",-1555
"ENSG00000111328",-1563
"ENSG00000143033",-1578.5
"ENSG00000261557",-1596
"ENSG00000113013",-1611
"ENSG00000182117",-1628
"ENSG00000080608",-1632
"ENSG00000289964",-1646
"ENSG00000250563",-1647
"ENSG00000126067",-1648
"ENSG00000178982",-1664
"ENSG00000213442",-1678
"ENSG00000155463",-1694
"ENSG00000120438",-1706
"ENSG00000160075",-1712
"ENSG00000239269",-1718
"ENSG00000100664",-1756
"ENSG00000243388",-1776
"ENSG00000101182",-1789
"ENSG00000167283",-1797
"ENSG00000106682",-1800
"ENSG00000265241",-1809
"ENSG00000183298",-1815
"ENSG00000108518",-1816
"ENSG00000234017",-1829
"ENSG00000170889",-1831
"ENSG00000178556",-1832.5
"ENSG00000108654",-1853.5
"ENSG00000228780",-1875
"ENSG00000229338",-1885
"ENSG00000004779",-1887
"ENSG00000086475",-1887.5
"ENSG00000259300",-1912
"ENSG00000242692",-1916
"ENSG00000179101",-1930
"ENSG00000250825",-1931
"ENSG00000189403",-1947
"ENSG00000186676",-1948
"ENSG00000174574",-1950
"ENSG00000209082",-1976.5
"ENSG00000240342",-1996
"ENSG00000214199",-2008
"ENSG00000243859",-2015
"ENSG00000112081",-2015
"ENSG00000116251",-2033
"ENSG00000188856",-2036
"ENSG00000173207",-2078
"ENSG00000070756",-2080.5
"ENSG00000135390",-2081
"ENSG00000099622",-2091.5
"ENSG00000243746",-2097
"ENSG00000171530",-2114
"ENSG00000232472",-2130
"ENSG00000179010",-2144
"ENSG00000105821",-2151.5
"ENSG00000198744",-2152
"ENSG00000229119",-2157.5
"ENSG00000234498",-2184
"ENSG00000100380",-2185.5
"ENSG00000293064",-2199.5
"ENSG00000196205",-2201
"ENSG00000229344",-2226.5
"ENSG00000163811",-2230.5
"ENSG00000236844",-2247
"ENSG00000138768",-2271
"ENSG00000233328",-2317
"ENSG00000128272",-2318
"ENSG00000240087",-2322
"ENSG00000251340",-2335
"ENSG00000178913",-2337
"ENSG00000241746",-2337
"ENSG00000249936",-2342.5
"ENSG00000214389",-2353
"ENSG00000136950",-2353.5
"ENSG00000239683",-2398
"ENSG00000213312",-2409
"ENSG00000228930",-2414
"ENSG00000214541",-2431
"ENSG00000077549",-2444
"ENSG00000205871",-2465
"ENSG00000232176",-2471.5
"ENSG00000131475",-2486
"ENSG00000234421",-2521.5
"ENSG00000293320",-2539
"ENSG00000136930",-2544
"ENSG00000140612",-2559
"ENSG00000100804",-2565
"ENSG00000227525",-2566
"ENSG00000163682",-2571
"ENSG00000277791",-2587
"ENSG00000125868",-2600.5
"ENSG00000083937",-2612.5
"ENSG00000067225",-2619
"ENSG00000165609",-2621
