"","gene","zero.all","segIdx","rho","sigma","mu","mu.scaled","zero","segIdx_hESC","segIdx_non_hESC","segIdx_hESCvsnon_hESC"
"ENSG00000225165","ENSG00000225165",0,0.825559143643105,1,0.517398338178063,3.85384659875238,0.164755530845088,0,141,141,0
"ENSG00000181027","ENSG00000181027",0,0.82548439181916,1,0.517903887787042,9.95368739882691,0.485687263063907,0,142,142,0
"ENSG00000164167","ENSG00000164167",0,0.825125583064227,1,0.519600072069766,10.1951471104164,0.498391214862208,0,143,143,0
"ENSG00000240023","ENSG00000240023",0,0.825110632699438,1,0.519624025068076,4.11866299560001,0.178688351019545,0,144,144,0
"ENSG00000100316","ENSG00000100316",0,0.824781724674082,1,0.521025825514403,14.9867746235184,0.750493748080515,0,145,145,0
"ENSG00000233057","ENSG00000233057",0,0.824751823944504,1,0.521063238281925,4.62193739270789,0.205167193556426,0,146,146,0
"ENSG00000167600","ENSG00000167600",0,0.824721923214926,1,0.521093667284984,12.9127100065258,0.641370711581421,0,147,147,0
"ENSG00000215414","ENSG00000215414",0,0.824512618107882,1,0.522250481354734,4.37548393587308,0.192200505177879,0,148,148,0
"ENSG00000130520","ENSG00000130520",0,0.824497667743093,1,0.522250869215321,12.0547437444607,0.596230418958295,0,149,149,0
"ENSG00000116288","ENSG00000116288",0,0.82425846190647,1,0.523419254658641,12.823276308689,0.636665324587529,0,150,150.5,-0.5
"ENSG00000257790","ENSG00000257790",0,0.824243511541682,1,0.523421523285098,3.72561998672179,0.15800912711681,0,151,150.5,0.5
"ENSG00000122566","ENSG00000122566",0,0.824198660447315,1,0.523861714027767,12.910430725935,0.641250791489703,0,152,152,0
"ENSG00000234782","ENSG00000234782",0,0.824153809352948,1,0.523946438959995,5.34141229031833,0.243021021671949,0,153,153,0
"ENSG00000188846","ENSG00000188846",0,0.823944504245904,1,0.525143431925291,13.9197839256554,0.694356025121854,0,154,154,0
"ENSG00000220370","ENSG00000220370",0,0.823899653151537,1,0.525354471317449,6.75805448122607,0.317555004961599,0,155,155,0
"ENSG00000240563","ENSG00000240563",0,0.823824901327592,1,0.525626862328434,14.9259994312688,0.747296174838217,0,156,156,0
"ENSG00000257727","ENSG00000257727",0,0.823780050233226,1,0.525800848456876,8.86755252028952,0.428542304790894,0,157,157,0
"ENSG00000100380","ENSG00000100380",0,0.823705298409281,1,0.526070949473066,11.1018938464065,0.546098001023171,0,158,158,0
"ENSG00000227939","ENSG00000227939",0,0.823391340748714,1,0.527638140870742,5.63754667509318,0.258601579294729,0,159,159,0
"ENSG00000250444","ENSG00000250444",0,0.823301638559981,1,0.528213373634094,4.18816619000381,0.182345131795607,0,160,160,0
"ENSG00000213383","ENSG00000213383",0,0.82318203564167,1,0.52870070210234,4.01048628829407,0.172996835585077,0,161,161,0
"ENSG00000166226","ENSG00000166226",0,0.823137184547303,1,0.529024127280912,13.5792250556924,0.6764381561738,0,162.5,162,0.5
"ENSG00000239568","ENSG00000239568",0.676470588235294,0.823137184547303,1,0.107087786337297,0.915959946412048,0.0101841111472807,0.00688925165845458,162.5,163,-0.5
"ENSG00000213045","ENSG00000213045",0.794117647058823,0.822987680899414,1,0.101318221375595,0.89279279652839,0.0089652148208971,0.00711943529894769,164,164,0
"ENSG00000087086","ENSG00000087086",0,0.822927879440258,1,0.529565542701784,14.5176086326716,0.725809455641479,0,165,165,0
"ENSG00000178913","ENSG00000178913",0,0.822823226886736,1,0.529898105791521,11.941085139709,0.590250483727184,0,166,166,0
"ENSG00000231503","ENSG00000231503",0,0.822673723238847,1,0.530475283090034,7.56661306280986,0.360095804745244,0,167,167,0
"ENSG00000166831","ENSG00000166831",0,0.822658772874058,1,0.53050691509432,11.8950178610814,0.587826739893023,0,168,168,0
"ENSG00000188229","ENSG00000188229",0,0.82262887214448,1,0.530731400321906,12.804568870978,0.63568106768858,0,169,169,0
"ENSG00000223460","ENSG00000223460",0,0.822613921779691,1,0.530742439552767,5.47814007167698,0.250214698548455,0,170,170,0
"ENSG00000136014","ENSG00000136014",0,0.822539169955747,1,0.531307103429844,12.7585756479079,0.633261220149275,0,171,171,0
"ENSG00000172115","ENSG00000172115",0,0.82235976557828,1,0.532462200205726,12.1719349843822,0.602396217191656,0,172,172,0
"ENSG00000167088","ENSG00000167088",0,0.82222521229518,1,0.533120195793371,12.0378365455204,0.595340878260313,0,173,173,0
"ENSG00000100804","ENSG00000100804",0,0.822180361200813,1,0.533345661587712,13.2568865204305,0.659478916109505,0,174,174,0
"ENSG00000215386","ENSG00000215386",0,0.822150460471236,1,0.533402982247711,2.62642615917974,0.100177096629556,0,175,175,0
"ENSG00000230651","ENSG00000230651",0,0.822060758282502,1,0.533752203987582,4.73183109638389,0.210949045548407,0,176,176,0
"ENSG00000254999","ENSG00000254999",0,0.82195610572898,1,0.534244638548984,11.772836995887,0.581398421844072,0,177,177,0
"ENSG00000189159","ENSG00000189159",0,0.821806602081091,1,0.534714448273886,13.2955426172344,0.661512734452423,0,178,178,0
"ENSG00000214460","ENSG00000214460",0,0.821791651716302,1,0.534781183503485,4.82993159931633,0.216110420307116,0,179,179,0
"ENSG00000132507","ENSG00000132507",0,0.821731850257146,1,0.535022674512257,10.7984754733939,0.53013420996214,0,180,180,0
"ENSG00000260033","ENSG00000260033",0.794117647058823,0.821701949527568,1,0.09584011428304,0.905117279268296,0.00961364446423644,0.00763436472159953,181,181,0
"ENSG00000253506","ENSG00000253506",0,0.82168699916278,1,0.535241327263911,5.06262608614602,0.228353206173775,0,182,182,0
"ENSG00000104904","ENSG00000104904",0,0.821522545150102,1,0.535807362074379,13.6476747870955,0.68003951096143,0,183,183,0
"ENSG00000147601","ENSG00000147601",0,0.821507594785313,1,0.535953038441071,13.9313828748635,0.694966282173354,0,184,184,0
"ENSG00000198755","ENSG00000198755",0,0.821432842961368,1,0.536096546599451,14.2481622279339,0.711633036248443,0,185,185,0
"ENSG00000152234","ENSG00000152234",0,0.821417892596579,1,0.536134012789782,14.1201621217469,0.704898549702124,0,186,186,0
"ENSG00000250956","ENSG00000250956",0,0.821373041502213,1,0.536339836562071,3.40560550488578,0.141172162783333,0,187,187,0
"ENSG00000111642","ENSG00000111642",0,0.821208587489535,1,0.536890714865636,10.7457188377847,0.527358518102792,0,188,188,0
"ENSG00000223668","ENSG00000223668",0,0.821193637124746,1,0.536919558452602,4.87975583392927,0.218731829364318,0,189,189,0
"ENSG00000143799","ENSG00000143799",0,0.821118885300801,1,0.537703839894902,13.4305748002977,0.668617200591156,0,190,190,0
"ENSG00000242292","ENSG00000242292",0.647058823529412,0.821088984571224,1,0.111961382296328,0.931283050740841,0.0109903076655815,0.00711137554831742,191,191,0
"ENSG00000115875","ENSG00000115875",0,0.821029183112068,1,0.537944567052217,13.3061560177905,0.662071138702115,0,192,192,0
"ENSG00000171314","ENSG00000171314",0,0.820984332017701,1,0.538036405709732,11.0571592599085,0.543744374296597,0,193,193,0
"ENSG00000185651","ENSG00000185651",0,0.820924530558546,1,0.5382239490513,11.4135495741312,0.56249518511909,0,194,194,0
"ENSG00000253488","ENSG00000253488",0,0.820745126181079,1,0.539224120342708,3.55979001971807,0.149284293091036,0,195,195,0
"ENSG00000226360","ENSG00000226360",0,0.820715225451501,1,0.539380466998632,8.24974675851665,0.396037608389947,0,196,196,0
"ENSG00000220157","ENSG00000220157",0,0.820610572897979,1,0.539841585083482,3.02063215801596,0.120917509077043,0,197,197,0
"ENSG00000237709","ENSG00000237709",0,0.820565721803612,1,0.540151673386204,4.3770323045836,0.192281969705999,0,198,198,0
"ENSG00000188856","ENSG00000188856",0,0.820520870709245,1,0.540435670049416,4.27411241750675,0.186867032050751,0,199,199,0
"ENSG00000101608","ENSG00000101608",0,0.820476019614879,1,0.540585536075209,11.5434454939236,0.569329416357813,0,200,200,0
"ENSG00000242952","ENSG00000242952",0,0.820371367061356,1,0.54118064112458,4.66210541262918,0.207280558910647,0,201.5,201,0.5
"ENSG00000260212","ENSG00000260212",0.647058823529412,0.820371367061356,1,0.124752125645315,0.921291747475155,0.0104646339030562,0.00677123370197755,201.5,202,-0.5
"ENSG00000186184","ENSG00000186184",0,0.82032651596699,1,0.541209710729817,12.0552963523444,0.5962594933901,0,203,203,0
"ENSG00000189403","ENSG00000189403",0,0.819743451740222,1,0.544203708850457,11.9818104122831,0.592393167889059,0,204,204,0
"ENSG00000124795","ENSG00000124795",0,0.819683650281067,1,0.544466006038991,12.1987723329307,0.603808214166679,0,205,205,0
"ENSG00000228979","ENSG00000228979",0,0.819668699916278,1,0.544545810640745,3.05846181080754,0.122907845611645,0,206,206,0
"ENSG00000136810","ENSG00000136810",0,0.819623848821911,1,0.544694630377352,12.0382142228131,0.595360749045754,0,207,207,0
"ENSG00000029993","ENSG00000029993",0,0.819549096997967,1,0.54521893325031,11.6142803981276,0.573056262558039,0,208,208,0
"ENSG00000163466","ENSG00000163466",0,0.819534146633178,1,0.545277122302345,13.1885793285748,0.65588506077397,0,209,209,0
"ENSG00000114784","ENSG00000114784",0,0.8195042459036,1,0.545418603384901,11.4822444623125,0.566109438372767,0,210,210,0
"ENSG00000151366","ENSG00000151366",0,0.819429494079655,1,0.546086114962318,9.53818095238671,0.463826167344407,0,211,211,0
"ENSG00000116161","ENSG00000116161",0,0.819414543714867,1,0.54626165663085,11.3125292214531,0.55718018791884,0,212,212,0
"ENSG00000138668","ENSG00000138668",0,0.819399593350078,1,0.546286522167028,14.073637923277,0.702450765883759,0,213,213,0
"ENSG00000101361","ENSG00000101361",0,0.819324841526133,1,0.546622501971457,13.1219289974919,0.652378378073804,0,214,214,0
"ENSG00000227913","ENSG00000227913",0.705882352941177,0.819279990431767,1,0.108492617578939,0.927096894479777,0.0107700608715691,0.00760239590934292,215,215,0
