Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR2977631	(1, 32.50273189316017)	(2, 32.69906740447881)	(3, 31.636598901168316)	(4, 35.83393002371958)	(5, 36.02563867214742)	(6, 36.106424418600945)	(7, 36.06868336085326)	(8, 36.11806608635552)	(9, 37.93314643011146)	(10, 37.96175952551135)	(11, 37.989902874386765)	(12, 37.95880213870577)	(13, 37.93953528911744)	(14, 39.470371736547364)	(15, 39.46274757562428)	(16, 39.44371023951713)	(17, 39.433324706638125)	(18, 39.35221976608129)	(19, 39.40884285389964)	(20, 39.38393193154641)	(21, 39.35741789230183)	(22, 39.3308641332513)	(23, 39.29934651507674)	(24, 39.26301590923389)	(25, 39.208307188449005)	(26, 39.10802814165799)	(27, 39.05458531820701)	(28, 39.00981149394836)	(29, 38.97560036247434)	(30, 38.91251749426152)	(31, 38.85412813526454)	(32, 38.789688987219606)	(33, 38.72427155152007)	(34, 38.656080110095004)	(35, 38.59073209632139)	(36, 38.50961739330622)	(37, 38.43269030636381)	(38, 38.3385717536221)	(39, 38.269246367567916)	(40, 38.16827016639951)	(41, 38.0841475734038)	(42, 37.99589785329284)	(43, 38.05328301902684)	(44, 38.0858829620345)	(45, 38.024424043671495)	(46, 37.94462653875166)	(47, 37.83154457021639)	(48, 37.695973088028914)	(49, 37.45962977822885)	(50, 36.96879047352517)
SRR2977632	(1, 32.49640982918827)	(2, 32.6937005403055)	(3, 31.646296759109205)	(4, 35.82839709015173)	(5, 36.01629443422679)	(6, 36.09603551605323)	(7, 36.057754660600146)	(8, 36.107352122638844)	(9, 37.92271429550645)	(10, 37.950618626006275)	(11, 37.97915181717709)	(12, 37.94922081106597)	(13, 37.93010501307776)	(14, 39.46394000201631)	(15, 39.45687349012196)	(16, 39.43696206178204)	(17, 39.42688895518324)	(18, 39.34465233468131)	(19, 39.40160974552077)	(20, 39.37903256390011)	(21, 39.35118929984058)	(22, 39.325227936229915)	(23, 39.294493291053605)	(24, 39.25820560416792)	(25, 39.20410759847891)	(26, 39.10345037754018)	(27, 39.05147783140998)	(28, 39.00648449630845)	(29, 38.973111568916394)	(30, 38.9101629926301)	(31, 38.85245411713827)	(32, 38.78749120219269)	(33, 38.722383099871486)	(34, 38.65554973811507)	(35, 38.59046787021927)	(36, 38.50999519830517)	(37, 38.43282276410853)	(38, 38.340495105733865)	(39, 38.27147892789708)	(40, 38.171570197786956)	(41, 38.089278252385654)	(42, 38.00151538403195)	(43, 38.055610445341)	(44, 38.08820847081625)	(45, 38.02989072699332)	(46, 37.94917343599248)	(47, 37.83776166115793)	(48, 37.70263979562706)	(49, 37.46882970436541)	(50, 36.98448665088793)
SRR2977633	(1, 32.662625626047806)	(2, 32.87039170798182)	(3, 32.28043814179684)	(4, 36.09776771774107)	(5, 36.17324643408292)	(6, 36.217532503084506)	(7, 36.21680377364114)	(8, 36.21722590227652)	(9, 38.06735222107271)	(10, 38.06183441111867)	(11, 38.05862163246848)	(12, 38.043557674421486)	(13, 38.03462241738798)	(14, 39.612278029604255)	(15, 39.5904396537045)	(16, 39.57064789512484)	(17, 39.557066544196005)	(18, 39.53095681988391)	(19, 39.55700790963782)	(20, 39.54228668414542)	(21, 39.51640443245113)	(22, 39.48236722210995)	(23, 39.44839534359232)	(24, 39.38474667677507)	(25, 39.3697916497491)	(26, 39.307044200444466)	(27, 39.252748331669345)	(28, 39.20772251622287)	(29, 39.15888009668172)	(30, 39.083627714422576)	(31, 39.03690220000144)	(32, 38.98284472038666)	(33, 38.921895754720694)	(34, 38.85517156970673)	(35, 38.79331924340323)	(36, 38.72552748080522)	(37, 38.642889957065506)	(38, 38.56446176506093)	(39, 38.490748782730165)	(40, 38.40121029630878)	(41, 38.3134369411446)	(42, 38.214616178885294)	(43, 38.35713060353913)	(44, 38.34903873313189)	(45, 38.28872125261633)	(46, 38.191874844183936)	(47, 38.06997868762732)	(48, 37.92247925396482)	(49, 37.68234394911284)	(50, 37.12632606272625)
SRR2977634	(1, 32.68343888650783)	(2, 32.89062684267077)	(3, 32.334565793684654)	(4, 36.13863023918461)	(5, 36.2065487904993)	(6, 36.24758675662403)	(7, 36.24595521233929)	(8, 36.24546158394348)	(9, 38.091634135801606)	(10, 38.085262418866115)	(11, 38.07964757303399)	(12, 38.065515156991324)	(13, 38.05614842610851)	(14, 39.631230274715286)	(15, 39.60961515571892)	(16, 39.59026372428838)	(17, 39.57609352267352)	(18, 39.54877494053121)	(19, 39.574767580881016)	(20, 39.55836464816655)	(21, 39.531619614287585)	(22, 39.49565396662339)	(23, 39.45993078443396)	(24, 39.39188083725483)	(25, 39.37649676205349)	(26, 39.31404610194148)	(27, 39.258694490763716)	(28, 39.21296815011277)	(29, 39.16294971635856)	(30, 39.087263185852024)	(31, 39.03634105521606)	(32, 38.97860154405442)	(33, 38.9165879467246)	(34, 38.846333905593085)	(35, 38.78247145667246)	(36, 38.71186159334961)	(37, 38.624812815654884)	(38, 38.54354126833571)	(39, 38.46741538794073)	(40, 38.37403016628712)	(41, 38.282622615067616)	(42, 38.17859465052292)	(43, 38.32384983118096)	(44, 38.315036934349905)	(45, 38.25180427717859)	(46, 38.15158624508534)	(47, 38.024138602503996)	(48, 37.87129380472848)	(49, 37.618652704366234)	(50, 37.045838827622894)
SRR2977635	(1, 32.69006024147068)	(2, 32.89242655750157)	(3, 32.31023622427224)	(4, 36.12565131266415)	(5, 36.19965386719687)	(6, 36.243222711523686)	(7, 36.24336395976638)	(8, 36.24355737048665)	(9, 38.09464038638713)	(10, 38.08774763723502)	(11, 38.08416858646067)	(12, 38.06855228996292)	(13, 38.05980467739635)	(14, 39.64142989066167)	(15, 39.61909781010617)	(16, 39.599976912627085)	(17, 39.58577662261895)	(18, 39.55941031573157)	(19, 39.58576525672304)	(20, 39.56965994096655)	(21, 39.54456543973302)	(22, 39.510347711646716)	(23, 39.47525404761618)	(24, 39.410301698817285)	(25, 39.39589590198178)	(26, 39.33429049204392)	(27, 39.27970561821632)	(28, 39.23385407021463)	(29, 39.18619055076877)	(30, 39.11062096302347)	(31, 39.06366384353263)	(32, 39.00774608029777)	(33, 38.94592754393752)	(34, 38.87863959877499)	(35, 38.816501960124945)	(36, 38.74956334164578)	(37, 38.66625151514853)	(38, 38.58636853815879)	(39, 38.513733415197414)	(40, 38.42429235471742)	(41, 38.33598601067753)	(42, 38.2344084909973)	(43, 38.37708442355716)	(44, 38.36891399531338)	(45, 38.30946042250591)	(46, 38.2119162084565)	(47, 38.08961316808252)	(48, 37.94183651987443)	(49, 37.70121370941665)	(50, 37.143486371735214)
SRR2977636	(1, 32.45833970508024)	(2, 32.65842799657822)	(3, 31.601637325540075)	(4, 35.80796429313098)	(5, 36.00026218850411)	(6, 36.0846392569847)	(7, 36.04712674894236)	(8, 36.09778708094672)	(9, 37.90576775284612)	(10, 37.93456967286087)	(11, 37.96191657488733)	(12, 37.930304942859095)	(13, 37.91077369423634)	(14, 39.43039416067097)	(15, 39.424519791978746)	(16, 39.40534028622202)	(17, 39.39466892563324)	(18, 39.3134477349173)	(19, 39.37187996882072)	(20, 39.34637534169044)	(21, 39.317319951420124)	(22, 39.290025326832556)	(23, 39.26033520319465)	(24, 39.22355211126332)	(25, 39.16645655794508)	(26, 39.06254570870338)	(27, 39.008006493300236)	(28, 38.95952732605195)	(29, 38.92462285642067)	(30, 38.86065382953715)	(31, 38.80127999273821)	(32, 38.73620144051749)	(33, 38.67130209317776)	(34, 38.60137597039795)	(35, 38.53611266823375)	(36, 38.454168247516975)	(37, 38.37586523408321)	(38, 38.282946718007324)	(39, 38.21365888640978)	(40, 38.111981094734446)	(41, 38.02928773800458)	(42, 37.940132171853215)	(43, 37.99843135630915)	(44, 38.02993157424933)	(45, 37.97115439258536)	(46, 37.89021708983773)	(47, 37.77632141002798)	(48, 37.641629117565486)	(49, 37.40354157051619)	(50, 36.903609922225854)
SRR2977637	(1, 32.45211030145352)	(2, 32.64446074829984)	(3, 31.57460291983874)	(4, 35.78430664096248)	(5, 35.980333421447455)	(6, 36.06201355842976)	(7, 36.030384337647334)	(8, 36.07860269701024)	(9, 37.888472709231024)	(10, 37.916357855837816)	(11, 37.9440899901758)	(12, 37.912720848175475)	(13, 37.89275163912465)	(14, 39.41694544538996)	(15, 39.40906673006695)	(16, 39.38788781247041)	(17, 39.37629570957525)	(18, 39.29450174605091)	(19, 39.34999813187587)	(20, 39.32488700934533)	(21, 39.2961749232891)	(22, 39.26854051484379)	(23, 39.23591187570433)	(24, 39.19925364233715)	(25, 39.14379400189662)	(26, 39.04019835663421)	(27, 38.98461625027882)	(28, 38.9381184164052)	(29, 38.90137622965203)	(30, 38.83672463311837)	(31, 38.77611530937258)	(32, 38.70815410374698)	(33, 38.641484989258004)	(34, 38.569517330581895)	(35, 38.50137859706459)	(36, 38.4177885696385)	(37, 38.339140712270286)	(38, 38.2463300056414)	(39, 38.176002004558896)	(40, 38.0754865481599)	(41, 37.99095280950161)	(42, 37.90158138670685)	(43, 37.956722267949814)	(44, 37.988663656200536)	(45, 37.92923080185498)	(46, 37.85139120269495)	(47, 37.737400288173575)	(48, 37.602183163904385)	(49, 37.36540275073143)	(50, 36.868299998070164)
SRR2977638	(1, 32.697976765027974)	(2, 32.84780947017876)	(3, 32.151822857813464)	(4, 36.05679215375717)	(5, 36.166488492243595)	(6, 36.207072571271326)	(7, 36.21325723546137)	(8, 36.22397377135525)	(9, 38.056809702712144)	(10, 38.06138344287617)	(11, 38.08132605973898)	(12, 38.04948824756992)	(13, 38.02700360037629)	(14, 39.60030982660543)	(15, 39.59132242698856)	(16, 39.57295287354604)	(17, 39.56126235119576)	(18, 39.54151534097736)	(19, 39.55831634469976)	(20, 39.54242298382352)	(21, 39.41896378985208)	(22, 39.43537965043416)	(23, 39.42137737428411)	(24, 39.40751463372724)	(25, 39.38192277090139)	(26, 39.31618555292204)	(27, 39.25670008205596)	(28, 39.20483910682278)	(29, 39.16417012353842)	(30, 39.09770876797153)	(31, 39.03379127156226)	(32, 38.980213572727536)	(33, 38.914297363189746)	(34, 38.84627477320991)	(35, 38.788359758713156)	(36, 38.722158680218975)	(37, 38.6553668517595)	(38, 38.575731406201264)	(39, 38.50194486001615)	(40, 38.418167043949744)	(41, 38.337097603629886)	(42, 38.24565443516179)	(43, 38.15238882133903)	(44, 38.0541986828089)	(45, 38.19589999601549)	(46, 38.16486033055227)	(47, 38.08460814234156)	(48, 37.9657234278471)	(49, 37.784649613907426)	(50, 37.3649169774894)
SRR2977639	(1, 32.70183810121492)	(2, 32.85077747807824)	(3, 32.15009374213465)	(4, 36.060222576006666)	(5, 36.17083859704358)	(6, 36.21129465064021)	(7, 36.21700308586115)	(8, 36.227373216973234)	(9, 38.058963666726996)	(10, 38.06361309531543)	(11, 38.08192325321616)	(12, 38.04996421029541)	(13, 38.027275773497244)	(14, 39.600823933688886)	(15, 39.59132961547445)	(16, 39.570681086085344)	(17, 39.55615436376058)	(18, 39.53548247815227)	(19, 39.550602835197246)	(20, 39.53105700337593)	(21, 39.4070412504672)	(22, 39.418678056122005)	(23, 39.40087925741122)	(24, 39.384047762712896)	(25, 39.356962615848204)	(26, 39.28676297607181)	(27, 39.220988569351505)	(28, 39.16673506342588)	(29, 39.1200847169048)	(30, 39.04814580928091)	(31, 38.97984548637287)	(32, 38.920526128297254)	(33, 38.84898826478399)	(34, 38.774015496080956)	(35, 38.71117611707237)	(36, 38.64041345040248)	(37, 38.56542814246146)	(38, 38.48442490673375)	(39, 38.40286284400191)	(40, 38.314396223604525)	(41, 38.22822987354103)	(42, 38.12937725914012)	(43, 38.031418828375905)	(44, 37.92648114838874)	(45, 38.06794139855107)	(46, 38.0351175712191)	(47, 37.94962021216391)	(48, 37.82274802083991)	(49, 37.6349320207118)	(50, 37.20440846371371)
SRR2977640	(1, 32.84674985405721)	(2, 32.98927101576182)	(3, 33.01374890542907)	(4, 36.364341798015175)	(5, 36.31648277875073)	(6, 36.31068775539988)	(7, 36.26291666666667)	(8, 36.24167505837712)	(9, 38.08358946293053)	(10, 38.08322424109749)	(11, 38.062401123759486)	(12, 38.04808778458844)	(13, 38.04026889959136)	(14, 39.54217965557501)	(15, 39.54682392002335)	(16, 39.534624197314656)	(17, 39.495231319322826)	(18, 39.49524554874489)	(19, 39.543757661996494)	(20, 39.49274299474606)	(21, 39.45258829538821)	(22, 39.349618724460015)	(23, 39.39103436952715)	(24, 39.40428232632808)	(25, 39.37335230589609)	(26, 39.298341360186804)	(27, 39.25452714535902)	(28, 39.203933158201984)	(29, 39.15940382370111)	(30, 39.10057136602452)	(31, 39.028938631056626)	(32, 38.97569906596614)	(33, 38.92603400467017)	(34, 38.85206144191477)	(35, 38.80623504086398)	(36, 38.7445975627554)	(37, 38.68247737886748)	(38, 38.62495548744892)	(39, 38.513640907764156)	(40, 38.40071110624635)	(41, 38.297647767075304)	(42, 38.19800569176883)	(43, 38.090962127845884)	(44, 38.028152364273204)	(45, 37.94550751605371)	(46, 37.843762405137184)	(47, 37.74199722708698)	(48, 37.63368615002919)	(49, 37.51554290718038)	(50, 37.37157800642148)
