"","PC_1","PC_2"
"ERR1211508",-101.052016304321,96.0448522207275
"ERR1211471",-87.4268475962664,78.5146988057672
"ERR1211625",-85.2642710448294,72.9726477948239
"ERR1211611",-79.6524035121275,66.3442997009926
"ERR1211531",-52.1418071843567,40.4471160939298
"ERR1211551",-28.8230690816005,15.5402822838151
"ERR1211506",-28.0020728136504,15.3212100164035
