"","segIdx","rho","sigma","mu","mu.scaled","zero","f_stats"
"ENSMUSG00000033845",0.706378661916073,0.949962270006455,0.714093998792416,7.36228935116027,0.548844680095606,0.0015803836942284,7.38020585496183
"ENSMUSG00000025903",0.509971298495645,0.869984824218754,1.15062687122916,5.96712674965489,0.433239307116524,0.0297618117188233,4.9281825611146
"ENSMUSG00000033813",0.756086698337292,0.923652826266694,0.800197365487906,6.35671692209951,0.465521363090392,0.00229792528057783,5.1504512031306
"ENSMUSG00000033793",0.419685273159145,0.890147933894095,1.22364828580375,6.52986796620292,0.479868931620178,0.037899973208998,7.01088235688558
"ENSMUSG00000025907",0.402365399841647,0.738143356339802,1.08403926446834,5.2940468201926,0.377466842884567,0.0911448115068865,4.45512357911703
"ENSMUSG00000051285",0.443809382422803,0.771455793745637,1.13495232153153,5.21304124641811,0.370754593316323,0.0869313526081054,3.78019583836391
"ENSMUSG00000061024",0.62903305621536,0.849753005326796,0.775404321288452,6.43852738422484,0.472300306976492,0.0169025613767811,6.51140714402622
"ENSMUSG00000025912",0.210065320665083,0.458800019003094,1.24570872509102,3.97955489335043,0.268545969205318,0.171776627772221,4.52836947869854
"ENSMUSG00000045210",0.48881631037213,0.65910880459541,0.940131687161727,5.60838396581823,0.403513314401236,0.104737515996372,3.77662368799648
"ENSMUSG00000025915",0.225331551860649,0.735714233905911,1.20180755359697,5.37235119102186,0.383955266517656,0.205165730648472,5.20989498708446
"ENSMUSG00000046101",0.651920031670626,0.851225343886693,0.895422644980376,4.31821917605811,0.296608225658344,0.00524646388453673,5.64913961851296
"ENSMUSG00000025917",0.743492676167854,0.924520686366124,0.815990171354513,7.21168066064634,0.536365006527831,0.00154444880530433,5.40595034719026
"ENSMUSG00000056763",0.557798891528108,0.771345370312258,0.976429447791757,5.61411635659175,0.403988309339259,0.0383880293942283,4.3477609314118
"ENSMUSG00000067851",0.437277315914489,0.689975164256139,1.08699300925999,5.45968016591598,0.391191483073076,0.104435735300052,2.81770456340363
"ENSMUSG00000048960",0.291097585114806,0.564998105695544,1.37972680667152,4.04749615216673,0.274175689037008,0.206618618805347,1.75302847909123
"ENSMUSG00000016918",0.249703087885986,0.747486622005225,1.12881391376359,6.15514312161063,0.448818640151013,0.114281669376173,7.92843215035685
"ENSMUSG00000005886",0.34617478226445,0.659531802421242,1.08999906661912,5.16995681210386,0.367184549155795,0.149381126744172,3.7628577285744
"ENSMUSG00000025935",0.752597980997625,0.919364382302826,0.95281377998145,6.89519880855675,0.5101408212519,0.00692498852378144,3.92880828711136
"ENSMUSG00000025937",0.394571456848773,0.83135904147128,1.09324199010896,5.35916137992182,0.382862337972912,0.0822106706794982,6.30910995553175
"ENSMUSG00000025925",0.504651623119557,0.858774249902324,1.04323978572902,6.03572615545875,0.438923562045334,0.0292495339577722,6.1206282636673
"ENSMUSG00000043716",0.745397862232779,1,0.455718345462026,10.9108081158846,0.84288054005672,0,7.83455830715929
"ENSMUSG00000025921",0.149965360253365,0.72035181042417,1.63006045835187,5.1143792829301,0.362579307456759,0.211939611639677,6.07952919263852
"ENSMUSG00000025920",0.44061757719715,0.696683444380075,1.00469523286981,4.65573126950733,0.324575009892703,0.191460536481339,2.4549687009321
"ENSMUSG00000025939",0.605527513855899,0.746458313318167,0.961572871276921,5.50511334638797,0.394956148043613,0.0908187934004029,1.68389724587774
"ENSMUSG00000079658",0.726704770387965,0.886563738127508,0.634112452082032,7.52421330197072,0.562261953972851,0,6.25603115085288
"ENSMUSG00000025940",0.700960015835313,0.798500170988384,0.893740782707522,5.95985426390621,0.432636697480519,0.046271304543371,2.66168965538916
"ENSMUSG00000042686",0.41651821060966,0.621809743838871,1.10342024022225,3.2037147887478,0.204258634834443,0.134688026178368,1.06927124713118
"ENSMUSG00000025776",0.180151425178147,0.602808589630281,1.04917474580959,5.05156431627128,0.357374360276104,0.27299226122284,5.63103359912229
"ENSMUSG00000041859",0.712267418844022,0.864644285727784,0.702272533235702,8.53206070218392,0.645773778674809,0.00185948846183614,5.60814015425391
"ENSMUSG00000041779",0.453557996832937,0.847373113701093,1.22283104255979,4.44292703144307,0.30694171518827,0.135604854838421,3.68316868958003
"ENSMUSG00000026158",0.339667458432304,0.625726640887084,1.08960595614529,4.21577642354146,0.288119657658519,0.120770847862621,4.11961592338676
"ENSMUSG00000026155",0.53528305621536,0.746684047734643,1.05536317055834,3.93969146040906,0.265242822297251,0.055754455859274,2.79497255718021
"ENSMUSG00000026154",0.701850752177355,0.882708249577181,1.02219848756034,4.95500183374549,0.349373040719419,0.0438333103329588,2.11968532538887
"ENSMUSG00000026153",0.474787212984956,0.705343083071099,0.947588320160187,5.77149321694553,0.417028804131654,0.0948650467646256,4.50683253570165
"ENSMUSG00000073725",0.415676959619952,0.694100953062949,1.02929257643095,5.09285791309002,0.360796012818057,0.157913187017035,3.35202063616644
"ENSMUSG00000048874",0.668299683293745,0.855725250951813,0.933816865564711,5.94967188012214,0.431792969105128,0.0255772059033889,4.43561874074699
"ENSMUSG00000026064",0.768136381631037,0.874101302696125,0.76560064109132,7.65827756250172,0.573370729985861,0.00141514783213294,4.54921386532218
"ENSMUSG00000026134",0.544487331749802,0.802460647308512,0.965623029201327,5.5666472930679,0.400054947888973,0.0910038610376809,4.40318315112555
"ENSMUSG00000004768",0.419190419635788,0.693719409289579,0.999735700453445,5.21283771382284,0.370737728284561,0.109040508318988,4.46127934931267
"ENSMUSG00000042215",0.519670427553444,0.806709719063603,1.11615017955172,5.57708409411084,0.400919757679585,0.141666010632153,0.56856270682979
"ENSMUSG00000042197",0.533847980997625,0.75111746934693,1.01634639095158,5.8916677510339,0.426986655511045,0.0612991948882578,3.5244407463825
"ENSMUSG00000026131",0.383214568487728,0.698560015268312,1.09010863534742,5.73097011722206,0.413670996193895,0.0488373409739399,4.92627996553341
"ENSMUSG00000042111",0.583927157561362,0.826249418570805,0.971905331655426,5.08082673757154,0.359799090644476,0.0698581533460275,4.29114105864032
"ENSMUSG00000026127",0.728300673000792,0.894786166357862,0.639721769692821,7.7085738641612,0.577538360845904,0.00356358511422812,5.73422475802244
