"","x"
"ENSG00000179010",-846
"ENSG00000260108",-851
"ENSG00000226764",-853
"ENSG00000200254",-856
"ENSG00000217377",-857
"ENSG00000225462",-868
"ENSG00000229162",-869
"ENSG00000279261",-873.5
"ENSG00000207082",-894
"ENSG00000178752",-900.5
"ENSG00000109452",-901
"ENSG00000290829",-907.5
"ENSG00000231046",-911
"ENSG00000144029",-911.5
"ENSG00000228382",-912
"ENSG00000249253",-913.5
"ENSG00000149090",-914.5
"ENSG00000185614",-921
"ENSG00000266417",-927.5
"ENSG00000287247",-928
"ENSG00000234619",-931
"ENSG00000236581",-939.5
"ENSG00000230615",-940.5
"ENSG00000251055",-945
"ENSG00000169905",-945.5
"ENSG00000260192",-950.5
"ENSG00000232799",-950.5
"ENSG00000102393",-966
"ENSG00000252951",-967
"ENSG00000231529",-981
"ENSG00000241399",-983.5
"ENSG00000230618",-984
"ENSG00000278537",-986.5
"ENSG00000285755",-1003
"ENSG00000253930",-1004
"ENSG00000271267",-1009.5
"ENSG00000229063",-1025
"ENSG00000183695",-1029
"ENSG00000287182",-1035
"ENSG00000102794",-1037
"ENSG00000139567",-1045
"ENSG00000248838",-1048
"ENSG00000127423",-1051
"ENSG00000162723",-1065.5
"ENSG00000139324",-1066
"ENSG00000251746",-1067
"ENSG00000169403",-1069
"ENSG00000234584",-1076.5
"ENSG00000236751",-1085.5
"ENSG00000272230",-1090
"ENSG00000267652",-1103
"ENSG00000230337",-1113
"ENSG00000068305",-1117
"ENSG00000212586",-1124
"ENSG00000182325",-1130.5
"ENSG00000228714",-1131
"ENSG00000197355",-1144.5
"ENSG00000287616",-1157
"ENSG00000274649",-1162.5
"ENSG00000201827",-1163
"ENSG00000287582",-1176
"ENSG00000276405",-1179.5
"ENSG00000266307",-1184
"ENSG00000256723",-1198
"ENSG00000184788",-1201.5
"ENSG00000287934",-1207.5
"ENSG00000222760",-1209.5
"ENSG00000219806",-1224
"ENSG00000254274",-1238.5
"ENSG00000198380",-1240
"ENSG00000130032",-1251
"ENSG00000150676",-1259.5
"ENSG00000253699",-1262
"ENSG00000234661",-1277
"ENSG00000229197",-1281
"ENSG00000223658",-1281
"ENSG00000234202",-1290.5
"ENSG00000286441",-1303
"ENSG00000229201",-1309
"ENSG00000248843",-1316
