"","x"
"ENSG00000107371",-789
"ENSG00000169564",-794
"ENSG00000214748",-814
"ENSG00000174953",-818
"ENSG00000182670",-836
"ENSG00000182004",-845
"ENSG00000204876",-846.5
"ENSG00000108312",-847
"ENSG00000063046",-850
"ENSG00000149923",-858
"ENSG00000044115",-861.5
"ENSG00000118482",-880
"ENSG00000114416",-881
"ENSG00000115524",-897
"ENSG00000213087",-899
"ENSG00000184983",-902
"ENSG00000167658",-904
"ENSG00000135521",-908
"ENSG00000147669",-918
"ENSG00000167193",-921
"ENSG00000255074",-926
"ENSG00000105993",-928
"ENSG00000242262",-932
"ENSG00000116754",-933
"ENSG00000188342",-936
"ENSG00000228375",-938
"ENSG00000256747",-939
"ENSG00000109536",-949
"ENSG00000173692",-950
"ENSG00000150991",-959
"ENSG00000177889",-963
"ENSG00000117399",-967
"ENSG00000132780",-972
"ENSG00000100028",-974
"ENSG00000143621",-982
"ENSG00000159140",-982
"ENSG00000240463",-984
"ENSG00000230779",-988
"ENSG00000257103",-1018
"ENSG00000127616",-1019
"ENSG00000233971",-1020
"ENSG00000183431",-1025.5
"ENSG00000229572",-1027
"ENSG00000254759",-1034.5
"ENSG00000089737",-1036
"ENSG00000137815",-1058
"ENSG00000075785",-1066
"ENSG00000240698",-1070.5
"ENSG00000228069",-1071
"ENSG00000274600",-1078.5
"ENSG00000141030",-1080.5
"ENSG00000257074",-1081
"ENSG00000244099",-1085
"ENSG00000005075",-1086.5
"ENSG00000277895",-1093
"ENSG00000213018",-1119
"ENSG00000124614",-1127.5
"ENSG00000233514",-1134.5
"ENSG00000265354",-1138.5
"ENSG00000233357",-1149
"ENSG00000204256",-1150
"ENSG00000237951",-1157
"ENSG00000100591",-1164
"ENSG00000167004",-1165.5
"ENSG00000220875",-1193.5
"ENSG00000226556",-1197
"ENSG00000269763",-1199
"ENSG00000228462",-1207.5
"ENSG00000213269",-1211
"ENSG00000232963",-1217
"ENSG00000232373",-1222
"ENSG00000239246",-1222
"ENSG00000140264",-1241
"ENSG00000226132",-1261.5
"ENSG00000227437",-1262
"ENSG00000156976",-1268
"ENSG00000248305",-1279
"ENSG00000103194",-1289
"ENSG00000023734",-1296
"ENSG00000186298",-1299
"ENSG00000233216",-1304
"ENSG00000219487",-1306
"ENSG00000140575",-1306
"ENSG00000180329",-1336.5
"ENSG00000228643",-1339
"ENSG00000108107",-1345
"ENSG00000205562",-1354.5
"ENSG00000253137",-1363
"ENSG00000070814",-1372
"ENSG00000174021",-1373
"ENSG00000113732",-1382.5
"ENSG00000198695",-1389.5
"ENSG00000174695",-1390
