GSM_ID,SRR_ID
GSM1965137,SRR2977820
GSM1965138,SRR2977821
GSM1965139,SRR2977822
GSM1965140,SRR2977823
GSM1965141,SRR2977824
GSM1965142,SRR2977825
GSM1965143,SRR2977826
GSM1965144,SRR2977827
GSM1965145,SRR2977828
GSM1965146,SRR2977830
GSM1965147,SRR2977831
GSM1965148,SRR2977832
GSM1965149,SRR2977833
GSM1965150,SRR2977834
GSM1965151,SRR2977835
GSM1965152,SRR2977836
GSM1965153,SRR2977837
GSM1965154,SRR2977838
GSM1965155,SRR2977839
GSM1965156,SRR2977840
GSM1965157,SRR2977841
GSM1965158,SRR2977842
GSM1965159,SRR2977843
GSM1965160,SRR2977844
GSM1965161,SRR2977845
GSM1965162,SRR2977846
GSM1965163,SRR2977847
GSM1965164,SRR2977848
GSM1965165,SRR2977849
GSM1965166,SRR2977850
GSM1965167,SRR2977851
GSM1965168,SRR2977852
GSM1965169,SRR2977853
GSM1965170,SRR2977854
GSM1965171,SRR2977855
GSM1965172,SRR2977856
GSM1965173,SRR2977857
GSM1965174,SRR2977858
GSM1965175,SRR2977859
GSM1965176,SRR2977860
GSM1965177,SRR2977861
GSM1965178,SRR2977862
GSM1965179,SRR2977863
GSM1965180,SRR2977864
GSM1965181,SRR2977865
GSM1965182,SRR2977866
GSM1965183,SRR2977867
GSM1965184,SRR2977868
GSM1965185,SRR2977869
GSM1965186,SRR2977870
GSM1965187,SRR2977871
GSM1965188,SRR2977872
GSM1965189,SRR2977873
GSM1965190,SRR2977874
GSM1965191,SRR2977875
GSM1965192,SRR2977876
GSM1965193,SRR2977877
GSM1965194,SRR2977878
GSM1965195,SRR2977879
GSM1965196,SRR2977880
GSM1965197,SRR2977881
GSM1965198,SRR2977882
GSM1965199,SRR2977883
GSM1965200,SRR2977884
GSM1965201,SRR2977885
GSM1965202,SRR2977886
GSM1965203,SRR2977887
GSM1965204,SRR2977888
GSM1965205,SRR2977889
GSM1965206,SRR2977890
GSM1965207,SRR2977891
GSM1965208,SRR2977892
GSM1965209,SRR2977893
GSM1965210,SRR2977894
GSM1965211,SRR2977895
GSM1965212,SRR2977896
GSM1965213,SRR2977897
GSM1965214,SRR2977898
GSM1965215,SRR2977899
GSM1965216,SRR2977900
GSM1965217,SRR2977901
GSM1965218,SRR2977902
GSM1965219,SRR2977903
GSM1965220,SRR2977904
GSM1965221,SRR2977905
GSM1965222,SRR2977906
GSM1965223,SRR2977907
GSM1965224,SRR2977908
GSM1965225,SRR2977909
GSM1965226,SRR2977910
GSM1965227,SRR2977911
GSM1965228,SRR2977912
GSM1965229,SRR2977913
GSM1965230,SRR2977914
GSM1965231,SRR2977915
GSM1965232,SRR2977916
GSM1965233,SRR2977917
GSM1965234,SRR2977918
GSM1965235,SRR2977919
GSM1965236,SRR2977920
GSM1965237,SRR2977921
GSM1965238,SRR2977922
GSM1965239,SRR2977923
GSM1965240,SRR2977924
GSM1965241,SRR2977925
GSM1965242,SRR2977926
GSM1965243,SRR2977927
GSM1965244,SRR2977928
GSM1965245,SRR2977929
GSM1965246,SRR2977930
GSM1965247,SRR2977931
GSM1965248,SRR2977932
GSM1965249,SRR2977933
GSM1965250,SRR2977934
GSM1965251,SRR2977935
GSM1965252,SRR2977936
GSM1965253,SRR2977937
GSM1965254,SRR2977938
GSM1965255,SRR2977939
GSM1965256,SRR2977940
GSM1965257,SRR2977941
GSM1965258,SRR2977942
GSM1965259,SRR2977943
GSM1965260,SRR2977944
GSM1965261,SRR2977945
GSM1965262,SRR2977946
GSM1965263,SRR2977947
GSM1965264,SRR2977948
GSM1965265,SRR2977949
GSM1965266,SRR2977950
GSM1965267,SRR2977951
GSM1965268,SRR2977952
GSM1965269,SRR2977953
GSM1965270,SRR2977954
GSM1965271,SRR2977955
GSM1965272,SRR2977956
GSM1965273,SRR2977957
GSM1965274,SRR2977958
GSM1965275,SRR2977959
GSM1965276,SRR2977960
GSM1965277,SRR2977961
GSM1965278,SRR2977962
GSM1965279,SRR2977963
GSM1965280,SRR2977964
GSM1965281,SRR2977965
GSM1965282,SRR2977966
GSM1965283,SRR2977967
GSM1965284,SRR2977968
GSM1965285,SRR2977969
GSM1965286,SRR2977970
GSM1965287,SRR2977971
GSM1965288,SRR2977972
GSM1965289,SRR2977973
GSM1965290,SRR2977974
GSM1965291,SRR2977975
GSM1965292,SRR2977976
GSM1965293,SRR2977977
GSM1965294,SRR2977978
GSM1965295,SRR2977979
GSM1965296,SRR2977980
GSM1965297,SRR2977981
GSM1965298,SRR2977982
GSM1965299,SRR2977983
GSM1965300,SRR2977984
GSM1965301,SRR2977985
GSM1965302,SRR2977986
GSM1965303,SRR2977987
GSM1965304,SRR2977988
GSM1965305,SRR2977989
GSM1965306,SRR2977991
GSM1965307,SRR2977992
GSM1965308,SRR2977993
GSM1965309,SRR2977994
GSM1965310,SRR2977995
GSM1965311,SRR2977996
GSM1965312,SRR2977997
GSM1965313,SRR2977998
GSM1965314,SRR2977999
GSM1965315,SRR2978000
GSM1965316,SRR2978001
GSM1965317,SRR2978002
GSM1965318,SRR2978003
GSM1965319,SRR2978004
GSM1965320,SRR2978005
GSM1965321,SRR2978006
GSM1965322,SRR2978007
GSM1965323,SRR2978008
GSM1965324,SRR2978009
GSM1965325,SRR2978010
GSM1965326,SRR2978011
GSM1965327,SRR2978012
GSM1965328,SRR2978013
GSM1965329,SRR2978014
GSM1965330,SRR2978015
GSM1965331,SRR2978016
GSM1965332,SRR2978017
GSM1965333,SRR2978018
GSM1965334,SRR2978019
GSM1965335,SRR2978020
GSM1965336,SRR2978021
GSM1965337,SRR2978022
GSM1965338,SRR2978023
GSM1965339,SRR2978024
GSM1965340,SRR2978025
GSM1965341,SRR2978026
GSM1965342,SRR2978027
GSM1965343,SRR2978028
GSM1965344,SRR2978029
GSM1965345,SRR2978030
GSM1965346,SRR2978031
GSM1965347,SRR2978032
GSM1965348,SRR2978033
GSM1965349,SRR2978034
GSM1965350,SRR2978035
GSM1965351,SRR2978036
GSM1965352,SRR2978037
GSM1965353,SRR2978038
GSM1965354,SRR2978039
GSM1965355,SRR2978040
GSM1965356,SRR2978041
GSM1965357,SRR2978042
GSM1965358,SRR2978043
GSM1965359,SRR2978044
GSM1965360,SRR2978045
GSM1965361,SRR2978046
GSM1965362,SRR2978047
GSM1965363,SRR2978048
GSM1965364,SRR2978049
GSM1965365,SRR2978050
GSM1965366,SRR2978051
GSM1965367,SRR2978052
GSM1965368,SRR2978053
GSM1965369,SRR2978054
GSM1965370,SRR2978055
GSM1965371,SRR2978056
GSM1965372,SRR2978057
GSM1965373,SRR2978058
GSM1965374,SRR2978059
GSM1965375,SRR2978060
GSM1965376,SRR2978061
GSM1965377,SRR2978062
GSM1965378,SRR2978063
GSM1965379,SRR2978064
GSM1965380,SRR2978065
GSM1965381,SRR2978066
GSM1965382,SRR2978067
GSM1965383,SRR2978068
GSM1965384,SRR2978069
GSM1965385,SRR2978070
GSM1965386,SRR2978071
GSM1965387,SRR2978072
GSM1965388,SRR2978073
GSM1965389,SRR2978074
GSM1965390,SRR2978075
GSM1965391,SRR2978076
GSM1965392,SRR2978077
GSM1965393,SRR2978078
GSM1965394,SRR2978079
GSM1965395,SRR2978080
GSM1965396,SRR2978081
GSM1965397,SRR2978082
GSM1965398,SRR2978083
GSM1965399,SRR2978084
GSM1965400,SRR2978085
GSM1965401,SRR2978086
GSM1965402,SRR2978087
GSM1965403,SRR2978088
GSM1965404,SRR2978089
GSM1965405,SRR2978090
GSM1965406,SRR2978091
GSM1965407,SRR2978092
GSM1965408,SRR2978093
GSM1965409,SRR2978094
GSM1965410,SRR2978095
GSM1965411,SRR2978096
GSM1965412,SRR2978097
GSM1965413,SRR2978098
GSM1965414,SRR2978099
GSM1965415,SRR2978100
GSM1965416,SRR2978101
GSM1965417,SRR2978102
GSM1965418,SRR2978103
GSM1965419,SRR2978104
GSM1965420,SRR2978105
GSM1965421,SRR2978106
GSM1965422,SRR2978107
GSM1965423,SRR2978108
GSM1965424,SRR2978109
GSM1965425,SRR2978110
GSM1965426,SRR2978111
GSM1965427,SRR2978112
GSM1965428,SRR2978113
GSM1965429,SRR2978114
GSM1965430,SRR2978115
GSM1965431,SRR2978116
GSM1965432,SRR2978117
GSM1965433,SRR2978118
GSM1965434,SRR2978119
GSM1965435,SRR2978120
GSM1965436,SRR2978121
GSM1965437,SRR2978122
GSM1965438,SRR2978123
GSM1965439,SRR2978124
GSM1965440,SRR2978125
GSM1965441,SRR2978126
GSM1965442,SRR2978127
GSM1965443,SRR2978128
GSM1965444,SRR2978129
GSM1965445,SRR2978130
GSM1965446,SRR2978131
GSM1965447,SRR2978132
GSM1965448,SRR2978133
GSM1965449,SRR2978134
GSM1965450,SRR2978135
GSM1965451,SRR2978136
GSM1965452,SRR2978137
GSM1965453,SRR2978138
GSM1965454,SRR2978139
GSM1965455,SRR2978140
GSM1965456,SRR2978141
GSM1965457,SRR2978142
GSM1965458,SRR2978143
GSM1965459,SRR2978144
GSM1965460,SRR2978145
GSM1965461,SRR2978146
GSM1965462,SRR2978147
GSM1965463,SRR2978148
GSM1965464,SRR2978149
GSM1965465,SRR2978150
GSM1965466,SRR2978151
GSM1965467,SRR2978152
GSM1965468,SRR2978153
GSM1965469,SRR2978154
GSM1965470,SRR2978155
GSM1965471,SRR2978156
GSM1965472,SRR2978157
GSM1965473,SRR2978158
GSM1965474,SRR2978159
GSM1965475,SRR2978160
GSM1965476,SRR2978161
GSM1965477,SRR2978162
GSM1965478,SRR2978163
GSM1965479,SRR2978164
GSM1965480,SRR2978165
GSM1965481,SRR2978166
GSM1965482,SRR2978167
GSM1965483,SRR2978168
GSM1965484,SRR2978169
GSM1965485,SRR2978170
GSM1965486,SRR2978171
GSM1965487,SRR2978172
GSM1965488,SRR2978173
GSM1965489,SRR2978174
GSM1965490,SRR2978175
GSM1965491,SRR2978176
GSM1965492,SRR2978177
GSM1965493,SRR2978179
GSM1965494,SRR2978180
GSM1965495,SRR2978181
GSM1965496,SRR2978182
GSM1965497,SRR2978183
GSM1965498,SRR2978184
GSM1965499,SRR2978185
GSM1965500,SRR2978186
GSM1965501,SRR2978187
GSM1965502,SRR2978188
GSM1965503,SRR2978189
GSM1965504,SRR2978190
GSM1965505,SRR2978191
GSM1965506,SRR2978192
GSM1965507,SRR2978193
GSM1965508,SRR2978194
GSM1965509,SRR2978195
GSM1965510,SRR2978196
GSM1965511,SRR2978197
GSM1965512,SRR2978198
GSM1965513,SRR2978199
GSM1965514,SRR2978200
GSM1965515,SRR2978201
GSM1965516,SRR2978202
GSM1965517,SRR2978203
GSM1965518,SRR2978204
GSM1965519,SRR2978205
GSM1965520,SRR2978206
GSM1965521,SRR2978207
GSM1965522,SRR2978208
GSM1965523,SRR2978209
GSM1965524,SRR2978210
GSM1965525,SRR2978211
GSM1965526,SRR2978212
GSM1965527,SRR2978213
GSM1965528,SRR2978214
GSM1965529,SRR2978215
GSM1965530,SRR2978216
GSM1965531,SRR2978217
GSM1965532,SRR2978218
GSM1965533,SRR2978219
GSM1965534,SRR2978220
GSM1965535,SRR2978221
GSM1965536,SRR2978222
GSM1965537,SRR2978223
GSM1965538,SRR2978224
GSM1965539,SRR2978225
GSM1965540,SRR2978226
GSM1965541,SRR2978227
GSM1965542,SRR2978228
GSM1965543,SRR2978229
GSM1965544,SRR2978230
GSM1965545,SRR2978231
GSM1965546,SRR2978232
GSM1965547,SRR2978233
GSM1965548,SRR2978234
GSM1965549,SRR2978235
GSM1965550,SRR2978236
GSM1965551,SRR2978237
GSM1965552,SRR2978238
GSM1965553,SRR2978239
GSM1965554,SRR2978240
GSM1965555,SRR2978241
GSM1965556,SRR2978242
GSM1965557,SRR2978243
GSM1965558,SRR2978244
GSM1965559,SRR2978245
GSM1965560,SRR2978246
GSM1965561,SRR2978247
GSM1965562,SRR2978248
GSM1965563,SRR2978249
GSM1965564,SRR2978250
GSM1965565,SRR2978251
GSM1965566,SRR2978252
GSM1965567,SRR2978253
GSM1965568,SRR2978254
GSM1965569,SRR2978255
GSM1965570,SRR2978256
GSM1965571,SRR2978257
GSM1965572,SRR2978258
GSM1965573,SRR2978259
GSM1965574,SRR2978260
GSM1965575,SRR2978261
GSM1965576,SRR2978262
GSM1965577,SRR2978263
GSM1965578,SRR2978264
GSM1965579,SRR2978265
GSM1965580,SRR2978266
GSM1965581,SRR2978267
GSM1965582,SRR2978268
GSM1965583,SRR2978269
GSM1965584,SRR2978270
GSM1965585,SRR2978271
GSM1965586,SRR2978272
GSM1965587,SRR2978273
GSM1965588,SRR2978274
GSM1965589,SRR2978275
GSM1965590,SRR2978276
GSM1965591,SRR2978277
GSM1965592,SRR2978278
GSM1965593,SRR2978279
GSM1965594,SRR2978280
GSM1965595,SRR2978281
GSM1965596,SRR2978282
GSM1965597,SRR2978283
GSM1965598,SRR2978284
GSM1965599,SRR2978285
GSM1965600,SRR2978286
GSM1965601,SRR2978287
GSM1965602,SRR2978288
GSM1965603,SRR2978289
GSM1965604,SRR2978290
GSM1965605,SRR2978291
GSM1965606,SRR2978292
GSM1965607,SRR2978293
GSM1965608,SRR2978294
GSM1965609,SRR2978295
GSM1965610,SRR2978296
GSM1965611,SRR2978297
GSM1965612,SRR2978298
GSM1965613,SRR2978299
GSM1965614,SRR2978300
GSM1965615,SRR2978301
GSM1965616,SRR2978302
GSM1965617,SRR2978303
GSM1965618,SRR2978304
GSM1965619,SRR2978305
GSM1965620,SRR2978306
GSM1965621,SRR2978307
GSM1965622,SRR2978308
GSM1965623,SRR2978309
GSM1965624,SRR2978310
GSM1965625,SRR2978311
GSM1965626,SRR2978312
GSM1965627,SRR2978313
GSM1965628,SRR2978314
GSM1965629,SRR2978315
GSM1965630,SRR2978316
GSM1965631,SRR2978317
GSM1965632,SRR2978318
GSM1965633,SRR2978319
GSM1965634,SRR2978320
GSM1965635,SRR2978321
GSM1965636,SRR2978322
GSM1965637,SRR2978323
GSM1965638,SRR2978324
GSM1965639,SRR2978325
GSM1965640,SRR2978326
GSM1965641,SRR2978327
GSM1965642,SRR2978328
GSM1965643,SRR2978329
GSM1965644,SRR2978330
GSM1965645,SRR2978331
GSM1965646,SRR2978332
GSM1965647,SRR2978333
GSM1965648,SRR2978334
GSM1965649,SRR2978335
GSM1965650,SRR2978336
GSM1965651,SRR2978337
GSM1965652,SRR2978338
GSM1965653,SRR2978339
GSM1965654,SRR2978340
GSM1965655,SRR2978341
GSM1965656,SRR2978342
GSM1965657,SRR2978343
GSM1965658,SRR2978344
GSM1965659,SRR2978345
GSM1965660,SRR2978346
GSM1965661,SRR2978347
GSM1965662,SRR2978348
GSM1965663,SRR2978349
GSM1965664,SRR2978350
GSM1965665,SRR2978351
GSM1965666,SRR2978352
GSM1965667,SRR2978353
GSM1965668,SRR2978355
GSM1965669,SRR2978356
GSM1965670,SRR2978357
GSM1965671,SRR2978358
GSM1965672,SRR2978359
GSM1965673,SRR2978360
GSM1965674,SRR2978361
GSM1965675,SRR2978362
GSM1965676,SRR2978363
GSM1965677,SRR2978364
GSM1965678,SRR2978365
GSM1965679,SRR2978366
GSM1965680,SRR2978367
GSM1965681,SRR2978368
GSM1965682,SRR2978369
GSM1965683,SRR2978370
GSM1965684,SRR2978371
GSM1965685,SRR2978372
GSM1965686,SRR2978373
GSM1965687,SRR2978374
GSM1965688,SRR2978375
GSM1965689,SRR2978376
GSM1965690,SRR2978377
GSM1965691,SRR2978378
GSM1965692,SRR2978379
GSM1965693,SRR2978380
GSM1965694,SRR2978381
GSM1965695,SRR2978382
GSM1965696,SRR2978383
GSM1965697,SRR2978384
GSM1965698,SRR2978385
GSM1965699,SRR2978386
GSM1965700,SRR2978387
GSM1965701,SRR2978388
GSM1965702,SRR2978389
GSM1965703,SRR2978390
GSM1965704,SRR2978391
GSM1965705,SRR2978392
GSM1965706,SRR2978393
GSM1965707,SRR2978394
GSM1965708,SRR2978395
GSM1965709,SRR2978396
GSM1965710,SRR2978397
GSM1965711,SRR2978398
GSM1965712,SRR2978399
GSM1965713,SRR2978400
GSM1965714,SRR2978401
GSM1965715,SRR2978402
GSM1965716,SRR2978403
GSM1965717,SRR2978404
GSM1965718,SRR2978405
GSM1965719,SRR2978406
GSM1965720,SRR2978407
GSM1965721,SRR2978408
GSM1965722,SRR2978409
GSM1965723,SRR2978410
GSM1965724,SRR2978411
GSM1965725,SRR2978412
GSM1965726,SRR2978413
GSM1965727,SRR2978414
GSM1965728,SRR2978415
GSM1965729,SRR2978416
GSM1965730,SRR2978417
GSM1965731,SRR2978418
GSM1965732,SRR2978419
GSM1965733,SRR2978420
GSM1965734,SRR2978421
GSM1965735,SRR2978422
GSM1965736,SRR2978423
GSM1965737,SRR2978424
GSM1965738,SRR2978425
GSM1965739,SRR2978426
GSM1965740,SRR2978427
GSM1965741,SRR2978428
GSM1965742,SRR2978429
GSM1965743,SRR2978430
GSM1965744,SRR2978431
GSM1965745,SRR2978432
GSM1965746,SRR2978433
GSM1965747,SRR2978434
GSM1965748,SRR2978435
GSM1965749,SRR2978436
GSM1965750,SRR2978437
GSM1965751,SRR2978438
GSM1965752,SRR2978439
GSM1965753,SRR2978440
GSM1965754,SRR2978441
GSM1965755,SRR2978442
GSM1965756,SRR2978443
GSM1965757,SRR2978444
GSM1965758,SRR2978445
GSM1965759,SRR2978446
GSM1965760,SRR2978447
GSM1965761,SRR2978448
GSM1965762,SRR2978449
GSM1965763,SRR2978450
GSM1965764,SRR2978451
GSM1965765,SRR2978452
GSM1965766,SRR2978453
GSM1965767,SRR2978454
GSM1965768,SRR2978455
GSM1965769,SRR2978456
GSM1965770,SRR2978457
GSM1965771,SRR2978458
GSM1965772,SRR2978459
GSM1965773,SRR2978460
GSM1965774,SRR2978461
GSM1965775,SRR2978462
GSM1965776,SRR2978463
GSM1965777,SRR2978464
GSM1965778,SRR2978465
GSM1965779,SRR2978466
GSM1965780,SRR2978467
GSM1965781,SRR2978468
GSM1965782,SRR2978469
GSM1965783,SRR2978470
GSM1965784,SRR2978471
GSM1965785,SRR2978472
GSM1965786,SRR2978473
GSM1965787,SRR2978474
GSM1965788,SRR2978475
GSM1965789,SRR2978476
GSM1965790,SRR2978477
GSM1965791,SRR2978478
GSM1965792,SRR2978479
GSM1965793,SRR2978480
GSM1965794,SRR2978481
GSM1965795,SRR2978482
GSM1965796,SRR2978483
GSM1965797,SRR2978484
GSM1965798,SRR2978485
GSM1965799,SRR2978486
GSM1965800,SRR2978487
GSM1965801,SRR2978488
GSM1965802,SRR2978489
GSM1965803,SRR2978490
GSM1965804,SRR2978491
GSM1965805,SRR2978492
GSM1965806,SRR2978493
GSM1965807,SRR2978494
GSM1965808,SRR2978495
GSM1965809,SRR2978496
GSM1965810,SRR2978497
GSM1965811,SRR2978498
GSM1965812,SRR2978499
GSM1965813,SRR2978500
GSM1965814,SRR2978501
GSM1965815,SRR2978502
GSM1965816,SRR2978503
GSM1965817,SRR2978504
GSM1965818,SRR2978505
GSM1965819,SRR2978506
GSM1965820,SRR2978507
GSM1965821,SRR2978508
GSM1965822,SRR2978509
GSM1965823,SRR2978510
GSM1965824,SRR2978512
GSM1965825,SRR2978513
GSM1965826,SRR2978514
GSM1965827,SRR2978515
GSM1965828,SRR2978516
GSM1965829,SRR2978517
GSM1965830,SRR2978518
GSM1965831,SRR2978519
GSM1965832,SRR2978520
GSM1965833,SRR2978521
GSM1965834,SRR2978522
GSM1965835,SRR2978523
GSM1965836,SRR2978524
GSM1965837,SRR2978525
GSM1965838,SRR2978526
GSM1965839,SRR2978527
GSM1965840,SRR2978528
GSM1965841,SRR2978529
GSM1965842,SRR2978530
GSM1965843,SRR2978531
GSM1965844,SRR2978532
GSM1965845,SRR2978533
GSM1965846,SRR2978534
GSM1965847,SRR2978535
GSM1965848,SRR2978536
GSM1965849,SRR2978537
GSM1965850,SRR2978538
GSM1965851,SRR2978539
GSM1965852,SRR2978540
GSM1965853,SRR2978541
GSM1965854,SRR2978542
GSM1965855,SRR2978543
GSM1965856,SRR2978544
GSM1965857,SRR2978545
GSM1965858,SRR2978546
GSM1965859,SRR2978547
GSM1965860,SRR2978548
GSM1965861,SRR2978549
GSM1965862,SRR2978550
GSM1965863,SRR2978551
GSM1965864,SRR2978552
GSM1965865,SRR2978553
GSM1965866,SRR2978554
GSM1965867,SRR2978555
GSM1965868,SRR2978556
GSM1965869,SRR2978557
GSM1965870,SRR2978558
GSM1965871,SRR2978559
GSM1965872,SRR2978560
GSM1965873,SRR2978561
GSM1965874,SRR2978562
GSM1965875,SRR2978563
GSM1965876,SRR2978564
GSM1965877,SRR2978565
GSM1965878,SRR2978566
GSM1965879,SRR2978567
GSM1965880,SRR2978568
GSM1965881,SRR2978569
GSM1965882,SRR2978570
GSM1965883,SRR2978571
GSM1965884,SRR2978572
GSM1965885,SRR2978573
GSM1965886,SRR2978574
GSM1965887,SRR2978575
GSM1965888,SRR2978576
GSM1965889,SRR2978577
GSM1965890,SRR2978578
GSM1965891,SRR2978579
GSM1965892,SRR2978580
GSM1965893,SRR2978581
GSM1965894,SRR2978582
GSM1965895,SRR2978583
GSM1965896,SRR2978584
GSM1965897,SRR2978585
GSM1965898,SRR2978586
GSM1965899,SRR2978587
GSM1965900,SRR2978588
GSM1965901,SRR2978589
GSM1965902,SRR2978590
GSM1965903,SRR2978591
GSM1965904,SRR2978592
GSM1965905,SRR2978593
GSM1965906,SRR2978594
GSM1965907,SRR2978595
GSM1965908,SRR2978596
GSM1965909,SRR2978597
GSM1965910,SRR2978598
GSM1965911,SRR2978599
GSM1965912,SRR2978600
GSM1965913,SRR2978601
GSM1965914,SRR2978602
GSM1965915,SRR2978603
GSM1965916,SRR2978604
GSM1965917,SRR2978605
GSM1965918,SRR2978606
GSM1965919,SRR2978607
GSM1965920,SRR2978608
GSM1965921,SRR2978609
GSM1965922,SRR2978610
GSM1965923,SRR2978611
GSM1965924,SRR2978612
GSM1965925,SRR2978613
GSM1965926,SRR2978614
GSM1965927,SRR2978615
GSM1965928,SRR2978616
GSM1965929,SRR2978617
GSM1965930,SRR2978618
GSM1965931,SRR2978619
GSM1965932,SRR2978620
GSM1965933,SRR2978621
